"X","STUDY_ID","DAY","MONTH","YEAR","SAMPLE_DESC","PLOT","ID_SPECIES","LATITUDE","LONGITUDE","sum.allrawdata.ABUNDANCE","sum.allrawdata.BIOMASS","GENUS","SPECIES","GENUS_SPECIES","CLASS"
47873,46,NA,NA,1928,"51.416300_-5.172180_1928",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47874,46,NA,NA,1928,"51.416300_-5.172180_1928",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47876,46,NA,NA,1928,"51.416300_-5.172180_1928",NA,3858,51.698,-5.277,1,0,"Cuculus","canorus","Cuculus canorus","Aves"
47882,46,NA,NA,1928,"51.416300_-5.172180_1928",NA,4310,51.698,-5.277,5,0,"Prunella","modularis","Prunella modularis","Aves"
47885,46,NA,NA,1928,"51.416300_-5.172180_1928",NA,4519,51.698,-5.277,2,0,"Turdus","merula","Turdus merula","Aves"
47891,46,NA,NA,1929,"51.416300_-5.172180_1929",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47897,46,NA,NA,1929,"51.416300_-5.172180_1929",NA,4310,51.698,-5.277,6,0,"Prunella","modularis","Prunella modularis","Aves"
47899,46,NA,NA,1929,"51.416300_-5.172180_1929",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47904,46,NA,NA,1930,"51.416300_-5.172180_1930",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47911,46,NA,NA,1930,"51.416300_-5.172180_1930",NA,4310,51.698,-5.277,5,0,"Prunella","modularis","Prunella modularis","Aves"
47913,46,NA,NA,1930,"51.416300_-5.172180_1930",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47917,46,NA,NA,1931,"51.416300_-5.172180_1931",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47918,46,NA,NA,1931,"51.416300_-5.172180_1931",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47924,46,NA,NA,1931,"51.416300_-5.172180_1931",NA,4310,51.698,-5.277,6,0,"Prunella","modularis","Prunella modularis","Aves"
47927,46,NA,NA,1931,"51.416300_-5.172180_1931",NA,4519,51.698,-5.277,2,0,"Turdus","merula","Turdus merula","Aves"
47931,46,NA,NA,1932,"51.416300_-5.172180_1932",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47932,46,NA,NA,1932,"51.416300_-5.172180_1932",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47939,46,NA,NA,1932,"51.416300_-5.172180_1932",NA,4310,51.698,-5.277,7,0,"Prunella","modularis","Prunella modularis","Aves"
47941,46,NA,NA,1932,"51.416300_-5.172180_1932",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47945,46,NA,NA,1933,"51.416300_-5.172180_1933",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47946,46,NA,NA,1933,"51.416300_-5.172180_1933",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47952,46,NA,NA,1933,"51.416300_-5.172180_1933",NA,4310,51.698,-5.277,6,0,"Prunella","modularis","Prunella modularis","Aves"
47953,46,NA,NA,1933,"51.416300_-5.172180_1933",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47957,46,NA,NA,1934,"51.416300_-5.172180_1934",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47958,46,NA,NA,1934,"51.416300_-5.172180_1934",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47964,46,NA,NA,1934,"51.416300_-5.172180_1934",NA,4310,51.698,-5.277,7,0,"Prunella","modularis","Prunella modularis","Aves"
47965,46,NA,NA,1934,"51.416300_-5.172180_1934",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47969,46,NA,NA,1935,"51.416300_-5.172180_1935",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47970,46,NA,NA,1935,"51.416300_-5.172180_1935",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47975,46,NA,NA,1935,"51.416300_-5.172180_1935",NA,4310,51.698,-5.277,7,0,"Prunella","modularis","Prunella modularis","Aves"
47976,46,NA,NA,1935,"51.416300_-5.172180_1935",NA,4519,51.698,-5.277,1,0,"Turdus","merula","Turdus merula","Aves"
47981,46,NA,NA,1936,"51.416300_-5.172180_1936",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
47982,46,NA,NA,1936,"51.416300_-5.172180_1936",NA,3848,51.698,-5.277,1,0,"Corvus","corax","Corvus corax","Aves"
47987,46,NA,NA,1936,"51.416300_-5.172180_1936",NA,4310,51.698,-5.277,7,0,"Prunella","modularis","Prunella modularis","Aves"
47992,46,NA,NA,1937,"51.416300_-5.172180_1937",NA,3728,51.698,-5.277,1,0,"Buteo","buteo","Buteo buteo","Aves"
