"species","year","abundance"
"Acanthis flammea (Linnaeus, 1758)",2025,1
"Accipiter gentilis (Linnaeus, 1758)",2025,2
"Accipiter nisus (Linnaeus, 1758)",2025,10
"Aegithalos caudatus (Linnaeus, 1758)",2025,6
"Aegithalos caudatus caudatus",2025,1
"Aix galericulata (Linnaeus, 1758)",2025,1
"Alcedo atthis (Linnaeus, 1758)",2025,2
"Alces alces (Linnaeus, 1758)",2025,12
"Alces alces alces",2025,3
"Anas acuta Linnaeus, 1758",2025,1
"Anas clypeata Linnaeus, 1758",2025,1
"Anas crecca Linnaeus, 1758",2025,1
"Anas platyrhynchos Linnaeus, 1758",2025,40
"Anser anser (Linnaeus, 1758)",2025,3
"Anthus petrosus (Montagu, 1798)",2025,2
"Anthus spinoletta (Linnaeus, 1758)",2025,1
"Apodemus agrarius (Pallas, 1771)",2025,4
"Apodemus sylvaticus (Linnaeus, 1758)",2025,3
"Ardea alba Linnaeus, 1758",2025,5
"Ardea cinerea Linnaeus, 1758",2025,10
"Arenaria interpres (Linnaeus, 1758)",2025,1
"Asio otus (Linnaeus, 1758)",2025,1
"Aythya ferina (Linnaeus, 1758)",2025,3
"Aythya fuligula (Linnaeus, 1758)",2025,9
"Barbastella barbastellus (Schreber, 1774)",2025,2
"Bison bonasus (Linnaeus, 1758)",2025,1
"Bombycilla garrulus (Linnaeus, 1758)",2025,2
"Botaurus stellaris (Linnaeus, 1758)",2025,1
"Branta bernicla bernicla",2025,1
"Branta leucopsis (Bechstein, 1803)",2025,2
"Bucephala clangula (Linnaeus, 1758)",2025,12
"Buteo buteo (Linnaeus, 1758)",2025,10
"Buteo lagopus (Pontoppidan, 1763)",2025,5
"Calidris alpina (Linnaeus, 1758)",2025,1
"Canis aureus Linnaeus, 1758",2025,2
"Canis familiaris Linnaeus, 1758",2025,7
"Canis lupus Linnaeus, 1758",2025,2
"Capra hircus Linnaeus, 1758",2025,1
"Capra hircus hircus",2025,1
"Capra ibex Linnaeus, 1758",2025,12
"Capra pyrenaica Schinz, 1838",2025,12
"Capra pyrenaica hispanica Schimper, 1848",2025,4
"Capreolus capreolus (Linnaeus, 1758)",2025,116
"Capreolus pygargus (Pallas, 1771)",2025,1
"Carduelis carduelis (Linnaeus, 1758)",2025,7
"Casmerodius albus (Linnaeus, 1758)",2025,3
"Castor fiber Linnaeus, 1758",2025,68
"Certhia familiaris Linnaeus, 1758",2025,11
"Cervus elaphus Linnaeus, 1758",2025,34
"Cettia cetti (Temminck, 1820)",2025,1
"Chloris chloris (Linnaeus, 1758)",2025,9
"Chroicocephalus ridibundus (Linnaeus, 1766)",2025,5
"Circus aeruginosus (Linnaeus, 1758)",2025,2
"Circus cyaneus (Linnaeus, 1766)",2025,2
"Clethrionomys glareolus (Schreber, 1780)",2025,2
"Coccothraustes coccothraustes (Linnaeus, 1758)",2025,4
"Coloeus monedula (Linnaeus, 1758)",2025,2
"Columba livia J.F.Gmelin, 1789",2025,51
"Columba palumbus Linnaeus, 1758",2025,6
"Corvus corax Linnaeus, 1758",2025,23
"Corvus cornix Linnaeus, 1758",2025,81
"Corvus frugilegus Linnaeus, 1758",2025,5
"Corvus monedula Linnaeus, 1758",2025,18
"Crocidura leucodon (Hermann, 1780)",2025,1
"Crocidura russula (Hermann, 1780)",2025,2
"Cyanistes caeruleus (Linnaeus, 1758)",2025,43
"Cygnus cygnus (Linnaeus, 1758)",2025,8
"Cygnus olor (J.F.Gmelin, 1789)",2025,9
"Dama dama (Linnaeus, 1758)",2025,15
"Delphinus delphis Linnaeus, 1758",2025,1
"Dendrocopos leucotos (Bechstein, 1802)",2025,3
"Dendrocopos major (Linnaeus, 1758)",2025,16
"Dendrocopos medius (Linnaeus, 1758)",2025,3
"Dendrocopos minor (Linnaeus, 1758)",2025,1
"Dryocopus martius (Linnaeus, 1758)",2025,4
"Egretta garzetta (Linnaeus, 1766)",2025,1
"Eliomys quercinus (Linnaeus, 1766)",2025,1
"Emberiza calandra Linnaeus, 1758",2025,2
"Emberiza citrinella Linnaeus, 1758",2025,4
"Eptesicus nilssonii (Keyserling & Blasius, 1839)",2025,1
"Eptesicus serotinus (Schreber, 1774)",2025,2
"Equus caballus Linnaeus, 1758",2025,3
"Erinaceus europaeus Linnaeus, 1758",2025,17
"Erithacus rubecula (Linnaeus, 1758)",2025,5
"Eutamias sibiricus (Laxmann, 1769)",2025,1
"Falco peregrinus Tunstall, 1771",2025,1
"Falco tinnunculus Linnaeus, 1758",2025,11
"Felis catus Linnaeus, 1758",2025,53
"Felis silvestris Schreber, 1777",2025,1
"Fringilla coelebs Linnaeus, 1758",2025,4
"Fringilla montifringilla Linnaeus, 1758",2025,3
"Fulica atra Linnaeus, 1758",2025,7
"Galerida cristata (Linnaeus, 1758)",2025,1
"Gallinago gallinago (Linnaeus, 1758)",2025,1
"Gallinula chloropus (Linnaeus, 1758)",2025,5
"Garrulus glandarius (Linnaeus, 1758)",2025,29
"Gavia arctica (Linnaeus, 1758)",2025,1
"Genetta genetta (Linnaeus, 1758)",2025,2
"Grus grus (Linnaeus, 1758)",2025,1
"Gulo gulo (Linnaeus, 1758)",2025,2
"Haematopus ostralegus Linnaeus, 1758",2025,4
"Haliaeetus albicilla (Linnaeus, 1758)",2025,5
"Halichoerus grypus (Fabricius, 1791)",2025,10
"Halichoerus grypus atlantica Nehring, 1886",2025,3
"Halichoerus grypus grypus",2025,1
"Hydropotes inermis Swinhoe, 1870",2025,2
"Hystrix cristata Linnaeus, 1758",2025,2
"Lanius excubitor Linnaeus, 1758",2025,3
"Larus argentatus Pontoppidan, 1763",2025,24
"Larus cachinnans Pallas, 1811",2025,1
"Larus canus Linnaeus, 1758",2025,9
"Larus ichthyaetus Pallas, 1773",2025,1
"Larus marinus Linnaeus, 1758",2025,1
"Larus ridibundus Linnaeus, 1766",2025,4
"Leporidae",2025,1
"Lepus europaeus Pallas, 1778",2025,31
"Lepus granatensis Rosenhauer, 1856",2025,3
"Lepus timidus Linnaeus, 1758",2025,2
"Limosa limosa (Linnaeus, 1758)",2025,1
"Linaria flavirostris (Linnaeus, 1758)",2025,1
"Lophophanes cristatus (Linnaeus, 1758)",2025,10
"Lutra lutra (Linnaeus, 1758)",2025,21
"Lynx lynx (Linnaeus, 1758)",2025,14
"Lynx pardinus (Temminck, 1827)",2025,4
"Lyrurus tetrix (Linnaeus, 1758)",2025,1
"Mareca penelope (Linnaeus, 1758)",2025,5
"Martes foina (Erxleben, 1777)",2025,4
"Martes martes (Linnaeus, 1758)",2025,10
"Megaptera novaeangliae (Borowski, 1781)",2025,2
"Melanitta fusca (Linnaeus, 1758)",2025,1
"Melanitta nigra (Linnaeus, 1758)",2025,1
"Meles meles (Linnaeus, 1758)",2025,13
"Mergellus albellus (Linnaeus, 1758)",2025,4
"Mergus merganser Linnaeus, 1758",2025,4
"Mergus serrator Linnaeus, 1758",2025,2
"Microcarbo pygmaeus (Pallas, 1773)",2025,2
"Micromys minutus (Pallas, 1771)",2025,1
"Miliaria calandra (Linnaeus, 1758)",2025,1
"Muntiacus reevesi (Ogilby, 1839)",2025,7
"Mus musculus Linnaeus, 1758",2025,7
"Mus spicilegus Petényi, 1882",2025,1
"Mustela nivalis Linnaeus, 1766",2025,13
