"","Class","Order","Family","Binomial Name","Habitats_IUCN","Human_modified_IUCN"
"1","Mammalia","Lagomorpha","Leporidae","Lepus castroviejoi","Shrubland - Temperate [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ], Forest - Temperate [ Marginal ]","Yes"
"2","Mammalia","Lagomorpha","Leporidae","Lepus corsicanus","Shrubland - Temperate [ Suitable ], Artificial/Terrestrial - Plantations [ Marginal ], Artificial/Terrestrial - Pastureland [ Suitable ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Artificial/Terrestrial - Arable Land [ Suitable ], Introduced vegetation [ Unknown ], Forest - Temperate [ Suitable ], Artificial/Terrestrial - Rural Gardens [ Marginal ], Grassland - Temperate [ Suitable ], Marine Coastal/Supratidal - Coastal Sand Dunes [ Unknown ]","Yes"
"3","Mammalia","Lagomorpha","Leporidae","Lepus europaeus","Grassland - Temperate [ Suitable ], Shrubland - Boreal [ Suitable ], Shrubland - Temperate [ Suitable ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Artificial/Terrestrial - Pastureland [ Marginal ], Artificial/Terrestrial - Arable Land [ Suitable ]","Yes"
"4","Mammalia","Lagomorpha","Leporidae","Lepus granatensis","Artificial/Terrestrial - Arable Land [ Suitable ], Forest - Temperate [ Suitable ], Shrubland - Temperate [ Suitable ], Grassland - Temperate [ Suitable ]","Yes"
"5","Mammalia","Lagomorpha","Leporidae","Lepus mandshuricus","Forest - Temperate [ Suitable ]","No"
"6","Mammalia","Lagomorpha","Leporidae","Lepus mediterraneus","","No"
"7","Mammalia","Lagomorpha","Leporidae","Lepus timidus","Shrubland - Boreal [ Suitable ], Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [ Suitable ], Grassland - Tundra [ Suitable ], Forest - Subarctic [ Suitable ], Artificial/Terrestrial - Arable Land [ Suitable ], Shrubland - Subarctic [ Suitable ], Forest - Boreal [ Suitable ]","Yes"
"8","Mammalia","Lagomorpha","Leporidae","Lepus tolai","Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ], Grassland - Temperate [ Suitable ]","No"
"9","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","Forest - Subtropical/Tropical Dry [ Marginal ], Forest - Temperate [ Marginal ], Grassland - Subtropical/Tropical Dry [ Marginal ], Grassland - Temperate [ Suitable ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Shrubland - Subtropical/Tropical Dry [ Marginal ], Shrubland - Temperate [ Marginal ], Savanna - Dry [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ], Artificial/Terrestrial - Arable Land [ Suitable ]","Yes"
"10","Mammalia","Lagomorpha","Ochotonidae","Ochotona hyperborea","Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ], Forest - Temperate [ Suitable ], Shrubland - Boreal [ Suitable ], Forest - Boreal [ Suitable ]","No"
"11","Mammalia","Lagomorpha","Ochotonidae","Ochotona pusilla","Grassland - Temperate [ Suitable ], Shrubland - Temperate [ Suitable ]","No"
"12","Mammalia","Lagomorpha","Prolagidae","Prolagus sardus","Unknown [ Suitable ]","No"
"13","Mammalia","Rodentia","Hystricidae","Hystrix cristata","Artificial/Terrestrial - Arable Land [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ], Savanna - Dry [ Suitable ], Shrubland - Subtropical/Tropical Dry [ Suitable ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Grassland - Subtropical/Tropical Dry [ Suitable ], Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ], Forest - Subtropical/Tropical Dry [ Suitable ]","Yes"
"14","Mammalia","Rodentia","Hystricidae","Hystrix indica","Artificial/Terrestrial - Arable Land [ Suitable ], Artificial/Terrestrial - Plantations [ Suitable ], Artificial/Terrestrial - Rural Gardens [ Suitable ], Shrubland - Subtropical/Tropical Dry [ Suitable ], Shrubland - Subtropical/Tropical Moist [ Suitable ], Grassland - Subtropical/Tropical Dry [ Suitable ], Forest - Temperate [ Suitable ], Forest - Subtropical/Tropical Dry [ Suitable ], Forest - Subtropical/Tropical Moist Lowland [ Suitable ]","Yes"
"15","Mammalia","Rodentia","Gliridae","Glis glis","Artificial/Terrestrial - Plantations [ Suitable ], Artificial/Terrestrial - Rural Gardens [ Suitable ], Shrubland - Temperate [ Suitable ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Forest - Temperate [ Suitable ]","Yes"
"16","Mammalia","Rodentia","Gliridae","Dryomys nitedula","Artificial/Terrestrial - Urban Areas [ Suitable ], Shrubland - Temperate [ Suitable ], Forest - Boreal [ Marginal ], Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Forest - Temperate [ Suitable ], Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ], Forest - Subtropical/Tropical Dry [ Suitable ], Forest - Subtropical/Tropical Moist Lowland [ Suitable ]","Yes"
"17","Mammalia","Rodentia","Gliridae","Eliomys quercinus","Artificial/Terrestrial - Plantations [ Marginal ], Forest - Temperate [ Suitable ], Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ], Artificial/Terrestrial - Rural Gardens [ Marginal ]","No"
"18","Mammalia","Rodentia","Gliridae","Muscardinus avellanarius","Forest - Temperate [ Suitable ]","No"
"19","Mammalia","Rodentia","Gliridae","Myomimus roachi","Shrubland - Mediterranean-type Shrubby Vegetation [ Suitable ], Unknown [ Unknown ], Artificial/Terrestrial - Plantations [ Suitable ]","Yes"
"20","Mammalia","Rodentia","Sciuridae","Pteromys volans","Forest - Boreal [ Suitable ]","No"
"21","Mammalia","Rodentia","Sciuridae","Sciurus anomalus","Forest - Temperate [ Suitable ], Forest - Subtropical/Tropical Dry [ Suitable ]","No"
"22","Mammalia","Rodentia","Sciuridae","Sciurus meridionalis","Forest - Temperate [ Suitable ]","No"
"23","Mammalia","Rodentia","Sciuridae","Sciurus vulgaris","Artificial/Terrestrial - Rural Gardens [ Suitable ], Forest - Boreal [ Suitable ], Forest - Temperate [ Suitable ], Artificial/Terrestrial - Urban Areas [ Suitable ], Artificial/Terrestrial - Plantations [ Suitable ]","Yes"
"24","Mammalia","Rodentia","Sciuridae","Marmota bobak","Grassland - Temperate [ Suitable ], Artificial/Terrestrial - Arable Land [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ]","Yes"
"25","Mammalia","Rodentia","Sciuridae","Marmota camtschatica","Grassland - Subarctic [ Suitable ]","No"
"26","Mammalia","Rodentia","Sciuridae","Marmota kastschenkoi","","No"
"27","Mammalia","Rodentia","Sciuridae","Marmota marmota","Artificial/Terrestrial - Pastureland [ Suitable ], Grassland - Temperate [ Suitable ], Rocky areas (eg. inland cliffs, mountain peaks) [ Suitable ]","Yes"
"28","Mammalia","Rodentia","Sciuridae","Spermophilus citellus","Artificial/Terrestrial - Rural Gardens [ Marginal ], Artificial/Terrestrial - Pastureland [ Suitable ], Grassland - Temperate [ Suitable ]","Yes"
"29","Mammalia","Rodentia","Sciuridae","Spermophilus fulvus","Grassland - Temperate [ Suitable ], Desert - Temperate [ Suitable ]","No"
"30","Mammalia","Rodentia","Sciuridae","Spermophilus major","Grassland - Temperate [ Suitable ]","No"
"31","Mammalia","Rodentia","Sciuridae","Spermophilus musicus","Shrubland - Temperate [ Marginal ], Grassland - Temperate [ Suitable ], Artificial/Terrestrial - Arable Land [ Unknown ]","No"
"32","Mammalia","Rodentia","Sciuridae","Spermophilus odessanus","","No"
"33","Mammalia","Rodentia","Sciuridae","Spermophilus pygmaeus","Grassland - Temperate [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ]","Yes"
"34","Mammalia","Rodentia","Sciuridae","Spermophilus suslicus","Grassland - Temperate [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ], Artificial/Terrestrial - Urban Areas [ Marginal ]","Yes"
"35","Mammalia","Rodentia","Sciuridae","Eutamias sibiricus","Shrubland - Boreal [ Suitable ], Forest - Boreal [ Suitable ], Forest - Temperate [ Suitable ]","No"
"36","Mammalia","Rodentia","Castoridae","Castor fiber","Artificial/Terrestrial - Pastureland [ Marginal ], Artificial/Terrestrial - Urban Areas [ Marginal ], Shrubland - Boreal [ Marginal ], Shrubland - Temperate [ Marginal ], Forest - Boreal [ Suitable ], Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [ Suitable ], Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [ Suitable ], Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [ Suitable ], Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [ Suitable ], Forest - Temperate [ Suitable ]","No"
"37","Mammalia","Rodentia","Dipodidae","Allactaga major","Desert - Temperate [ Marginal ], Grassland - Temperate [ Marginal ], Artificial/Terrestrial - Pastureland [ Suitable ], Shrubland - Temperate [ Suitable ]","Yes"
"38","Mammalia","Rodentia","Dipodidae","Pygeretmus pumilio","Shrubland - Subtropical/Tropical Dry [ Suitable ]","No"
"39","Mammalia","Rodentia","Dipodidae","Scarturus elater","Grassland - Temperate [ Suitable ], Desert - Temperate [ Marginal ]","No"
"40","Mammalia","Rodentia","Dipodidae","Dipus sagitta","Desert - Temperate [ Suitable ]","No"
"41","Mammalia","Rodentia","Dipodidae","Stylodipus telum","Desert - Temperate [ Suitable ], Grassland - Temperate [ Suitable ]","No"
"42","Mammalia","Rodentia","Sminthidae","Sicista betulina","Forest - Boreal [ Suitable ], Grassland - Tundra [ Suitable ], Grassland - Temperate [ Suitable ], Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [ Suitable ], Forest - Temperate [ Suitable ]","No"
"43","Mammalia","Rodentia","Sminthidae","Sicista caucasica","Grassland - Temperate [ Suitable ]","No"
"44","Mammalia","Rodentia","Sminthidae","Sicista caudata","Forest - Temperate [ Suitable ], Forest - Boreal [ Suitable ], Grassland - Temperate [ Suitable ]","No"
"45","Mammalia","Rodentia","Sminthidae","Sicista cimlanica","Grassland - Temperate [ Suitable ]","No"
"46","Mammalia","Rodentia","Sminthidae","Sicista kazbegica","Grassland - Subtropical/Tropical High Altitude [ Suitable ]","No"
"47","Mammalia","Rodentia","Sminthidae","Sicista kluchorica","Grassland - Temperate [ Suitable ]","No"
"48","Mammalia","Rodentia","Sminthidae","Sicista loriger","Grassland - Temperate [ Suitable ]","No"
"49","Mammalia","Rodentia","Sminthidae","Sicista severtzovi","Grassland - Temperate [ Suitable ]","No"
"50","Mammalia","Rodentia","Sminthidae","Sicista strandi","Grassland - Temperate [ Suitable ], Shrubland - Temperate [ Suitable ]","No"
"51","Mammalia","Rodentia","Sminthidae","Sicista subtilis","Artificial/Terrestrial - Pastureland [ Suitable ], Shrubland - Temperate [ Suitable ], Grassland - Temperate [ Suitable ]","Yes"
"52","Mammalia","Rodentia","Sminthidae","Sicista trizona","Grassland - Temperate [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ]","Yes"
"53","Mammalia","Rodentia","Cricetidae","Arvicola amphibius","Artificial/Terrestrial - Pastureland [ Suitable ], Forest - Boreal [ Suitable ], Grassland - Temperate [ Suitable ], Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [ Suitable ], Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [ Suitable ], Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [ Suitable ], Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [ Suitable ], Forest - Temperate [ Suitable ]","Yes"
"54","Mammalia","Rodentia","Cricetidae","Arvicola italicus","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [ Suitable ], Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [ Suitable ], Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [ Suitable ], Forest - Temperate [ Suitable ], Artificial/Terrestrial - Pastureland [ Suitable ], Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [ Suitable ]","Yes"
"55","Mammalia","Rodentia","Cricetidae","Arvicola sapidus","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [ Suitable ], Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [ Suitable ], Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [ Suitable ]","No"
"56","Mammalia","Rodentia","Cricetidae","Clethrionomys glareolus","Shrubland - Temperate [ Suitable ], Forest - Temperate [ Suitable ], Shrubland - Subarctic [ Suitable ], Forest - Boreal [ Suitable ], Shrubland - Boreal [ Suitable ], Forest - Subarctic [ Suitable ]","No"
"57","Mammalia","Rodentia","Cricetidae","Clethrionomys rutilus","Forest - Boreal [ Suitable ], Forest - Subarctic [ Suitable ]","No"
"58","Mammalia","Rodentia","Cricetidae","Craseomys rufocanus","Shrubland - Subarctic [ Suitable ], Forest - Boreal [ Suitable ], Forest - Subarctic [ Suitable ], Shrubland - Boreal [ Suitable ], Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [ Suitable ]","No"
