"","Class","Order","Family","Species","Habitats_IUCN"
"1","Aves","Accipitriformes","Accipitridae","Accipiter brevipes","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]"
"2","Aves","Accipitriformes","Accipitridae","Accipiter gentilis","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Temperate [Suitable]"
"3","Aves","Accipitriformes","Accipitridae","Accipiter nisus","Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]"
"4","Aves","Accipitriformes","Accipitridae","Aegypius monachus","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]"
"5","Aves","Accipitriformes","Accipitridae","Aquila adalberti","Artificial/Terrestrial - Arable Land [Suitable]; Savanna - Dry [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Forest - Temperate [Suitable]; Desert - Hot [Suitable]"
"6","Aves","Accipitriformes","Accipitridae","Aquila chrysaetos","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical High Altitude [Suitable]; Desert - Hot [Suitable]"
"7","Aves","Accipitriformes","Accipitridae","Aquila fasciata","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]"
"8","Aves","Accipitriformes","Accipitridae","Aquila heliaca","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]"
"9","Aves","Accipitriformes","Accipitridae","Buteo buteo","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]"
"10","Aves","Accipitriformes","Accipitridae","Buteo lagopus","Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]"
"11","Aves","Accipitriformes","Accipitridae","Buteo rufinus","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Savanna - Dry [Suitable]; Shrubland - Temperate [Suitable]; Desert - Hot [Suitable]"
"12","Aves","Accipitriformes","Accipitridae","Circaetus gallicus","Desert - Hot [Suitable]; Savanna - Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]"
"13","Aves","Accipitriformes","Accipitridae","Circus aeruginosus","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Desert - Hot [Suitable]"
"14","Aves","Accipitriformes","Accipitridae","Circus cyaneus","Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
"15","Aves","Accipitriformes","Accipitridae","Circus macrourus","Savanna - Dry [Suitable]; Forest - Boreal [Suitable]; Grassland - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]"
"16","Aves","Accipitriformes","Accipitridae","Circus pygargus","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
