"Class","Order","Family","Species","Habitats_IUCN"
"Mammalia","Artiodactyla","Bovidae","Bison bonasus","Artificial/Terrestrial - Arable Land [Marginal]; Artificial/Terrestrial - Pastureland [Suitable]; Unknown [Unknown]; Shrubland - Boreal [Marginal]; Shrubland - Temperate [Marginal]; Forest - Boreal [Suitable]; Grassland - Tundra [Marginal]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Artiodactyla","Bovidae","Capra ibex","Grassland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]"
"Mammalia","Artiodactyla","Bovidae","Capra pyrenaica","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Artiodactyla","Bovidae","Rupicapra pyrenaica","Shrubland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]; Grassland - Temperate [Suitable]"
"Mammalia","Artiodactyla","Bovidae","Rupicapra rupicapra","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Marginal]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Temperate [Suitable]"
"Mammalia","Artiodactyla","Cervidae","Alces alces","Artificial/Terrestrial - Pastureland [Marginal]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Marginal]"
"Mammalia","Artiodactyla","Cervidae","Capreolus capreolus","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Boreal [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Artiodactyla","Cervidae","Cervus elaphus","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]"
"Mammalia","Artiodactyla","Cervidae","Dama dama","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Shrubland - Temperate [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]"
"Mammalia","Artiodactyla","Cervidae","Rangifer tarandus","Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Grassland - Tundra [Suitable]; Shrubland - Subarctic [Suitable]"
"Mammalia","Artiodactyla","Suidae","Sus scrofa","Forest - Temperate [Suitable]; Forest - Boreal [Marginal]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Plantations [Marginal]; Artificial/Terrestrial - Rural Gardens [Marginal]; Artificial/Terrestrial - Urban Areas [Marginal]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
"Mammalia","Carnivora","Canidae","Canis aureus","Artificial/Terrestrial - Plantations [Marginal]; Artificial/Terrestrial - Urban Areas [Marginal]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]"
