"","x"
"1","Aquila clanga"
"2","Aquila pomarina"
"3","Charadrius morinellus"
"4","Chroicocephalus genei"
"5","Chroicocephalus ridibundus"
"6","Ichthyaetus audouinii"
"7","Ichthyaetus ichthyaetus"
"8","Ichthyaetus melanocephalus"
"9","Stercorarius skua"
"10","Bonasa bonasia"
"11","Porzana parva"
"12","Porzana pusilla"
"13","Calandrella rufescens"
"14","Melanocorypha leucoptera"
"15","Coloeus monedula"
"16","Acanthis hornemanni"
"17","Cyanecula svecica"
"18","Erythropygia galactotes"
"19","Luscinia calliope"
"20","Parus montanus"
"21","Phylloscopus sibillatrix"
"22","Sinosuthora alphonsiana"
"23","Sinosuthora webbiana"
"24","Sylvia balearica"
"25","Sylvia cantillans"
"26","Sylvia communis"
"27","Sylvia conspicillata"
"28","Sylvia crassirostris"
"29","Sylvia curruca"
"30","Sylvia hortensis"
"31","Sylvia melanocephala"
"32","Sylvia melanothorax"
"33","Sylvia mystacea"
"34","Sylvia nana"
"35","Sylvia nisoria"
"36","Sylvia ruppeli"
"37","Sylvia sarda"
"38","Sylvia subalpina"
"39","Sylvia undata"
"40","Dendrocoptes medius"
"41","Oceanodroma castro"
"42","Oceanodroma leucorhoa"
"43","Psittacula eupatria"
"44","Psittacula krameri"
"45","Microcarbo pygmeus"
