cell50x50,SR
32TNR1,26
31TFJ3,32
32TPP2,26
31TDG2,24
33TTG3,21
33TTG4,21
33TUM4,24
33TUF3,20
33TXM1,25
33TVL4,22
33UXP2,32
33TXL2,25
33UXP4,34
34SDJ1,30
34TCS4,29
34TDR4,39
34TET1,35
34UCV1,27
34TGS2,24
34UDC4,33
34UCU3,26
34TES1,32
34UEE2,29
34UFE4,31
34UFF4,40
34UFC1,35
34UGU2,21
35TMH2,34
35TMF2,45
35TMN2,19
35TMH4,32
35TNH1,33
35TNN4,32
35UNP2,31
29TQH2,27
30TVN2,29
30TUN3,24
30TYM1,38
30TXN4,25
31TCG1,26
32TMS4,18
32TPT1,24
32TPS4,19
33TUL3,31
33TVM1,21
33TWK1,16
33TVG1,27
33TWJ3,25
34SFF1,24
35TKF4,39
29TNG3,26
29TMH3,16
29UMT4,19
29SQD2,36
30STF4,38
29TPF3,31
30SVK4,32
30SUJ2,34
30SWH1,33
30TVM4,28
30TWK1,28
30TVK1,31
30TWM2,28
30TXK3,21
30UVC1,32
31TDG1,27
31TEJ2,34
32TKQ3,22
31TCH2,24
32TKP3,32
31TGK1,22
34SFJ2,30
33TUH1,23
34SFH4,19
29SND3,21
29SNC3,29
29SPB2,31
29SNB3,29
29SQA1,40
29TPJ2,21
29SPC4,29
30SUK2,32
30SUF1,29
29TPH4,23
30SVH3,34
30TUM1,31
30TVM1,31
30TUN4,28
30TXM1,37
30TUN2,31
31TDH4,36
31TCF2,37
31TDG4,24
29SQB1,25
29SNC4,30
29TNG1,20
29TNH2,23
29TPF4,32
29UMT2,21
29TQF1,29
30SVF1,30
29UNU3,20
30SWG1,26
30SXG3,30
30SXJ4,23
30TTK3,27
30TUL4,33
30TWN1,26
30TTN3,22
30TVM3,29
30TWT4,38
30TWS3,34
30TXM3,33
30TXR1,31
30TXT3,30
30TXP3,16
30UUA2,25
30UVF1,38
30UUG4,31
30UWF1,32
30UVU3,23
30UXC2,25
30UWU1,26
30UXD4,28
30UWG4,31
30UYU2,22
31TFJ2,44
31TCH4,19
31TCG4,26
31TCK4,16
31TCM1,26
31TDN3,26
31TDJ2,17
31TEN3,19
31TFK4,25
31TGM1,26
31TFM3,27
31TFJ4,34
31UDR3,26
31UER4,25
31UES2,27
31UFS1,32
31UDP4,26
31UFR3,19
31UFS4,30
31UGP1,27
31UFU1,37
31VFG2,29
31VFH1,28
32TLP1,21
32TMT1,23
32TPN1,23
32TNS2,21
32TPR1,20
32TPP4,23
32TPQ1,31
32TQN2,22
32ULU2,20
32UMD2,30
32ULC4,26
32UMD3,37
