"cell50x50","SR"
"32UPE1",36
"29SMC3",21
"29SMD3",22
"29SMD4",21
"29SNB1",27
"29SNB2",29
"29SNB3",30
"29SNC2",19
"29SNC3",28
"29SNC4",33
"29SND1",28
"29SND2",30
"29SND3",16
"29SND4",23
"29SNE2",26
"29SPB2",28
"29SPB3",26
"29SPB4",32
"29SPC1",27
"29SPC4",25
"29SPD2",26
"29SPD4",32
"29SPE2",24
"29SPE4",28
"29SQA1",42
"29SQB1",28
"29SQC2",26
"29SQD1",31
"29SQD2",32
"29SQE2",31
"29TNF2",26
"29TNF3",17
"29TNF4",14
"29TNG3",20
"29TNG4",17
"29TNH1",21
"29TNH2",25
"29TNH3",18
"29TNH4",17
"29TPE1",19
"29TPE3",23
"29TPF1",19
"29TPF2",19
"29TPF3",24
"29TPF4",25
"29TPG1",26
"29TPG2",22
"29TPG4",19
"29TPH2",18
"29TPH4",21
"29TQE1",30
"29TQF1",30
"29TQF2",31
"29TQG2",28
"29TQH1",21
"29TQH2",22
"29UPA4",23
"29UPB2",27
"29UPU4",17
"30STF3",32
"30STF4",35
"30STH3",31
"30STJ3",33
"30STJ4",35
"30STK4",37
"30SUF1",31
"30SUF3",38
"30SUG3",27
"30SUG4",31
"30SUH2",24
"30SUJ1",31
"30SUJ2",30
"30SUK2",35
"30SUK4",35
"30SVF1",32
"30SVF3",29
"30SVG2",31
"30SVG3",29
"30SVG4",28
"30SVH3",29
"30SVK4",33
"30SWG2",24
"30SWH1",32
"30SXG3",31
"30SXH2",27
"30SXH4",36
"30SXJ1",23
"30SXJ3",24
"30SXJ4",32
"30SXK2",24
"30SXK4",23
"30SYH1",26
"30SYJ1",34
"30SYJ2",29
"30SYK2",28
"30TTK3",29
"30TTL4",34
"30TTN3",22
"30TTN4",34
"30TUK1",30
"30TUK3",27
"30TUL1",34
"30TUL2",34
"30TUL3",34
"30TUL4",34
"30TUM1",33
"30TUM2",32
"30TUM3",36
"30TUM4",32
"30TUN1",23
"30TUN2",32
"30TUN3",23
"30TUN4",31
"30TUP4",23
"30TVK1",33
"30TVL1",32
"30TVL2",32
"30TVL3",30
"30TVL4",33
"30TVM1",29
"30TVM2",30
"30TVM3",30
"30TVM4",27
"30TVN1",32
"30TVN2",30
"30TVN3",27
"30TVN4",30
"30TVT1",23
"30TVT3",30
"30TWK1",29
"30TWK3",23
"30TWL1",31
"30TWL2",29
"30TWL4",26
"30TWM1",28
"30TWM2",30
"30TWM3",34
"30TWM4",32
"30TWN1",29
"30TWN2",35
"30TWN3",25
"30TWN4",32
"30TWS3",34
"30TWT1",30
"30TWT2",29
"30TWT3",25
"30TWT4",43
"30TXK3",26
"30TXL3",34
"30TXM1",42
"30TXM2",36
"30TXM3",34
"30TXN1",22
"30TXN2",36
"30TXN3",25
"30TXN4",25
"30TXP1",18
"30TXP2",28
"30TXP3",23
"30TXP4",25
"30TXQ1",23
"30TXQ3",26
"30TXR1",34
"30TXR3",40
"30TXR4",34
"30TXS1",22
"30TXS2",40
"30TXS3",24
"30TXS4",31
"30TXT1",23
"30TXT2",39
"30TXT3",32
"30TXT4",28
"30TYK1",23
"30TYL1",34
"30TYM1",34
"30TYM2",32
"30TYN1",21
"30TYN2",26
"30TYQ1",22
"30TYQ2",19
"30TYR1",29
"30TYR2",18
"30TYS1",28
"30TYT1",29
"30TYT2",32
"30UUA2",24
"30UUB4",21
"30UUC3",22
"30UUC4",30
"30UUG3",29
"30UUU3",26
"30UUU4",27
"30UVA1",22
"30UVB2",19
"30UVB3",28
"30UVB4",27
"30UVC2",32
"30UVC4",30
"30UVD1",36
"30UVD3",30
"30UVD4",24
"30UVE4",35
"30UVF1",28
"30UVF3",32
"30UVF4",31
"30UVG1",32
"30UVG3",30
"30UVG4",29
"30UVU1",27
"30UVU2",26
"30UVU3",22
"30UVU4",20
"30UVV4",21
"30UWB2",30
"30UWB3",25
"30UWB4",33
"30UWC1",25
"30UWC2",33
"30UWC3",28
"30UWC4",31
"30UWD1",30
"30UWD2",26
"30UWD3",34
"30UWD4",30
"30UWE1",36
"30UWE3",34
"30UWE4",31
"30UWF1",30
"30UWF2",36
"30UWF3",34
"30UWG1",32
"30UWG2",24
"30UWG4",34
"30UWU1",23
"30UWU2",16
"30UWU3",29
"30UWU4",23
"30UWV3",26
"30UXB2",33
"30UXB3",27
"30UXB4",32
"30UXC1",26
"30UXC2",32
