"cell50x50","SR_natural_ebba1","SR_human_dominated_ebba1","SR_natural_ebba2","SR_human_dominated_ebba2","deltaSR_bird_natural","deltaSR_bird_human_dominated","SR_natural_m_b2000","SR_human_dominated_m_b2000","SR_natural_m_a2015","SR_human_dominated_m_a2015","deltaSR_mammal_natural","deltaSR_mammal_human_dominated"
"29SMC3",5,99,14,110,9,11,3,7,3,26,0,19
"29SMD3",9,93,11,91,2,-2,1,2,2,19,1,17
"29SMD4",7,109,11,102,4,-7,1,4,2,21,1,17
"29SME4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"29SNA1",NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA
"29SNA3",NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA
"29SNB1",4,94,8,107,4,13,2,3,2,13,0,10
"29SNB2",7,109,12,116,5,7,1,9,4,20,3,11
"29SNB3",5,99,10,114,5,15,NA,1,4,17,NA,16
"29SNB4",NA,NA,NA,NA,NA,NA,NA,6,4,17,NA,11
"29SNC1",NA,NA,NA,NA,NA,NA,1,5,2,19,1,14
"29SNC2",7,100,10,93,3,-7,2,5,3,11,1,6
"29SNC3",7,105,11,116,4,11,2,7,2,16,0,9
"29SNC4",7,103,15,126,8,23,1,2,2,13,1,11
"29SND1",10,100,14,116,4,16,1,5,4,23,3,18
"29SND2",10,105,15,119,5,14,2,5,2,15,0,10
"29SND3",7,89,9,98,2,9,1,1,2,18,1,17
"29SND4",7,107,11,105,4,-2,1,3,2,20,1,17
"29SNE2",8,97,8,101,0,4,1,4,4,20,3,16
"29SNE4",7,91,8,87,1,-4,NA,NA,4,20,NA,NA
"29SPA1",NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA
"29SPB1",NA,NA,NA,NA,NA,NA,NA,1,3,18,NA,17
"29SPB2",7,111,12,114,5,3,NA,1,3,21,NA,20
"29SPB3",14,101,8,100,-6,-1,NA,1,3,18,NA,17
"29SPB4",9,109,19,121,10,12,NA,1,3,16,NA,15
"29SPC1",7,99,12,114,5,15,2,3,2,14,0,11
"29SPC2",NA,NA,NA,NA,NA,NA,NA,2,3,10,NA,8
"29SPC3",NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA
"29SPC4",8,112,12,115,4,3,2,3,2,12,0,9
"29SPD1",NA,NA,NA,NA,NA,NA,1,1,3,21,2,20
"29SPD2",4,101,9,104,5,3,NA,NA,3,20,NA,NA
"29SPD3",NA,NA,NA,NA,NA,NA,NA,1,1,12,NA,11
"29SPD4",12,121,19,135,7,14,1,1,2,19,1,18
"29SPE2",7,102,10,108,3,6,1,4,2,21,1,17
"29SPE4",14,123,13,121,-1,-2,1,2,2,18,1,16
"29SQA1",18,123,21,146,3,23,4,12,3,22,-1,10
"29SQA2",11,108,14,108,3,0,NA,1,2,16,NA,15
"29SQB1",16,106,14,117,-2,11,NA,1,4,24,NA,23
"29SQB2",NA,NA,NA,NA,NA,NA,3,12,4,26,1,14
"29SQC1",NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA
"29SQC2",8,98,9,113,1,15,NA,NA,2,18,NA,NA
"29SQD1",13,114,14,123,1,9,NA,1,2,15,NA,14
"29SQD2",12,116,20,134,8,18,NA,1,2,14,NA,13
"29SQE2",11,119,20,134,9,15,NA,6,3,22,NA,16
"29TMH3",5,61,10,65,5,4,NA,NA,3,11,NA,NA
"29TMH4",NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA
"29TNE1",NA,NA,NA,NA,NA,NA,NA,1,2,27,NA,26
"29TNE3",NA,NA,NA,NA,NA,NA,1,5,3,22,2,17
"29TNF1",NA,NA,NA,NA,NA,NA,NA,4,2,16,NA,12
"29TNF2",4,83,9,100,5,17,1,2,3,20,2,18
"29TNF3",8,71,8,93,0,22,NA,5,6,24,NA,19
"29TNF4",7,81,8,85,1,4,1,3,3,19,2,16
"29TNG1",11,89,13,104,2,15,NA,NA,4,21,NA,NA
"29TNG2",8,94,10,89,2,-5,1,4,2,20,1,16
"29TNG3",8,100,10,107,2,7,1,NA,5,20,4,NA
"29TNG4",9,111,10,101,1,-10,2,5,5,20,3,15
"29TNH1",6,89,10,95,4,6,NA,3,3,23,NA,20
"29TNH2",8,90,15,106,7,16,2,NA,3,18,1,NA
"29TNH3",5,79,10,88,5,9,NA,NA,3,20,NA,NA
"29TNH4",3,75,8,82,5,7,NA,NA,2,15,NA,NA
"29TNJ2",NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA
"29TNJ4",NA,NA,NA,NA,NA,NA,1,NA,5,30,4,NA
"29TPE1",7,92,12,106,5,14,NA,2,3,21,NA,19
"29TPE3",13,121,13,107,0,-14,1,13,3,16,2,3
"29TPF1",7,86,10,108,3,22,1,6,5,34,4,28
"29TPF2",5,94,9,98,4,4,NA,2,4,11,NA,9
"29TPF3",11,110,13,117,2,7,NA,2,7,32,NA,30
"29TPF4",16,122,14,118,-2,-4,NA,NA,3,21,NA,NA
"29TPG1",9,108,12,122,3,14,NA,1,4,18,NA,17
"29TPG2",10,115,9,113,-1,-2,NA,4,3,15,NA,11
"29TPG3",NA,NA,NA,NA,NA,NA,1,4,3,20,2,16
"29TPG4",11,113,11,113,0,0,1,7,3,27,2,20
"29TPH1",NA,NA,NA,NA,NA,NA,NA,1,5,27,NA,26
"29TPH2",7,91,9,88,2,-3,2,NA,3,18,1,NA
"29TPH3",NA,NA,NA,NA,NA,NA,1,1,6,30,5,29
"29TPH4",10,107,9,110,-1,3,1,1,6,36,5,35
"29TPJ2",5,80,8,80,3,0,NA,NA,3,18,NA,NA
"29TPJ4",NA,NA,NA,NA,NA,NA,NA,NA,7,30,NA,NA
"29TQE1",18,116,18,132,0,16,NA,20,3,21,NA,1
"29TQF1",14,109,13,131,-1,22,NA,2,5,30,NA,28
"29TQF2",18,129,13,117,-5,-12,NA,NA,1,12,NA,NA
"29TQG1",NA,NA,NA,NA,NA,NA,1,9,4,31,3,22
"29TQG2",12,109,13,125,1,16,1,6,4,31,3,25
"29TQH1",15,87,17,107,2,20,NA,NA,5,28,NA,NA
"29TQH2",9,103,11,114,2,11,1,1,4,28,3,27
"29TQJ2",NA,NA,NA,NA,NA,NA,NA,NA,4,16,NA,NA
"29ULT3",NA,NA,NA,NA,NA,NA,2,4,1,2,-1,-2
"29UMA2",20,79,20,62,0,-17,2,4,3,4,1,0
"29UMA4",20,77,15,60,-5,-17,2,3,3,8,1,5
"29UMT1",21,86,21,65,0,-21,3,11,4,10,1,-1
"29UMT2",13,65,18,72,5,7,3,6,4,14,1,8
"29UMT3",NA,NA,NA,NA,NA,NA,4,10,4,17,0,7
"29UMT4",12,58,14,76,2,18,3,10,4,11,1,1
"29UMU2",NA,NA,NA,NA,NA,NA,2,3,3,2,1,-1
"29UMU3",18,81,16,68,-2,-13,4,10,4,13,0,3
"29UMU4",NA,NA,NA,NA,NA,NA,3,5,4,10,1,5
"29UMV1",NA,NA,NA,NA,NA,NA,2,5,3,10,1,5
"29UMV2",21,69,23,74,2,5,3,4,3,8,0,4
"29UMV3",NA,NA,NA,NA,NA,NA,3,4,4,14,1,10
"29UMV4",15,80,13,84,-2,4,3,6,4,16,1,10
"29UNA1",25,82,17,67,-8,-15,3,4,3,10,0,6
"29UNA2",16,80,21,75,5,-5,3,11,4,10,1,-1
"29UNA3",11,83,9,77,-2,-6,3,12,3,14,0,2
"29UNA4",13,86,11,84,-2,-2,3,17,3,17,0,0
"29UNB4",24,86,22,84,-2,-2,2,6,3,9,1,3
"29UNT1",16,75,6,69,-10,-6,3,7,4,13,1,6
"29UNT2",10,65,15,67,5,2,3,8,4,14,1,6
"29UNT3",14,75,16,75,2,0,4,10,4,12,0,2
"29UNU1",NA,NA,NA,NA,NA,NA,4,10,4,14,0,4
"29UNU2",9,74,10,75,1,1,4,9,4,18,0,9
"29UNU3",6,73,7,79,1,6,3,8,4,11,1,3
"29UNU4",5,78,6,72,1,-6,3,8,5,12,2,4
"29UNV1",NA,NA,NA,NA,NA,NA,3,8,4,13,1,5
"29UNV2",NA,NA,NA,NA,NA,NA,3,6,4,12,1,6
"29UNV3",NA,NA,NA,NA,NA,NA,3,8,4,13,1,5
"29UNV4",11,82,8,82,-3,0,3,7,4,12,1,5
"29UPA1",NA,NA,NA,NA,NA,NA,2,9,3,17,1,8
"29UPA2",6,74,6,71,0,-3,2,15,3,16,1,1
"29UPA3",NA,NA,NA,NA,NA,NA,2,10,4,16,2,6
"29UPA4",17,78,11,79,-6,1,2,14,3,19,1,5
"29UPB2",17,87,22,82,5,-5,3,8,3,12,0,4
