cell50x50,SR_forest_ebba1,SR_agriculture_ebba1,SR_generalist_ebba1,SR_forest_ebba2,SR_agriculture_ebba2,SR_generalist_ebba2,deltaSR_bird_forest,deltaSR_bird_agriculture,deltaSR_bird_generalist,SR_forest_m_b2000,SR_agriculture_m_b2000,SR_generalist_m_b2000,SR_forest_m_a2015,SR_agriculture_m_a2015,SR_generalist_m_a2015,deltaSR_mammal_forest,deltaSR_mammal_agriculture,deltaSR_mammal_generalist
29SMC3,21,25,67,23,21,75,2,-4,8,3,NA,7,5,3,21,2,NA,14
29SMD3,20,24,65,16,22,61,-4,-2,-4,1,NA,2,3,3,15,2,NA,13
29SMD4,26,28,69,22,21,67,-4,-7,-2,1,NA,4,4,3,16,3,NA,12
29SME4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
29SNA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
29SNA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA
29SNB1,23,24,60,23,27,62,0,3,2,1,NA,4,2,2,11,1,NA,7
29SNB2,26,27,73,25,28,73,-1,1,0,2,3,5,4,3,17,2,0,12
29SNB3,21,29,61,21,30,72,0,1,11,NA,NA,1,4,2,15,NA,NA,14
29SNB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,17,NA,NA,11
29SNC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,2,17,1,NA,12
29SNC2,20,26,67,22,18,60,2,-8,-7,2,NA,5,1,NA,13,-1,NA,8
29SNC3,21,29,70,23,28,74,2,-1,4,1,NA,8,2,1,15,1,NA,7
29SNC4,23,30,65,23,32,82,0,2,17,1,NA,2,2,NA,13,1,NA,11
29SND1,22,26,68,25,26,75,3,0,7,1,NA,5,5,2,20,4,NA,15
29SND2,22,28,72,24,28,78,2,0,6,1,NA,6,2,1,14,1,NA,8
29SND3,24,21,58,25,16,66,1,-5,8,1,NA,1,4,1,15,3,NA,14
29SND4,24,26,71,25,22,67,1,-4,-4,1,NA,3,4,1,17,3,NA,14
29SNE2,21,25,67,18,24,65,-3,-1,-2,1,NA,4,5,2,17,4,NA,13
29SNE4,25,20,59,25,13,58,0,-7,-1,NA,NA,NA,5,1,18,NA,NA,NA
29SPA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,NA,NA,NA
29SPB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,14,NA,NA,13
29SPB2,25,31,73,22,28,77,-3,-3,4,NA,NA,1,5,2,17,NA,NA,16
29SPB3,28,26,72,23,26,58,-5,0,-14,NA,NA,1,3,1,17,NA,NA,16
29SPB4,25,29,76,26,32,82,1,3,6,NA,NA,1,3,NA,16,NA,NA,15
29SPC1,22,28,67,24,27,76,2,-1,9,1,NA,4,2,1,13,1,NA,9
29SPC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,9,NA,NA,7
29SPC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA
29SPC4,28,29,74,26,25,76,-2,-4,2,1,NA,4,2,NA,12,1,NA,8
29SPD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,17,NA,NA,15
29SPD2,18,28,67,18,26,69,0,-2,2,NA,NA,NA,2,3,18,NA,NA,NA
29SPD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,11,NA,NA,10
29SPD4,31,36,76,33,31,86,2,-5,10,1,NA,1,2,2,17,1,NA,16
29SPE2,26,26,68,25,24,71,-1,-2,3,1,NA,4,3,1,19,2,NA,15
29SPE4,33,34,80,29,28,78,-4,-6,-2,1,NA,2,3,1,16,2,NA,14
29SQA1,23,40,92,26,41,100,3,1,8,4,2,10,6,1,18,2,-1,8
29SQA2,20,33,75,20,27,75,0,-6,0,NA,NA,1,3,1,14,NA,NA,13
29SQB1,31,25,77,27,28,76,-4,3,-1,NA,NA,1,4,2,22,NA,NA,21
29SQB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,10,6,3,21,3,1,11
29SQC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA
29SQC2,24,25,68,27,26,70,3,1,2,NA,NA,NA,3,1,16,NA,NA,NA
