cell50x50,SR_natural_ebba1,SR_human_dominated_ebba1,SR_natural_ebba2,SR_human_dominated_ebba2,deltaSR_bird_natural,deltaSR_bird_human_dominated,SR_natural_m_b2000,SR_human_dominated_m_b2000,SR_natural_m_a2015,SR_human_dominated_m_a2015,deltaSR_mammal_natural,deltaSR_mammal_human_dominated
29SMC3,7,106,11,108,4,2,3,7,3,26,0,19
29SMD3,11,98,8,91,-3,-7,1,2,2,19,1,17
29SMD4,8,115,9,101,1,-14,1,4,2,21,1,17
29SME4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
29SNA1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA
29SNA3,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA
29SNB1,7,100,6,106,-1,6,2,3,2,13,0,10
29SNB2,11,115,12,114,1,-1,1,9,4,20,3,11
29SNB3,7,104,10,113,3,9,NA,1,4,17,NA,16
29SNB4,NA,NA,NA,NA,NA,NA,NA,6,4,17,NA,11
29SNC1,NA,NA,NA,NA,NA,NA,1,5,2,19,1,14
29SNC2,9,104,9,91,0,-13,2,5,3,11,1,6
29SNC3,9,111,10,115,1,4,2,7,2,16,0,9
29SNC4,9,109,15,122,6,13,1,2,2,13,1,11
29SND1,11,105,13,113,2,8,1,5,4,23,3,18
29SND2,11,111,14,116,3,5,2,5,2,15,0,10
29SND3,9,94,9,98,0,4,1,1,2,18,1,17
29SND4,9,112,11,103,2,-9,1,3,2,20,1,17
29SNE2,9,104,7,100,-2,-4,1,4,4,20,3,16
29SNE4,8,96,8,88,0,-8,NA,NA,4,20,NA,NA
29SPA1,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA
29SPB1,NA,NA,NA,NA,NA,NA,NA,1,3,18,NA,17
29SPB2,11,118,13,114,2,-4,NA,1,3,21,NA,20
29SPB3,17,109,8,99,-9,-10,NA,1,3,18,NA,17
29SPB4,13,117,19,121,6,4,NA,1,3,16,NA,15
29SPC1,10,107,13,114,3,7,2,3,2,14,0,11
29SPC2,NA,NA,NA,NA,NA,NA,NA,2,3,10,NA,8
29SPC3,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA
29SPC4,11,120,12,115,1,-5,2,3,2,12,0,9
29SPD1,NA,NA,NA,NA,NA,NA,1,1,3,21,2,20
29SPD2,6,107,9,104,3,-3,NA,NA,3,20,NA,NA
29SPD3,NA,NA,NA,NA,NA,NA,NA,1,1,12,NA,11
29SPD4,14,129,18,132,4,3,1,1,2,19,1,18
29SPE2,10,110,11,109,1,-1,1,4,2,21,1,17
29SPE4,17,130,14,121,-3,-9,1,2,2,18,1,16
29SQA1,22,133,22,145,0,12,4,12,3,22,-1,10
29SQA2,13,115,14,108,1,-7,NA,1,2,16,NA,15
29SQB1,19,114,15,116,-4,2,NA,1,4,24,NA,23
29SQB2,NA,NA,NA,NA,NA,NA,3,12,4,26,1,14
29SQC1,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA
29SQC2,11,106,9,114,-2,8,NA,NA,2,18,NA,NA
29SQD1,16,121,16,123,0,2,NA,1,2,15,NA,14
29SQD2,14,124,21,132,7,8,NA,1,2,14,NA,13
29SQE2,14,126,21,132,7,6,NA,6,3,22,NA,16
29TMH3,6,67,7,67,1,0,NA,NA,3,11,NA,NA
29TMH4,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA
29TNE1,NA,NA,NA,NA,NA,NA,NA,1,2,27,NA,26
29TNE3,NA,NA,NA,NA,NA,NA,1,5,3,22,2,17
29TNF1,NA,NA,NA,NA,NA,NA,NA,4,2,16,NA,12
29TNF2,5,89,8,100,3,11,1,2,3,20,2,18
29TNF3,9,78,8,94,-1,16,NA,5,6,24,NA,19
29TNF4,9,87,8,86,-1,-1,1,3,3,19,2,16
29TNG1,12,97,9,107,-3,10,NA,NA,4,21,NA,NA
29TNG2,9,101,8,91,-1,-10,1,4,2,20,1,16
29TNG3,10,107,10,109,0,2,1,NA,5,20,4,NA
29TNG4,11,118,10,102,-1,-16,2,5,5,20,3,15
29TNH1,7,95,7,97,0,2,NA,3,3,23,NA,20
29TNH2,9,98,10,108,1,10,2,NA,3,18,1,NA
29TNH3,6,86,7,90,1,4,NA,NA,3,20,NA,NA
29TNH4,4,82,7,84,3,2,NA,NA,2,15,NA,NA
29TNJ2,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA
29TNJ4,NA,NA,NA,NA,NA,NA,1,NA,5,30,4,NA
29TPE1,9,98,13,106,4,8,NA,2,3,21,NA,19
29TPE3,16,129,14,108,-2,-21,1,13,3,16,2,3
29TPF1,9,93,11,108,2,15,1,6,5,34,4,28
29TPF2,7,100,10,98,3,-2,NA,2,4,11,NA,9
29TPF3,14,117,14,118,0,1,NA,2,7,32,NA,30
29TPF4,19,129,15,119,-4,-10,NA,NA,3,21,NA,NA
29TPG1,11,115,13,124,2,9,NA,1,4,18,NA,17
29TPG2,12,122,10,114,-2,-8,NA,4,3,15,NA,11
29TPG3,NA,NA,NA,NA,NA,NA,1,4,3,20,2,16
29TPG4,13,121,12,115,-1,-6,1,7,3,27,2,20
29TPH1,NA,NA,NA,NA,NA,NA,NA,1,5,27,NA,26
29TPH2,9,98,9,89,0,-9,2,NA,3,18,1,NA
29TPH3,NA,NA,NA,NA,NA,NA,1,1,6,30,5,29
