"cell50x50","SR"
"29UNA4",103
"30SVK4",120
"29UPA2",84
"29UPU3",109
"30SYK2",142
"29UPU2",101
"30TUK1",145
"30TVL2",150
"30TXL2",69
"30TVP2",96
"30UVB1",89
"30TXN2",157
"30UUF3",130
"30UUU4",123
"30UWC1",108
"30UVG3",132
"30UXB1",104
"30UXV1",141
"30UWU4",108
"30UWB4",135
"30UXE3",146
"30UXC3",105
"30UXE2",128
"30VUK4",99
"30VVK2",109
"31TCN4",139
"31TCL3",125
"31TCL4",121
"31TEJ2",156
"31TFK3",157
"31TFM4",154
"31TDN2",130
"31UCR4",135
"31UCU2",148
"31UCS2",139
"31UDR1",165
"31UEP4",131
"31UET4",150
"31UFT3",155
"31UDR4",128
"31UFV4",135
"31UFS2",116
"31VFJ1",153
"32TLQ3",153
"32TLR2",123
"32TMR1",133
"32TMT2",148
"32TQT2",117
"32TNQ2",122
"32TPT3",149
"32TPR1",136
"32ULA4",118
"32ULU4",158
"32UMD3",144
"32UNA3",129
"32UMF3",156
"32UMB3",114
"32UMC1",133
"32UND3",139
"32UNU3",136
"32UPA3",133
"32UPU2",134
"32UPU1",142
"32UPC4",161
"32UQU1",137
"32VML1",131
"32VMQ3",144
"32VNJ2",140
"32VNH2",122
"32VPN2",154
"33TUN4",102
"32VNP2",153
"32VPN1",142
"33TUG4",134
"32VPL4",128
"33TUH4",124
"33TVN2",111
"33TVL4",145
"33TWL3",142
"33UVQ4",180
"33UUT2",155
"33UUQ2",149
"33UVQ3",156
"33UUQ4",157
"33UVU3",171
"33UVR4",153
"33UVT2",140
"33UWQ2",157
"33UWS3",156
"33UWR1",157
"33UXR3",155
"33UXT1",170
"33UXQ1",146
"33UXU4",139
"33UXR4",171
"33VUG4",132
"33VUE3",146
"33VVL4",126
"33VWE3",159
"33VWE2",134
"33VWH4",129
"33VWK2",130
"33WUM4",115
"33VWK1",123
"33WVN2",132
"33WVN1",80
"33WWN2",127
"33WVR4",56
"34SEJ4",115
"34TFN3",154
"33WWS4",110
"34TBR4",118
"34TDM3",108
"34TFS1",112
"34UCD1",148
"34UCU3",153
"34UCB2",154
"34UDU1",164
"34UDE2",149
"34UDA2",149
"34UDA4",155
"34UEC2",164
"34UEE3",159
"34UED4",161
"34UEU4",137
"34UFB2",159
"34UFG1",154
"34UFG3",133
"34VEN1",169
"34VEP3",144
"34VFR1",165
"34WEA3",119
"34WFV1",131
"34WCS4",129
"35TLH4",156
"35TLM4",143
"35TMH2",160
"34WDT4",131
"35TMN1",102
"35UMA3",169
"35TLH2",171
"35ULA2",156
"35VLC3",147
"35VLH3",167
"35VMD1",148
"35VLJ3",147
"35VMH4",172
