cell50x50,SR
31TCN3,150
31TDN1,147
32TMQ1,116
32TMQ3,129
32TMR2,153
32TMR3,153
32TMR4,130
32TNQ1,154
32TNR2,123
33TUL4,133
33TVL1,172
33TVL2,172
29SMC3,119
29SMD3,99
29SMD4,110
29SNB1,112
29SNB2,126
29SNB3,123
29SNC2,100
29SNC3,125
29SNC4,137
29SND1,126
29SND2,130
29SND3,107
29SND4,114
29SNE2,107
29SPB2,127
29SPB3,107
29SPB4,140
29SPC1,127
29SPC4,127
29SPD2,113
29SPD4,150
29SPE2,120
29SPE4,135
29SQA1,167
29SQB1,131
29SQC2,123
29SQD1,139
29SQD2,153
29SQE2,153
29TNF2,108
29TNF3,102
29TNF4,94
29TNG3,119
29TNG4,112
29TNH1,104
29TNH2,118
29TNH3,97
29TNH4,91
29TPE1,119
29TPE3,122
29TPF1,119
29TPF2,108
29TPF3,132
29TPF4,134
29TPG1,137
29TPG2,124
29TPG4,127
29TPH2,98
29TPH4,122
29TQE1,152
29TQF1,146
29TQF2,132
29TQG2,141
29TQH1,126
29TQH2,128
29UPA4,91
29UPB2,104
29UPU4,87
30STF3,153
30STF4,160
30STH3,119
30STJ3,155
30STJ4,150
30STK4,177
30SUF1,141
30SUF3,158
30SUG3,107
30SUG4,144
30SUH2,113
30SUJ1,138
30SUJ2,124
30SUK2,155
30SUK4,154
30SVF1,143
30SVF3,138
30SVG2,138
30SVG3,129
30SVG4,123
30SVH3,118
30SVK4,145
30SWG2,110
30SWH1,126
30SXG3,142
30SXH2,123
30SXH4,155
30SXJ1,109
30SXJ3,122
30SXJ4,129
30SXK2,127
30SXK4,128
30SYH1,137
30SYJ1,158
30SYJ2,141
30SYK2,143
30TTK3,148
30TTL4,144
30TTN3,119
30TTN4,151
30TUK1,148
30TUK3,142
30TUL1,138
30TUL2,143
30TUL3,140
30TUL4,152
30TUM1,129
30TUM2,131
30TUM3,136
30TUM4,137
30TUN1,138
30TUN2,146
30TUN3,134
30TUN4,150
30TUP4,114
30TVK1,162
30TVL1,145
30TVL2,159
30TVL3,143
30TVL4,155
30TVM1,138
30TVM2,139
30TVM3,154
30TVM4,135
30TVN1,150
30TVN2,145
30TVN3,147
30TVN4,146
30TVT1,105
30TVT3,134
30TWK1,146
30TWK3,126
30TWL1,135
30TWL2,138
30TWL4,116
30TWM1,149
30TWM2,144
30TWM3,154
30TWM4,145
30TWN1,147
30TWN2,173
30TWN3,138
30TWN4,158
30TWS3,142
30TWT1,141
30TWT2,126
30TWT3,127
30TWT4,159
30TXK3,122
30TXL3,138
30TXM1,164
30TXM2,156
30TXM3,162
30TXN1,132
30TXN2,165
30TXN3,139
30TXN4,154
30TXP1,118
30TXP2,147
30TXP3,117
30TXP4,132
30TXQ1,121
30TXQ3,138
30TXR1,141
30TXR3,157
30TXR4,149
30TXS1,125
30TXS2,155
30TXS3,135
30TXS4,137
30TXT1,126
30TXT2,156
30TXT3,146
30TXT4,141
30TYK1,125
30TYL1,139
30TYM1,159
30TYM2,135
30TYN1,142
30TYN2,153
30TYQ1,122
30TYQ2,115
30TYR1,134
30TYR2,118
30TYS1,144
30TYT1,144
30TYT2,156
30UUA2,111
30UUB4,100
30UUC3,104
30UUC4,119
30UUG3,132
30UUU3,114
30UUU4,122
30UVA1,122
30UVB2,106
30UVB3,127
30UVB4,126
30UVC2,132
30UVC4,125
30UVD1,154
30UVD3,134
30UVD4,121
30UVE4,132
30UVF1,129
30UVF3,128
30UVF4,133
30UVG1,122
30UVG3,120
30UVG4,115
30UVU1,124
30UVU2,123
30UVU3,110
30UVU4,102
30UVV4,110
30UWB2,126
30UWB3,122
30UWB4,146
30UWC1,117
30UWC2,141
30UWC3,117
30UWC4,132
30UWD1,117
30UWD2,124
30UWD3,137
30UWD4,135
30UWE1,148
30UWE3,133
30UWE4,133
30UWF1,121
30UWF2,141
30UWF3,150
30UWG1,143
30UWG2,109
30UWG4,148
30UWU1,123
30UWU2,104
30UWU3,136
30UWU4,127
30UWV3,122
30UXB2,138
30UXB3,128
30UXB4,135
30UXC1,113
30UXC2,126
30UXC4,130
30UXD1,132
30UXD2,119
30UXD3,118
30UXD4,126
30UXE1,135
30UXE2,138
30UXE3,131
30UXE4,116
30UXF2,138
30UXU1,134
30UXU2,119
30UXU3,130
30UXU4,129
30UXV1,147
30UXV2,128
30UXV3,141
30UXV4,116
30UYU1,122
30UYU2,128
30VUH1,108
30VUH2,98
30VUJ1,112
30VUJ3,111
30VUK4,117
30VVH1,122
30VVH2,133
30VVH3,137
30VVJ1,140
30VVJ2,128
30VVJ3,137
30VVJ4,135
30VVK1,114
30VVK2,130
30VVK3,129
31TBE3,148
31TBF3,149
31TBF4,144
31TBG3,146
31TBG4,161
31TBH3,146
31TBH4,133
31TBJ3,112
31TBJ4,110
31TBK3,115
31TBK4,116
31TBL3,137
31TBL4,121
31TCF1,138
31TCF3,128
31TCG1,146
31TCG2,157
31TCG3,144
31TCG4,130
31TCH1,143
31TCH2,128
31TCH3,145
31TCH4,133
31TCJ1,121
31TCJ2,117
31TCJ3,133
31TCJ4,137
31TCK1,128
31TCK2,119
31TCK3,124
31TCK4,116
31TCL1,127
31TCL2,115
31TCL3,129
31TCL4,129
31TCM1,146
31TCM2,152
31TCM3,156
31TCM4,129
31TCN1,137
31TCN2,141
31TCN4,147
31TDF1,138
31TDG1,152
31TDG2,133
31TDG3,148
31TDG4,134
31TDH1,140
31TDH2,145
31TDH3,166
31TDH4,178
31TDJ1,130
31TDJ2,138
31TDJ3,134
31TDJ4,128
31TDK1,121
31TDK2,131
31TDK3,137
31TDK4,130
31TDL1,125
31TDL2,127
31TDL3,136
31TDL4,140
31TDM1,142
31TDM2,145
31TDM3,143
31TDM4,133
31TDN2,143
31TDN3,147
31TDN4,148
31TEG1,147
