cell50x50,SR
31TFK3,49
31TGK1,47
31TGK2,46
31TGL2,47
32TKP3,43
32TKQ3,43
32TKQ4,47
32TKR3,45
32TKR4,45
32TLP1,44
32TLP3,45
32TLQ1,44
32TLQ2,38
32TLQ3,43
32TLQ4,42
32TLR1,45
32TLR2,39
32TLR3,41
32TLR4,39
32TLS1,48
32TLS2,47
32TLS3,48
32TLS4,46
32TMP1,35
32TMR1,43
32TMR2,33
32TMR3,41
32TMS1,45
32TMS2,45
32TMS3,43
32TMS4,47
32TMT4,48
32TNR1,45
32TNR3,46
32TNS1,46
32TNS2,46
32TNS3,42
32TNS4,45
32TNT2,49
32TNT4,43
32TPR1,46
32TPR3,44
32TPS1,44
32TPS3,45
32TPS4,48
32TPT2,42
32TPT3,46
32TPT4,45
32TQR1,43
32TQS1,43
32TQS2,48
32TQT1,47
32TQT2,41
33SWC4,22
33SWE4,28
33TUG3,30
33TUG4,28
33TUH1,28
33TUH2,27
33TUH3,28
33TUH4,27
33TUJ2,32
33TUL4,28
33TUM1,41
33TUM2,46
33TUM3,45
33TUM4,47
33TUN1,45
33TUN2,42
33TUN4,41
33TVG1,31
33TVG2,29
33TVK3,32
33TVL1,50
33TVL2,42
33TVL4,46
33TVM1,45
33TVM2,49
33TWE3,32
33TWJ1,20
33TWJ3,24
33TXH3,23
33TXJ2,23
33TYH1,29
33TYJ2,36
33TYK2,28
34SDH3,15
34SDJ1,24
34SDJ3,24
34SDK4,29
34SEG3,17
34SEG4,15
34SEH1,19
34SEH2,13
34SEH3,21
34SEH4,23
34SEJ2,16
34SEJ3,26
34SEK4,27
34SFF1,24
34SFF3,11
34SFG1,23
34SFG2,23
34SFG4,13
34SFH1,32
34SFH2,24
34SFH3,14
34SFJ3,23
34TBN3,20
34TBN4,25
34TCN3,41
34TDP4,35
34TEK1,31
34TEL2,41
34TEL3,38
34TEL4,36
34TEQ4,34
34TFL1,30
34TFL3,47
34TFL4,24
34TFM1,40
34TFM3,49
34TFM4,47
34TFN3,44
34TFN4,45
34TGL1,46
34TGM2,48
34TGN1,36
35TKF3,43
35TKF4,31
35TKG4,41
35TKH4,40
35TLF1,39
35TLG2,44
35TLH2,43
35TLH4,42
30UWB4,30
30UWE1,32
30UWE4,32
30UXC2,25
31UCU2,32
31UCU4,27
31UFT2,37
29UMA4,9
29UMT1,15
29UMV2,15
29UMV4,17
29UNA3,16
29UNA4,17
29UNT1,16
29UNT3,15
29UNU3,16
29UPA2,18
29UPB2,16
29UPU3,20
29UPU4,17
29VPC3,19
30UUG1,13
30UUG3,27
30UVB2,25
30UVC2,29
30UVC3,30
30UVC4,30
30UVD1,32
30UVD3,31
30UVD4,30
30UVF1,23
30UVF3,25
30UVF4,25
30UVG1,24
30UVG2,25
30UVG3,26
30UVG4,24
30UWD2,30
30UWD3,31
30UWE3,30
30UWF1,25
30UWF2,28
30UWF3,30
30UWG1,30
30UWG2,22
30UWG4,30
30UXF2,29
30VUH1,21
30VUH3,23
30VUJ1,21
30VUJ3,28
30VUJ4,25
30VUK3,20
30VUK4,22
30VVH1,26
30VVH2,28
30VVH3,29
30VVJ1,29
30VVJ2,31
30VVJ3,28
30VVJ4,32
30VVK1,22
30VVK2,26
30VVK3,21
30VVL4,9
31VFE3,31
31VFF3,38
31VFF4,41
31VFG1,38
31VFG2,32
31VFH1,31
31VFH2,33
31VFJ1,35
31VFJ2,33
32VLK3,42
32VLL4,35
32VLM3,27
32VLM4,23
32VLN3,37
32VLN4,33
32VLP3,27
32VMK1,42
32VML1,34
32VML2,28
32VML3,42
32VMM2,27
32VMM4,40
32VMN1,24
32VMN3,26
32VMN4,37
32VMP3,25
32VMQ1,34
32VMQ2,34
32VMQ3,40
32VMQ4,22
32VMR4,38
32VNL1,44
32VNM1,36
32VNM2,44
32VNN1,34
32VNN2,33
32VNN3,46
32VNP1,30
32VNP2,42
32VNP4,31
32VNQ1,42
32VNQ2,36
32VNQ3,43
32VNQ4,33
32VNR1,34
32VNR2,46
32VNR3,35
32VNR4,45
32VPN1,40
32VPP1,34
32VPP2,37
32VPQ1,31
32VPQ2,37
32VPR1,41
32VPR2,42
32WNS4,33
32WPS1,29
32WPS2,37
33VUH3,40
33VUH4,40
33VUJ4,41
33VUL3,32
33VUL4,36
33VVH1,40
33VVH2,44
33VVJ1,32
33VVJ2,32
33VVJ4,32
33VVK1,35
33VVK2,43
33VVK3,39
33VVK4,39
33VVL2,43
33VWJ1,36
33VWJ2,43
33VWK1,40
33VWK2,40
33VWK3,39
33VWL1,41
33VWL2,40
33VWL3,32
33VXK1,44
33VXL1,28
33VXL2,41
33WUM3,34
33WUM4,33
33WUN3,22
33WUN4,25
33WUP4,29
33WVM1,29
33WVM2,34
33WVM3,31
33WVM4,38
33WVN1,23
33WVN3,26
33WVN4,26
33WVP1,26
33WVP2,32
33WVP3,32
33WVQ2,31
33WVQ3,29
33WVQ4,28
33WWM1,31
33WWM2,36
33WWM3,42
33WWM4,39
33WWN1,32
33WWN2,36
33WWN3,38
33WWN4,37
33WWP1,17
33WWP2,29
33WWP3,28
33WWQ2,32
33WWR1,24
33WWR2,24
33WWR3,23
33WWS3,21
33WWS4,28
33WXM1,33
33WXM2,38
33WXN2,35
33WXQ1,24
33WXQ2,28
33WXS2,21
34VCR3,39
34VDR2,42
34VDR3,44
34VEN4,49
34VEP1,49
34VEP3,46
34VEP4,47
34VEQ1,46
34VEQ2,46
34VEQ3,46
34VEQ4,42
34VER3,45
34VER4,49
34VFP1,45
34VFP2,49
34VFQ1,46
34VFQ2,44
34VFR1,47
34VFR2,48
34WCS3,43
34WCS4,32
34WCT3,35
34WDA3,17
34WDB1,33
34WDB2,24
34WDB3,31
34WDB4,18
34WDC2,30
34WDC3,11
34WDC4,17
34WDS1,39
34WDS2,40
34WDS3,44
34WDS4,44
34WDT1,33
34WDT2,40
34WDT4,34
34WDU2,29
34WDV2,31
34WDV3,34
34WEA1,18
34WEA2,28
34WEA4,28
34WEB2,23
34WEB3,13
34WEB4,20
34WEC4,17
34WET3,41
34WEV1,34
34WFA1,45
34WFA2,44
34WFB2,22
34WFS2,44
34WFU1,43
34WFV1,42
34WFV2,44
35VLJ3,49
35VLK3,46
35VLK4,49
35VLL3,45
35VLL4,46
35VMF3,48
35VMH4,47
35VMJ1,48
35VMK1,45
35VMK2,47
35VMK3,45
35VMK4,48
35VML1,45
35VML2,48
35VML3,42
35VML4,39
35VNC4,48
35VNE1,46
35VNF1,47
35VNJ1,45
35VNK1,47
35VNK2,46
35VNK3,46
35VNL1,42
35VNL2,46
35VNL3,44
35VNL4,44
35VPJ2,48
35VPK1,48
35VPK2,50
35VPL1,45
35VPL2,47
35WLM3,51
35WLM4,49
35WLN3,48
35WLP3,43
35WLP4,46
35WMM1,48
35WMM2,42
35WMM3,48
35WMM4,44
35WMN1,42
35WMN2,50
35WMN3,38
35WMN4,46
35WMP1,49
35WMP2,45
35WMP3,44
35WMP4,41
35WMQ1,38
35WMQ2,41
35WMQ3,39
35WMQ4,38
35WMR1,34
35WMR2,40
35WMR3,31
35WMR4,36
35WMS1,20
35WMS2,29
35WMS3,33
35WMS4,38
35WMT1,26
35WMT2,18
35WMT3,19
35WMT4,32
35WMU1,10
35WMU2,17
35WNM1,44
35WNM3,47
35WNM4,47
35WNN1,43
35WNN2,39
35WNN4,43
35WNP1,39
35WNP2,42
35WNP3,40
35WNQ1,37
35WNQ2,44
35WNQ3,40
35WNR1,37
35WNR2,31
35WNR4,33
35WNS1,31
35WNS2,42
35WNT1,28
35WNT2,32
35WNT3,20
35WNT4,40
35WNU2,16
35WNU4,13
35WPM1,37
35WPM2,45
35WPN1,41
35WPN2,39
35WPP2,50
36VUQ3,51
36VUQ4,48
36VUR4,50
36WVC1,8
29TQH1,33
29TQH2,34
30TTN4,33
30TXN3,37
30TXN4,41
30TYN1,42
30TYN2,41
31TBG3,35
31TBH3,38
31TBH4,39
31TCG1,44
31TCG3,40
31TCH1,39
31TCH2,40
31TCH3,41
31TCH4,41
31TDG1,42
31TDH2,41
31TEK2,45
31TEK4,43
31TGM1,47
31TGM2,48
32TLT2,43
32TLT4,48
32TMT1,47
32TMT2,48
32TNT3,47
32TPT1,45
32ULU2,41
32ULU4,44
32UMU1,45
32UMU2,43
32UMU3,41
32UMU4,40
32UNA3,43
32UPA4,43
32UPB2,42
32UPB4,43
32VMK2,37
32VMK3,42
32VML4,38
32VNL2,42
32VNL3,44
32VNM3,45
32VNM4,46
32VNN4,40
32VPK3,47
32VPK4,45
32VPL1,43
32VPL2,40
32VPL3,38
32VPL4,42
32VPM1,42
32VPM2,44
32VPN2,40
32WPT2,22
