cell50x50,SR
30TYP2,14
31UES2,9
31TBL3,19
30TYQ1,12
35VME1,11
35VME3,11
35VLE3,10
35VMF3,13
35VNE1,9
35VMF4,10
35VMD3,6
34VFK4,4
35VME4,9
34VFL2,9
34VFK3,9
35VMG2,8
34VFL4,11
35VLF3,12
35VLE4,9
35VLF4,12
35VMF1,13
35VME2,11
35VNF1,9
34VFL3,11
35VNF2,7
35VNE2,11
34VFK1,5
35VMF2,10
33WXR2,2
35VND1,5
34VEK4,3
35VMD1,1
34VFL1,5
35VNF3,2
33TXJ2,4
32UPU4,12
30SVH1,5
30TVK1,7
31TGM2,22
29SMC3,5
31UES3,11
31UES4,9
34UCV2,9
31TCG4,9
32VNH4,10
35ULA3,8
33UUP3,8
32UNC3,19
31UCT3,10
30VVH1,7
34VFN1,12
31UFT2,14
31TEL1,22
32TMS4,16
29SMD3,3
29TNH2,3
34VEN2,10
31TFL1,22
30UVE4,12
33TWN2,13
33UXP2,15
29SPB2,5
34UCA3,4
30SUF3,5
33UXQ4,5
32TMR1,8
31TCJ4,20
35WNS1,5
33UUU4,9
34VFR1,7
30SVF1,3
32UNG1,13
33TTG4,5
33UUT2,7
31UEQ2,18
33TUM4,8
30UXC4,13
32TQN2,6
33UUS1,13
32UMA2,16
35WMP1,7
33UXQ3,10
32UMV3,14
32UNE2,7
31TCH4,18
29TNG1,5
32TNQ2,7
32TPR3,7
29TNF1,3
30UVB3,10
32ULV3,11
30TTP4,7
35VLG3,16
30UXB4,14
31TGL1,22
30UWF4,8
33UWQ4,5
33TXH3,2
32TNT1,14
32UPB4,16
32TLT3,17
32UMV1,16
32TQS2,10
35WNU2,5
30TUK1,9
33UUB3,15
30VVJ4,8
31UDP1,17
33TUG3,5
33UWR3,9
34UDV1,8
32TMT3,15
31TGL2,21
29TNF4,5
33TWM3,11
34UCU4,6
30TTK3,6
32TPT4,7
33UVS1,7
32TPS4,11
30UWV3,11
30SVH2,10
30SXJ1,5
33UWP4,9
30TXP2,16
32TNR3,8
32TLR4,10
32TPT1,9
33TTK3,1
30VVH2,9
33TUL4,2
32TQS1,7
32TMT2,16
29TQE1,4
32UNF1,14
33TVG1,6
30TVL2,4
32ULV1,17
34VEP1,9
32UPC1,14
32ULA3,16
29SPB1,5
33TTL3,5
31VFG1,11
30UWB1,14
33TVK3,4
32UQU1,6
29TPJ4,9
31UFS2,7
31UFS4,16
33VVG2,8
31UES1,8
30TWL4,4
32UPV3,16
29TPH1,7
30UXD3,7
33TWJ3,5
32ULB4,18
31TGH1,13
31UFR4,18
31TBJ4,11
30TUN1,11
32TLS2,20
31TDH4,18
32VPH2,10
35TKF3,1
29TNE1,4
32UPC2,16
34TFN3,3
33TWK1,6
33VVL4,9
32UPU3,6
35VLD2,1
34UDG4,1
32TLQ3,12
31UDQ4,20
31UDQ2,18
30UVU4,13
30TWT1,15
31TGJ2,19
32TKP4,18
31TFJ4,15
31TDK4,20
30UVD1,11
32UMU1,17
32UMB3,11
34UEG2,4
30UXC2,14
32UMD3,8
35WLM4,8
32TPP4,4
32ULA2,16
32UNC4,14
31UER3,12
32UNV2,11
33TVN4,5
32TMT1,16
32UNE4,11
31TCH2,18
33VUL4,6
30UWU3,11
31UFT1,13
32UPE1,10
34UDV3,5
33UVR4,9
32TPN4,7
30TXN2,4
32UMD2,14
32UMA3,17
32TKP3,18
35VMK1,9
32TKR4,16
35VMH4,10
33TXN2,5
33TWN4,9
31TDH1,20
32TNS1,18
32UMC1,15
32VNR4,11
32UNC2,15
31TBH4,15
33UWP2,7
31TDJ4,21
32TLQ1,13
33UVR3,8
32UNU3,9
30UWF2,11
33VXG2,17
34VFP2,12
34WEV1,4
32ULC1,13
31TFJ1,16
32VMP4,7
32UNE3,12
35WNM1,7
32TNS3,16
33UXQ1,8
32TPQ2,4
32TNP3,4
30TYL2,3
35VML3,7
34TCP4,1
31UFU2,12
30TVM3,9
32TNQ1,6
32ULV4,16
31TFL2,20
32UME2,9
31TDF1,4
31UFS1,8
31TEJ1,18
32TMR2,7
33VXF3,16
34UDC3,9
32TNR4,5
30TWN1,7
32TPQ1,5
33UVQ1,3
31TDH2,18
35VLH4,14
32UND1,8
30UVF1,10
33TUL3,3
32ULA1,14
32UNG3,10
33UUQ4,16
31UFR3,12
31TCM4,20
30UXE2,8
31TFJ2,10
34UFF3,8
30TYN2,11
30UXC3,11
32TPP3,7
30SYH1,8
30UXU2,13
30SVJ4,3
33UWP3,9
31UCT1,11
31TEJ3,15
34TEQ4,4
31TDH3,19
30TXN3,20
30TYN1,22
31TFK2,20
31UCQ1,13
31UCP2,14
31UFP2,18
31TEK3,19
31TFK3,20
31TEM1,19
31TFL3,22
31TEK4,18
31TFM4,20
31UFQ1,18
31TDL3,19
31UCQ3,9
31TFL4,19
31TGM1,23
30TXR3,19
31TEL4,16
31TDM3,19
31TFK1,20
31TFK4,16
31TGK2,16
31TFM2,18
32TLR2,19
32TLR1,17
31TEL3,19
31TDL4,19
31TDK3,22
31TEL2,20
31TDM4,17
31UDR3,12
31UEQ1,18
31TCL1,21
31TEM4,17
31UDQ1,18
31UDQ3,19
31UDR2,16
31TEK1,18
30TXS1,13
31TCL3,21
31TGN2,21
31TDM2,20
32TKR3,16
31TGK1,18
31UGP2,16
30UXV4,14
31TEN3,17
31TFN3,17
31TDK1,18
30UXU4,15
31TFM1,18
31UDS2,16
31TDL2,22
30TYT1,14
31UCP3,15
30TXS4,17
31TEM2,17
31UFP1,16
30UXV1,12
32TKQ3,19
31UCP4,17
31UDR4,17
30UXV2,14
34TGT2,4
32TQQ2,4
30TVL3,7
30TUN3,16
32UMA4,16
33TWM1,11
30SVG4,3
30UXB3,18
33UVR2,9
33VUD1,14
31TEG1,10
32TPN3,8
30STF3,4
32TPR2,6
30UYU2,16
34TCT1,9
31TDG1,16
30SYK2,8
31UCS1,13
32UND2,9
32UNA1,14
35WMQ2,3
33UWR1,6
30SUH4,5
33UXQ2,5
30TXL4,1
30SWF1,4
32TMQ4,8
32UNU1,11
32TPP2,7
31UFS3,13
33WWN4,5
31TDG2,13
31UFT3,12
31UER1,13
32VPM2,15
32ULB1,15
30SWG2,6
31UDS4,11
