"cell50x50","SR"
"29SNC2",63
"29SNB3",57
"29SPB4",69
"29SPB3",65
"29SNC4",61
"29SQD2",71
"30STH3",56
"29UNA1",65
"29UNT2",46
"30SUK4",75
"30SVF3",63
"30SUF1",63
"30SWH1",59
"30TUM2",70
"30TUM3",74
"30SXK4",65
"30TUL2",70
"30SYJ1",80
"30TXP1",60
"30TXR1",77
"30TYN1",78
"30TXQ2",63
"30UUF2",54
"30TYT1",78
"30UVB1",50
"30UVD4",59
"30UVB4",64
"30UUB4",60
"30UWC4",59
"30UXV3",80
"30UXE1",58
"30VVH1",62
"30VUH1",62
"30VVK3",61
"31TBL3",77
"31TCK1",66
"31TCJ1",71
"30VUJ3",57
"31TDH4",92
"31TCM3",85
"31TDK1",67
"31TEK4",72
"31TDH2",72
"31TEN2",84
"31UCQ1",85
"31TEJ1",80
"31TFM3",85
"31UCU4",78
"31UDR4",74
"31UDQ3",80
"31UEQ2",63
"31UER4",73
"31UFP2",73
"31UFS4",75
"32TLR2",63
"31VFJ1",81
"32TMR2",88
"32TMT3",75
"31VFK2",82
"32TPR1",68
"32TMT2",77
"32TMS4",77
"32TPR3",69
"32ULE4",73
"32ULD4",76
"32ULA2",69
"32ULU1",81
"32ULC4",64
"32ULC3",69
"32UNB2",57
"32UMD3",74
"32UNB4",71
"32UNE3",76
"32UNF4",78
"32UNF2",72
"32UPE1",77
"32VLN4",60
"32VLL4",61
"32VPK3",80
"32VMK4",50
"32VNM1",64
"32VNM4",74
"33TUM2",68
"33TUF3",55
"33TUG1",78
"33TTJ3",68
"33TTL3",83
"33TWF4",64
"33TXL1",63
"33TXE1",58
"33TWL1",69
"33TXN3",72
"33UUA2",74
"33TYN1",86
"33UUP1",68
"33UUS2",74
"33UWP2",69
"33UVV1",76
"33UWQ3",76
"33UVU3",89
"33UWQ4",87
"33UWU4",84
"33UWS3",83
"33UXP2",90
"33UYP2",82
"33VUC4",81
"33VVE2",69
"33VWC3",90
"33VVD3",67
"33VWL3",65
"33VVK1",64
"33VXF1",72
"33VWK3",67
"33VWJ3",72
"33WVP1",58
"33VWL2",64
"33WWR1",51
"34SDK4",72
"34SFH3",52
"34SEH2",61
"34SFF1",60
"34TCS2",76
"34TCS3",77
"34TDP4",62
"34TFL2",73
"34TDS3",71
"34TET1",79
"34TEQ3",63
"34TGN2",83
"34TDR4",92
"34UCB1",79
"34UCE2",83
"34TGS2",78
"34UDC1",82
"34UCE1",83
"34UCC3",83
"34UEA3",84
"34UEU1",82
"34UDC4",85
"34UEB1",86
"34UEV1",64
"34UED1",83
"34UFC2",90
"34VEH4",85
"34VER4",79
