"cell50x50","SR"
"30TYP2",43
"31TCJ3",55
"31UES2",30
"31TBL3",49
"30TYQ1",42
"31UEP3",45
"35VLF4",36
"35VME1",31
"35VME3",40
"35VLE3",33
"35VMF3",31
"35VNE1",33
"34VFL4",35
"35VLF3",36
"35VMF4",33
"35VMF1",34
"35VME2",33
"35VLE4",35
"35VMD3",22
"34VFL2",30
"34VFK3",31
"34VFL3",30
"34VFL1",18
"35VME4",31
"34VFK1",24
"35VMF2",33
"35VMG4",10
"35VNF1",24
"35VNE2",28
"35VNF3",10
"34VFK4",19
"35VNF2",20
"35VLG4",21
"35VMG2",22
"34VFM2",15
"31TCN3",48
"34VEK4",16
"35VND1",23
"35TNN2",11
"31UEQ4",47
"35VMD1",4
"29TNF1",16
"31UFR2",46
"31UFQ1",52
"31UFR1",29
"31UDP2",43
"35TPJ1",15
"34UCU1",15
"30SXG1",9
"33TXJ2",18
"35VNC4",12
"32UPU4",37
"32UNG1",37
"30TWN1",28
"32VNJ2",28
"32TPT4",32
"31TFL3",59
"30TVK1",31
"32UPU1",33
"30UXB1",33
"34TCT2",14
"31TCF2",19
"30UXD1",34
"31TGM2",65
"32VNM4",32
"29SMC3",26
"31UFR3",36
"33TXN3",20
"30UYU1",42
"29TQE1",21
"33UWP4",37
"31UES3",42
"35TLL4",22
"33UUP2",48
"31UFS2",27
"33TVN3",37
"31TDK3",54
"31UES4",29
"32TMQ4",34
"33UUU4",46
"32TQS2",29
"32TPR3",35
"30UWD4",35
"33UVR1",22
"30UXC3",33
"30UWB1",36
"34UCV2",25
"32TNS4",39
"33TUG3",17
"32ULV1",49
"34VFR2",11
"30UVG3",28
"32VNH4",36
"30UWE1",32
"30UXB2",34
"32UNG2",35
"35ULA3",24
"32TLQ1",50
"29TPE1",21
"30VWH2",29
"32ULE2",33
"34SGJ2",15
"33UUP3",33
"32TLS1",59
"32UMV4",42
"32UNC3",50
"32TPT1",33
"32UNF4",39
"30UWE4",33
"31UCT3",32
"33TWN4",31
"34UEG2",20
"30VVH1",23
"33TUL4",12
"33UWP3",39
"29TPF3",32
"30UWF2",30
"32ULA2",47
"31TEL1",52
"33TUL3",27
"30TWM3",29
"30UWE2",33
"31TCJ4",59
"34UED2",22
"31UCQ1",40
"34UCV1",21
"32UNB4",33
"30UWC2",37
"30UWB2",36
"31TCM3",51
"30STK4",20
"33VUC3",39
"33UUR3",16
"32TMT1",49
"32UNE4",45
"31UFT3",46
"30UXB3",38
"32TMS4",50
"30TXN2",27
"32VPL4",32
"32UMA4",50
"29SMD3",19
"32TNR3",25
"30UXC4",34
"29TNH2",18
"33UWR3",31
"30UXE1",30
"34VEN2",22
"31TFL1",55
"32TLR2",53
"30UVE4",33
"33TWN2",50
"32TLR3",30
"32TNT1",48
"29SPD1",21
"33UXP2",54
"32TNS1",55
"29TPJ4",30
"34UCA3",22
"30VWJ2",29
"34UFB3",18
"32UNB1",43
"31TCL3",55
"32TKQ4",60
"31TFK3",61
"33UXQ4",19
"34UCB1",10
"30TTP4",32
"32TLQ3",38
"31UET3",43
"33TYN2",12
"30UXB4",37
"35TML2",11
"31TBL4",44
"33UUT3",29
"32UMD3",34
"30UWC1",34
"32ULB4",52
"32VMH4",32
"35WNS1",8
"32UMA2",48
"33UVR4",35
"33VXF3",38
"31UCS1",36
"33VWE3",36
"32TKQ3",57
"35UMB2",23
"32TPQ1",26
"32TNS2",47
"32TPS4",40
"33UVU2",43
"32ULV3",42
"33UUB3",40
"32TMP1",29
"35ULA4",12
"31UFP1",46
"33UUT2",34
"34SGH2",16
"32VPL2",27
"31UEQ2",50
"32TLQ2",43
"33TUM4",28
"32TPN1",17
"34UDC3",32
"32UPU2",22
"30UXE2",32
"30VVH4",31
"33UUQ2",29
"32TQN2",20
"34UEG1",14
"32TLR4",29
"30TVL2",27
"33UUS1",45
"29SQB2",26
"32UNF1",40
"34TCT1",30
"33UVT3",23
"35TML1",13
"33UXQ3",28
"32VPL1",30
"32UMV3",46
"32UNE2",30
"32TPS3",31
"32TLP1",52
"30UXE3",23
"32TMR4",20
"32UME3",30
"32TMT4",50
"29TNG1",21
"33TWM1",38
"35ULV3",10
"34SFK2",6
"32ULU4",55
"33TWN1",17
"30VUH2",26
"32ULC3",46
"32VNH3",34
"32TNR2",21
"33UXR4",19
"32TNS3",45
"29TQG2",31
"33TVG2",26
"35VLG3",36
"30UWB4",39
"34UFD4",25
"32TLP2",47
"32ULA3",50
"32UMU4",32
"31TGL1",60
"32TMQ1",28
"31UCT2",34
"31TDL4",53
"32UMA3",52
"30UWF4",26
"33UWQ4",23
"32TPP3",27
"33TVL3",30
"31TDF1",31
"33UXP3",19
"34VEQ1",16
"33TXH3",14
"33TUN2",36
"32UNE3",36
"32UPB4",48
"30UWD3",35
"32UNC4",46
"29TNE3",22
"31UCU4",31
"32TLT3",52
"32TPQ2",16
"32UMV1",51
"33UWA4",13
"35ULS2",26
"32VNH2",37
"34UDV1",26
"32TLR1",51
"31UCU3",27
"32UPV1",28
"31TCL2",45
"31TCH4",51
"31TEJ3",50
"33UUA4",28
"33VWF1",37
"31TCN1",49
"31UDP1",48
"36VUP3",18
"35TLM4",28
"32TMQ3",27
"31UDU2",29
"34TDS2",10
"33VVC1",36
"29TNF3",24
"30TVM1",25
"32TPS2",25
"34UCF4",26
"33SXE2",9
"30VWH1",29
"30TXS2",41
"31UDQ2",51
