cell50x50,SR
30TYP2,58
31TCJ3,69
31UES2,46
31TBL3,64
30TYQ1,55
31UEP3,58
35VLF4,46
35VME1,39
35VME3,50
35VLE3,42
35VMF3,41
35VNE1,40
34VFL4,44
35VLF3,46
35VMF4,41
35VMF1,43
35VME2,43
35VLE4,44
35VMD3,28
34VFL2,37
34VFK3,39
34VFL3,38
34VFL1,23
34VFK1,29
35VME4,40
34VFK4,22
35VMF2,40
35VMG2,31
35VMG4,15
35VNF1,31
35VNE2,36
35VNF3,15
35VNF2,26
35VLG4,29
34VEK4,19
34VFM2,24
31TCN3,64
33WXR2,9
35VND1,26
35TNN2,14
31UEQ4,60
35VMD1,4
29TNF1,19
31UFR2,66
31UFQ1,62
31UFR1,40
31UDP2,53
29SND1,28
35TPJ1,19
34UCU1,17
30SXG1,12
32TLR4,41
33TXJ2,20
35VNC4,15
32UPU4,45
32UNG1,48
30TWN1,36
30SVH1,23
32VNJ2,35
32TMS3,61
32TPT4,42
31TFL3,77
30TVK1,38
32UPU1,43
30UXB1,45
34TCT2,15
31TCF2,24
30UWD4,45
30UXD1,45
31TGM2,84
32VNM4,41
29SMC3,30
31UFR3,49
33TXN3,22
30UYU1,53
29TQE1,25
33UWP4,47
31UES3,64
35TLL4,24
33UUP2,57
31UFS2,49
33TVN3,51
31TDK3,74
31UES4,44
32TMQ4,40
30UWC4,45
33UUU4,61
32TQS2,37
32TPR3,41
30UUF1,26
33UVR1,27
30UXC3,44
30UWB1,50
34UCV2,30
32TNS4,50
33TUG3,20
32ULV1,66
34VFR2,18
30UVG3,38
31TCG4,41
32VNH4,46
30UWE1,40
30UXB2,45
32UNG2,45
35ULA3,32
32TLQ1,65
29TPE1,24
30TXQ3,67
30VWH2,38
31UCU4,39
32ULE2,43
34SGJ2,17
33UUP3,44
32TLS1,73
33TWN4,40
32UMV4,51
32UNC3,69
32TPT1,42
32UNF4,54
30UWE4,41
31UCT3,42
34UEG2,23
30VVH1,30
33TUL4,15
33UWP3,47
30UXC2,52
30UXC4,47
31TEM1,61
29TPF3,41
34VFN1,41
31UFT2,65
30UWF2,38
32ULA2,60
32TMS1,63
31TEL1,71
30UWG1,36
33TUL3,32
30TWM3,38
30UWE2,42
31TCJ4,76
34UED2,27
31UCQ1,50
34UCV1,27
32UNB4,43
30UWC2,47
30UWB2,46
31TCM3,66
30STK4,25
33VUC3,51
33UUR3,19
32TMT1,59
32UNE4,56
31UFT3,63
33TTG4,27
30UXB3,53
32TMS4,64
30UWB3,48
30TXN2,34
32VPL4,39
32UMA4,67
29SMD3,22
32TNR3,33
29TNH2,23
33UWR3,36
30UXE1,36
34VEN2,32
33TWN3,34
31TFL1,71
32TLR2,69
30UVE4,41
33TWN2,63
32TLR3,37
32TNT1,61
29SPD1,24
33UXP2,64
32TNS1,71
31UCU2,41
29SPB2,26
29TPJ4,40
31TEG1,49
34UCA3,28
30VWJ2,37
34UFB3,23
32UNB1,56
30SUF3,26
31TCL3,73
32TLP3,70
32TKQ4,77
31TFK3,80
33UXQ4,24
34UCB1,12
30TTP4,39
32TLQ3,50
31UET3,56
33TYN2,12
30UXD3,36
30UXB4,50
35TML2,12
31TBL4,59
33UUT3,39
32TMR1,40
32UMD3,43
30UWC1,45
32ULB4,66
32VMH4,40
35WNS1,15
30VVH4,41
32UMA2,61
34VFR1,26
33UVR4,43
33VXF3,51
31UCS1,46
33VWE3,45
30UXE3,29
32TKQ3,73
30SVF1,20
35UMB2,27
32TPQ1,33
32TPS1,48
32TNS2,57
32TPS4,48
33UVU2,59
32ULV3,51
33UUB3,49
32TMP1,33
35ULA4,14
31UFP1,57
33UUT2,45
34SGH2,17
32VPL2,37
31UEQ2,63
32TLQ2,59
33TUM4,36
32TPN1,20
34UDC3,40
32UPU2,27
30UXE2,41
29TNF2,24
33UUQ2,37
32TQN2,25
34UEG1,18
30TVL2,32
33UUS1,59
29SQB2,31
32UNF1,51
34TCT1,35
33UVT3,31
30UXD2,44
35WMP1,23
35TML1,15
31TFJ2,61
33UXQ3,38
32TNR2,26
32VPL1,40
32UMV3,59
30UVG1,38
32UNE2,40
32TPS3,37
32TLP1,71
32TMR4,25
32UME3,40
32TMT4,64
31TCH4,66
29TNG1,27
33TTJ3,25
33TWM1,47
35ULV3,11
34SFK2,6
32ULU4,70
32TNQ2,31
29UMT3,24
33TWN1,23
31UFR4,66
30VUH2,32
32ULC3,62
32VNH3,43
30UVB3,40
33UXR4,21
32TNS3,61
29TQG2,37
33TVG2,30
33TTL4,15
35VLG3,52
30UWB4,49
34UFD4,32
32TLP2,64
32ULA3,60
32UMU4,41
31TGL1,80
32TMQ1,34
31UCT2,43
31TDL4,72
32UMA3,77
30UWF4,37
33UWQ4,27
32TPP3,33
33TVL3,37
31TDF1,35
33UXP3,24
34VEQ1,26
33TXH3,16
33TUN2,43
32UNE3,50
32UPB4,61
30UWD3,49
32UNC4,61
29TNE3,27
32TLT3,65
32TPQ2,18
32UMV1,67
33UWA4,16
35ULS2,29
32VNH2,45
34UDV1,33
31TGL2,77
32TLR1,70
30VVH3,37
31UCU3,35
32UPV1,38
35WNU2,19
31TCL2,60
31TEJ3,67
30UXF2,37
30TUK1,35
33UUA4,37
33VWF1,49
30VVJ4,37
31TCN1,61
31UDP1,62
30UXD4,43
36VUP3,28
35TLM4,33
30TXT4,57
32TMQ3,32
31UDU2,38
34TDS2,11
33VVC1,46
29TNF3,31
30TVM1,29
32TPS2,30
34UCF4,30
32TPT2,27
33SXE2,11
30VWH1,36
30TXS2,52
31UDQ2,66
33SWE4,19
31UFT1,56
32TMT3,62
33UXU2,35
32TMR3,58
32UNU1,43
30UVF1,42
35TKJ3,1
31TFJ3,60
32TPT3,45
32UMC4,47
34UCU3,19
30TVM3,34
34UFG2,15
33WVM1,27
33TVM3,25
29TNF4,23
31UER1,55
33TWM3,42
32UMB4,61
33TUN3,63
32TNQ1,28
34UCU4,23
30TXN3,78
30TTK3,27
31UCS3,40
31TGK2,69
32TQN1,17
33UVS1,44
29TPG2,19
33UXV3,15
30UVA1,36
32TNR1,41
32UNU4,39
32VPH2,38
32UMU1,62
30UWV3,49
34UDF3,29
32UPD2,44
30SVH2,35
30SXJ1,24
32UPB1,47
29UPA2,24
30TXP2,70
33UVV2,28
29TPH2,23
31UCT1,41
30SWG2,26
30TXM1,21
34UDU2,12
30VWJ3,28
32TLP4,42
34UFC4,28
33UUB4,38
33UVT2,33
34VDR3,41
34UFC3,24
31TEJ4,68
35VNH3,45
33TTK3,18
33VUD3,43
34UFA4,44
30VVH2,35
32UPC1,57
30SUH2,18
29SQE2,27
32VNH1,42
30UWD1,42
32TQS1,36
32TMT2,62
30TUL4,22
31TEJ2,66
32UPU3,33
31TDG3,61
32TMS2,60
33TVG1,20
33UXU4,18
30TYS1,65
32ULU2,63
30SXK4,38
31TFK2,69
30UVU1,53
32UNC1,63
34VCL3,40
33TVN1,42
29SND3,21
33UWP1,35
34VEP1,24
31UDQ4,71
30UWE3,39
31TDM1,57
29SPB1,22
31UFT4,63
32TQQ1,20
33UUU2,46
31UCT4,42
34UFG1,15
33VWE1,48
35TNL1,13
33TTL3,24
31VFG1,33
32TNT2,70
33UVT4,31
31UFQ4,62
30STG3,32
30TXT3,59
33UXQ2,29
29TPG1,23
33TVK3,19
33TVL2,25
32ULA1,60
34UFF1,11
33UUP4,54
34UCV4,48
32UMU2,59
32UQU1,32
33UVU4,41
32UME1,21
32UND2,52
29TPG4,30
34TFT3,6
31UFS4,70
33UXT1,25
33VVG2,28
32UPA1,42
32TLT4,65
35TKF3,16
31UES1,50
34VEN1,35
30TXQ1,57
34UCB3,16
29SPD4,22
32UNA4,55
30VUK4,24
30TWL4,18
29TQG1,36
33TXN1,49
32UPV3,63
32ULA4,54
33UVP3,43
33TTG3,26
29TPH1,34
30TXK1,30
33TWJ3,20
33UXP1,31
30TXM4,30
33TUG2,25
34UDA4,24
34UDF2,18
31TGH1,51
30TTN4,31
31TDH1,71
33UVR3,37
30UVC2,44
31UDS4,52
29UNT2,24
34VFP2,34
32ULE4,42
31TCH2,66
31TDH3,70
29SNE4,25
35TLH1,17
30UWG4,33
33TVF2,19
31TBJ4,53
32VPM2,44
30TUN1,39
35ULB1,12
32TLS2,80
32TQR1,25
31TDH4,72
30UUA3,37
31TDG2,52
31UCQ3,44
29UPU3,23
35VMK2,33
34TEM2,6
34SFJ3,11
29TNE1,31
29TQJ2,22
30UVC4,44
30UWF1,36
32UPC2,60
32TPR4,24
32UMC3,60
34TFN3,10
34UFF3,32
33UXP4,35
33TWK1,16
30SVJ1,16
33UWT2,11
33UVQ4,29
33VVL4,31
34UCA4,34
32TPP4,21
31TDN3,54
35VLD2,11
34UDG4,16
30UUC4,41
30UXV1,47
30TXT1,57
30UVU4,53
30TWT1,53
