cell50x50,SR
35VME3,40
35VME1,40
35VMF4,42
35VLF3,39
35VMF2,34
35VMF1,37
34VFL4,38
30UXC4,50
33UXP2,17
31TGJ2,58
31TGH1,49
30UWE4,44
31TEM1,67
30TXT4,42
31TCK2,44
30TXP1,31
31UFQ1,57
32TLP2,63
31UDR2,55
31UCQ2,52
31TFM1,64
31UCP1,50
32TLR2,64
30TXN3,57
30TYP2,46
30TXN1,52
30TXR4,43
31TBK4,51
30UXV4,49
30TYP1,47
31UGP2,55
31TEL1,59
31TDN3,56
31TEN3,60
31TFM3,64
31TEN4,65
30TWT1,42
31TCL3,51
31UFQ4,57
30TXQ4,36
31TGJ1,61
30UXV2,47
31TEM3,62
30UYU1,51
30TYT1,55
31TFJ3,67
30TYN2,49
30UVU3,35
30TYN1,69
31TFN3,60
30UUU4,35
30UXV3,36
31UDR4,48
31UER4,51
32TLQ1,63
31UEQ3,58
32TLQ2,64
30UXU4,52
30TXS2,49
31TGN2,73
30UXU1,40
31TBL4,41
32TLP3,66
30TXS4,52
31TCK1,59
31UEQ4,56
30TXQ1,27
31TGM1,75
32TLT1,65
30UWV3,47
31TDL4,60
31TDL3,56
31UDP1,51
31UFP2,60
31TEK2,63
32UMU1,39
31UDQ2,60
30TYQ1,34
31TEN1,62
31TEL2,62
31TEJ4,52
30UUU3,32
30TXR3,57
32TKN3,52
30TWT4,48
30TYT2,59
30TXT2,52
31UEP2,51
31UEQ1,55
31UFQ3,62
30TXS1,37
32TKQ3,72
31TCL1,48
31TDH1,59
32TLS2,84
32TLP1,68
30UWU2,29
31TEN2,61
31TEL4,46
32ULV2,59
32ULU4,58
30TXQ3,35
30TXP2,47
31TCM3,63
31TDM4,53
31TCH4,59
31TDK4,45
31TCJ4,55
31UFR2,58
30UXU3,43
30UVU4,41
30UVU2,37
30UVV4,25
31TCL2,60
31TCM4,50
31TEM4,54
30TXQ2,28
31UFP4,53
31TFN4,64
31UFQ2,52
30UYU2,48
31TCM1,59
30UVU1,43
31TFM2,64
31TCM2,44
31TDN4,58
31TDM3,61
32TKP4,56
31TDK3,58
31TGM2,81
31UDS4,49
30TVT3,36
31TGN1,58
31TFJ4,60
30UWU1,42
31TFN1,61
31TDL2,54
31TDJ3,44
31TFL1,61
31UCQ1,56
31TDL1,45
31UDQ4,62
31TBH4,46
31UEQ2,48
30UXV1,41
31TEK1,51
32TKQ4,73
31UEP1,54
31TDH2,77
31UDS2,53
30UWU4,44
31UFR1,62
31TDJ4,70
32ULU3,50
31TFN2,65
31UCP2,55
31TCH1,62
31TCL4,56
31TDK1,58
31TDH3,62
31TFJ2,60
31UEP4,55
31UFP3,57
31UDR3,48
31TDJ2,59
31TGK2,63
32ULV4,55
31TGL1,60
31TCK3,63
30TYS2,41
31TDM2,45
30TXP3,36
30TXS3,31
31UGP1,58
31UEP3,43
30TYS1,52
31UDQ3,49
30TYQ2,43
31TEL3,57
30TWT3,49
31UDR1,53
31TCH3,58
32ULU1,50
31TDJ1,60
31UDQ1,49
31TDH4,61
31TDK2,54
31TCN1,53
31TGK1,74
32TLT2,72
31UFP1,59
31UCQ3,52
31TCJ1,52
30TYR1,39
32TPN4,5
33TWN1,6
32TPR3,11
30UUC3,38
32UMG3,32
32UNG3,34
32UMF3,23
32UNG2,32
32UMG1,21
33VUC2,39
32VNJ4,38
32VNH4,37
32VNH2,31
32UNG1,35
32VNH3,35
32VNJ2,32
30UWD3,46
30UWD4,44
30UWD1,42
30UWD2,46
30UXD2,42
35WNT3,19
34SEK2,3
31UFS1,49
31UFS4,57
31UES1,32
35TLM3,3
31UCT2,44
30VVH1,34
29VPC3,22
34WEC3,21
34TDL3,17
33TVM2,27
31UES3,52
31UCU2,43
35WMS3,9
30VUH2,32
35WMS2,6
30VWH1,37
30UWC1,45
30UXE4,35
34TDP3,12
30VVJ3,34
34WDA4,24
33VWE1,33
34VDR3,24
33VWE2,21
32VPL2,29
33VXG2,38
33VUE4,16
33VUC4,40
33VVE4,32
33VUF3,18
33VWF3,24
33VXF1,35
33VWF1,36
33VWE3,25
32VPK3,34
34WDT1,15
34WDV4,18
33VXF3,64
33VVC4,29
33VUD1,26
34VDR2,11
33VWC2,39
33VVC1,30
33VWD3,12
33VUD4,25
33VVE3,28
33VVE1,35
33VXF4,33
33VXG1,30
34WEV1,3
33VUG4,25
33VXD2,22
33VVE2,26
33WXR2,7
33UUB3,43
33VVD4,29
33UVB1,48
33WWP3,11
33TVN1,43
33TVN3,38
32TQS1,26
32UNB3,10
34SFJ2,5
30VVK1,25
30UVG2,34
30VVH3,37
30VVK3,30
30UVF1,33
30VWJ1,33
30UVF3,37
30UUG4,34
30UWG1,35
30VVK2,33
30VWJ2,39
30VVH2,38
30UVG3,35
30VVJ4,36
30VVH4,40
30UVG4,36
33TXN1,19
32TMR3,56
32TMS4,70
32TNS2,71
32TNR1,51
32TMT2,65
32TMT3,62
32TMT4,67
32TNS3,53
32TNS1,62
32TMT1,59
32TPS1,46
32TMS3,64
32TNS4,55
32TNT2,70
32TNT1,57
32TLT4,69
32TMS1,65
32TLT3,70
32TPT2,11
33VWD4,27
33VVF2,10
33VVK2,14
33VWC3,35
34WEA1,11
33VVC3,32
33VWJ4,18
34WDV3,19
34WDB3,22
34WDV1,15
33VUF4,16
33VWE4,24
33WXQ2,19
33VWK2,9
33VVC2,40
34WEA4,5
32VPL3,32
33WXQ1,18
32UMG4,34
32VMH4,28
32VMH3,33
32VNH1,35
32VMH2,19
32UNF1,25
32VPH2,28
31TFM4,64
32ULE2,15
31UFU3,18
31UFV4,12
32ULE4,3
32ULD1,23
32ULD3,8
31UFU4,32
32ULD2,32
32ULD4,9
31UFU2,21
32ULC1,38
31UFT1,43
31UFT3,40
32ULC3,12
31UET4,29
31UFT2,39
31UFT4,33
32ULC2,15
31UFS3,47
31UET3,31
32ULB1,39
32ULB2,42
31UFU1,12
31UET2,17
32UMA2,21
31TCH2,37
32ULA1,45
32ULV3,14
31UCS1,50
31UCU3,43
34TCP2,18
32VPM1,36
32VNR4,36
32VNQ2,30
32VPN1,35
32VMR4,24
33WVP3,25
33VUJ4,31
32VNP1,31
32VLN3,24
32VMQ2,31
32VNL3,32
33WVP1,21
32VPL1,35
32VLP3,29
32VMK2,34
31VFH2,29
32VNL1,30
33WVM2,23
32VMQ1,28
32VNN3,38
34WEB3,15
33WWQ2,20
32VNN4,29
32VNM4,36
33VUJ3,23
32VLN4,22
32VNR2,31
32VMP4,23
31VFG2,20
32VPQ1,24
32VPM2,37
33VUG3,28
32VLM3,23
32VMN2,22
32VPR1,27
31VFE3,18
32VPQ2,28
32VPP1,30
32VML3,27
32VMM4,24
32VMK4,20
32VMK3,29
32WPS2,26
32VML4,32
32VMN4,29
33WVN1,21
32VMK1,28
32VMQ4,29
33WUP4,15
32VPR2,32
32VPP2,33
32VNQ1,30
33WUN4,13
32WNS3,19
33WUM3,20
33VUH4,30
32VPN2,33
31VFG1,28
32VLK3,29
32VLQ4,25
32VNM3,33
32VNR3,31
33WVQ4,19
32VMM3,23
35WMT1,20
31VFJ1,24
32VLM4,23
32VNP3,26
32VLQ3,16
33WVM1,18
32VNM1,32
32VMQ3,34
33WWP1,14
32WPT2,11
33WWS3,17
33WUN3,16
36WVC2,22
33WWR3,19
32VNQ4,23
32VMN3,19
32VNK1,18
31VFH1,16
33VUH3,28
32VNM2,32
32WPS1,17
33WXS2,21
34WEC1,9
33WUM4,25
32VLK4,30
34WEC4,19
32VNL2,26
33WVN2,20
32VMP1,23
34WDB1,25
33VUK4,26
34WDS3,17
32VPK4,31
33VVF4,21
34VDR1,18
34VCM4,32
33VVD2,23
33VVG3,15
34WDA1,21
33VWD1,28
34WEU2,7
32VPL4,31
30UVD4,44
30UVC3,42
30UVD1,41
30UVC1,41
30UUC4,42
30UVD3,39
30UVD2,40
30UVC2,45
30UVE4,44
30UWC2,46
30UVC4,44
29UNU1,16
29UPU4,9
29UNA4,24
29UNV4,13
29UPV4,17
29UNV3,13
29UNA1,8
29UMU2,5
29UPU2,11
30UUF1,16
29UNT2,12
29UMV2,7
29UNU4,12
29UPA3,15
29UMA2,6
29UNV2,10
29UNU2,14
29UMT4,14
29UMT2,11
29UMU3,14
29UPU3,17
29UMA4,5
29UNU3,14
29UMV3,7
29UMT3,17
29UPV1,11
29UPB4,15
29UPU1,16
29UPV2,12
29UNT3,16
29UNB4,9
29UMV1,7
29UPT1,11
29UPV3,16
29UMU4,8
29UPA2,21
29UNT1,11
29ULT3,6
30UUF2,21
29UMV4,9
29UNV1,12
29UNA3,19
29UPA4,20
29UPB2,14
29UNA2,16
29UPA1,15
29UMT1,17
32UMA4,11
32UPE1,10
30TVK1,23
29SQA1,16
29SQB2,15
34TFL1,28
32TPS2,17
30UVB3,45
31UES2,38
31UES4,46
31UFS2,53
31UDS3,33
32TLS1,70
32ULU2,49
30TXM4,1
30TXN2,24
29TQE1,20
30SWH3,9
30SWH1,13
34TFN2,20
34TFP1,18
34SFH3,4
31UCS4,25
30UWB1,47
30UXC3,47
31UCT1,47
31UCS3,40
30UWC4,46
30UVB1,37
30UUG3,39
31UCT3,47
30UXB1,43
30UXB3,49
30UWF2,39
30UVB2,42
30UXE3,35
30UXE2,42
30UXE1,41
30UWB2,43
30VUH1,32
30UXB2,45
30UXC1,40
30UVF4,36
30UUA2,40
30UUD3,33
30UUA3,40
30UXB4,46
30UWB3,47
30UVB4,44
30UWF1,39
30UWE2,45
30UXD1,39
30VUH4,34
30UWC3,45
30UVG1,39
31UDU2,45
30VVJ1,35
30UVA1,41
30VVJ2,31
30UXD3,34
30UWE3,43
30UWF4,37
30UXF2,41
30UWB4,47
30VUJ3,30
31UCU4,45
30VWH2,33
30UXD4,46
30UWF3,37
30VVK4,23
30UXC2,46
30VUH3,33
31UCS2,39
30UWE1,39
30UUB4,38
30UWG4,34
31UCV2,28
34VCL3,22
33VWG3,19
33VUE3,26
33VVF3,32
33VXH2,19
33VWF2,20
33VXJ1,15
34WDA2,11
33VUD2,24
34WEB2,3
34WES2,10
34WET1,16
33VUC3,36
34WEU1,3
33VWC1,11
33UUB4,29
34WDT3,15
31TFK4,58
32TLP4,34
31TFK2,61
31TFJ1,62
32TLN1,9
32TKP3,64
29SPD3,1
29TPE3,14
33UWQ3,5
33TXJ3,23
34TCQ3,18
32UMB2,17
30TYK1,29
33TWM1,18
33UWP4,19
34UFD4,82
33UXT4,22
32ULB3,34
32UMB1,21
30TUK1,13
33VVD3,23
33VVG2,14
33VVH3,26
35ULP2,19
30TXP4,39
31TBJ3,47
31TEJ2,59
33VWG1,29
34VCM3,24
34WCT3,3
33WXR1,23
33VWJ1,14
33VWG4,22
33VVG4,19
33WWP2,16
33WVP4,21
33VVD1,21
33VXF2,28
34WDV2,10
33VVJ4,12
33VWF4,20
33VWD2,15
34WEA2,21
33VWK3,8
33VXK2,23
34WFU2,6
34WEV2,4
34VXH2,11
33VWH2,19
34WDA3,8
33UVB2,18
34WFU1,15
34VCR4,13
34WDU4,12
34WEU4,12
33VWJ2,7
33VVK4,8
33VWG2,27
34WCU4,2
34WDT2,14
34WCS3,6
34WDS4,6
34WEA3,14
34WEV3,2
33WWP4,20
34VCQ3,17
34WDB4,9
32TLR3,44
33VUD3,15
33VUK3,21
34WDU2,3
34WDU1,18
33VXK1,10
33VWK4,9
34WET2,8
33VVH2,13
33VWK1,13
33VVH4,10
34UFB1,30
34UFB4,23
34UFA2,24
33UXU2,35
33UXS4,31
33UWV3,16
34UCC1,18
35VNC4,3
34UEA4,27
35TKH3,23
35TNH1,21
35TMH4,26
34VEK4,24
34VFK1,33
35VMF3,38
34UGU2,24
35VNF3,25
34UEB3,21
34UFF3,2
35ULA3,2
35UMB2,1
34UEG1,1
34VEH4,1
35VMC2,1
35UMB1,1
36WUS3,8
34UFU2,30
33VVF1,19
34WCV4,6
34WDS2,12
34VCR3,7
33WXM2,9
33WWN3,11
33WWN1,12
34WET3,16
33WWQ3,9
33WXP2,14
33WVN4,11
33VWL2,4
33WWM4,8
34WCU3,7
33WXN2,10
32TNR3,1
32TNT4,25
32TLS3,67
32TLS4,74
32TMR1,24
32TMS2,64
32TNT3,24
32TLR1,65
31TCJ3,61
33VUL4,16
33VVJ2,7
33VWH3,15
33WWR4,8
33VWH1,11
33WXP1,1
34WCT4,2
31TFK1,59
31TEK4,68
32TKR3,57
31TFK3,71
31UDP3,55
31TEM2,64
30TXR1,40
31TFL2,58
34WEU3,5
33WWQ4,4
33VVL2,15
34WDB2,21
33VXL2,8
33WWM2,19
30TVM4,14
32UPC1,20
35VLJ4,35
33VWL4,8
33VWL1,10
30SWG2,8
30SVG4,13
30SVF3,10
30SWF1,25
33VVL3,10
33VVH1,16
33VWJ3,14
30TYM1,19
34WDU3,9
32UMC3,7
32UMC2,18
33UVP1,39
33UVP4,66
33UUP4,62
33UVP3,30
33TXN3,8
33UWP1,8
33UVP2,67
32TPT4,4
33UUR2,10
33TUN3,72
33UUP3,31
33UUP2,51
33UXP4,11
33UVQ2,7
33TXN2,1
33UWP2,11
34WDS1,6
34WES1,7
33VVL4,23
32VMP3,22
31VFK2,19
32VMM1,18
36WVC1,11
35WNS3,25
32VNP2,27
32WNS4,18
31VFJ2,23
36WVD2,12
32VNN1,26
32VNQ3,28
31VFF4,29
34WDC2,22
32VML2,26
34WEB4,20
35WNT4,22
32VNN2,28
32VMP2,23
32VLL4,19
33WVP2,22
32VLL3,17
32VMM2,23
33WWQ1,22
32VML1,23
35WMT2,17
32VNL4,25
34WDT4,5
33VXH1,7
33VWL3,7
33VVJ3,8
33VVK1,8
33WVM3,17
33VVK3,9
35WLP4,24
34WCS4,3
33VXL1,5
33VWH4,15
31UER2,41
33TUN2,61
