"cell50x50","SR"
"29SMC3",5
"29TNH2",8
"29TPE1",7
"30SUJ1",13
"30SXJ4",11
"30TTN4",12
"30SWH1",10
"30SYK2",15
"30TUN2",13
"30TUN1",16
"30TWN4",18
"30TXN3",18
"30TXS1",11
"30TXS2",17
"30UXU4",8
"30TXQ1",6
"30UVD3",10
"30UXV2",9
"31TBH3",18
"30UWU3",15
"31TCK3",9
"31TDK4",6
"31TDG3",20
"31TCM4",13
"31TEM4",9
"31TEL4",14
"31TEN4",10
"31TGH1",15
"31UCR2",9
"31UCP2",7
"31UCQ1",20
"31UDP3",11
"31UDS2",16
"31UFP1",14
"31UEQ1",12
"31UFS4",12
"32TLT1",21
"32TMQ2",13
"32TMS3",21
"32TNQ1",12
"32TNT2",22
"32TQR1",24
"32TQS1",22
"32ULD4",10
"32ULD1",18
"32ULB4",8
"32UMB1",9
"32UMB2",8
"32UMB3",8
"32UMD4",10
"32UNC2",10
"32UNE3",19
"32UPE2",20
"32UPA3",14
"32UPC3",16
"32UPU4",18
"33TTH3",11
"33TUG2",10
"33TUN1",19
"33TVL3",20
"33TUN2",21
"33TUM3",20
"33TWN3",17
"33TXL3",19
"33TWN2",15
"33UUB3",21
"33TYL2",18
"33UVR3",13
"33UVQ3",18
"33UVQ1",22
"33UWU2",15
"33UVS4",18
"33UWU4",15
"33UWR1",16
"33UWS1",16
"33UWU3",18
"34SEH1",13
"34SEK4",14
"34TDP4",9
"34UCA1",16
"34TFS1",13
"34UDE4",18
"34UDE2",15
"34UDF2",18
"34UEC1",15
"34UDV1",20
"34UFD3",25
"35TLH4",20
"35TLN1",13
"32TLT2",23
"30SXJ1",10
"30TWT4",13
"30SVH3",12
"30UVF4",28
"31TFJ4",20
"31UES3",17
"31UET3",16
"31UET4",18
"32UMG3",19
"32TNT3",25
"33TTK3",11
"32UMV3",15
"33TXM4",13
"33TYM2",11
"33UVT1",16
"33UVU3",21
"33UWV2",18
"33UXT2",17
"33VVE3",22
"34SDJ1",14
"34TET1",15
"34TET2",12
"34UCE2",16
"34TFK3",13
"34UCA3",18
"34UEC3",16
"34UFU2",15
"35TNG1",24
"35TPL4",22
"32VNP4",38
"32VNP2",34
"33WWN4",33
"34WDV2",31
"34WFU1",31
"34WFV2",32
"35WMN3",32
"34WEV3",29
"35WMT1",36
"35WNP2",30
"33TYJ2",14
"34SFH2",8
"34TGL1",14
"30TYM1",24
"31TCG3",21
"35TMG2",16
"32TLQ3",21
"30TYN2",21
"32TMR2",19
"32TMR3",16
"32TNS2",23
"32TPT1",24
"33TVG2",17
"33TUM1",19
"33TUG4",15
"34TFM4",23
"34TCN3",17
"35TKG4",19
"29UNT1",16
"34UCV3",23
"29UMT4",12
"30TWM2",14
"30TXN4",17
"30TVN1",15
"30UUG1",17
"30UWB2",21
"30UXE1",10
"30UWE1",12
"30VUK4",25
"30UXC4",11
"30UYU1",7
"30VUH3",20
"30VVJ4",13
"30VUH1",23
"31TEK2",13
"31TEL2",13
"31TEM3",14
"31UCP1",8
"31UCS3",21
"32TKQ4",20
"31VFK2",36
"31UGP1",14
"32TLQ4",18
"32TNR1",25
"32TQT1",21
"32TMR1",18
"32UMD3",12
"32ULU3",16
"32ULC4",6
"32ULU2",13
"32UMV1",9
"32UNE1",19
"32UNC1",10
"32UPF2",22
"32UNU2",14
"32UPB3",9
"32UPB2",15
"32UNV2",5
"32UPA4",14
"32VLM3",20
"32VNH4",16
"32VMQ4",33
"32VNL4",18
"32VNM3",23
"32VPK3",29
"33TXK3",14
"33UUP1",12
"33TWL2",13
"33UUQ1",19
"33UWR3",22
"33UVP2",18
"33UWP4",18
"33UXA3",19
"33UXQ4",25
"33UXQ3",21
"33UWT1",14
"33VUD3",20
"33UXS3",16
"33VVK1",30
"33VWG2",21
"33VWF4",19
"33VWC2",30
"33WVM2",32
"33WWR1",24
"33VWL3",26
"34TDR2",21
"34TCQ3",10
"34UCD3",15
"34UCC1",14
"34UCD4",17
"34UDA1",16
"34UCV4",25
"34UDU3",22
"34UEF3",15
"34UEV1",16
"34UEB3",13
"34UFA1",17
"34UFD2",14
"34UFF3",15
"34UEE4",18
"34VCM4",32
"34VFM2",34
"34VEP1",41
"34WDS4",30
"34WDT1",28
"35TML2",9
"35TMH1",10
"35TMM1",12
"35TNH3",24
"35ULS2",15
"35UNP2",14
"35UMB4",17
"35VLD2",21
"35VMH4",31
"35VMG1",35
"35VMJ1",28
"35VNJ4",25
"35VPJ1",27
"35VNJ1",27
"35WMN2",38
"35WMM1",36
"35WPN2",23
"29SQA1",18
"30TUM3",13
"30TWK1",13
"30TUM4",10
"31TDF1",13
"31TCJ4",8
"31TCF3",13
"31TEH1",21
"32TQQ2",15
"31UFU2",16
"31UFU3",18
"32ULC1",18
"32UNA2",14
"32TPP3",11
"32TQP2",11
"32ULA3",9
"32ULD2",15
"32UNF3",24
"32VNJ4",14
"32UPB4",13
"32VNH3",13
"33TUG1",13
"33TTG3",8
"33TVN3",20
"33TWF3",7
"33TVF4",7
"33TVN1",20
"33UUB4",17
"33UUS4",15
"33UVA2",19
"33UXP1",16
"33UXT1",17
"33VUE4",19
"33VUC3",25
"33UXV2",14
"34TCS2",12
"34TCT3",13
"34TFN3",19
"34TES1",14
"34UCU3",19
"34UCF1",19
"34TFM1",13
"34UEF2",16
"34UEA1",15
"34UFD1",17
"34UED3",16
"34UFA4",22
"34VFH1",15
"34UEV4",23
"34VEH2",21
"34UFC1",14
"34VFL4",28
"35TPJ2",15
"35TMN3",11
"35TNG3",22
"35TMJ3",16
"35ULA1",19
"35ULA3",16
"35UMA1",17
"35VLF3",30
"29SPB3",14
"29SND3",7
"29SNC2",7
"29TQG2",12
"29TNG1",11
"30SUF1",10
"30SVG3",13
"30SVG1",7
"30SVF3",12
"30SUF3",11
"30TUL2",13
"30TUN3",15
"30TUL3",9
"30TWM1",16
"30TYK1",13
"30TWL4",9
"31TBG4",17
"30TYR2",6
"31TCJ2",7
"31TEJ4",21
"31TEN3",8
"31TFK4",18
"31TEJ3",15
"31TGK2",18
"31TGN2",15
"31UCP4",9
"31UER1",11
"31UEQ4",9
"31UFR3",10
"32TKP3",19
"31UFQ4",14
"32UMA4",12
"32UMB4",10
"32UMA3",13
"32UNE4",22
"32UME4",16
"32UPD4",16
"32UPU3",10
"32VMN1",21
"32VMR4",30
"32VNQ3",24
"32WPS1",35
"33UVR1",16
"33UVU4",18
"33UWS2",18
"33UXA2",17
"33UWV4",15
"33UXS1",17
"33VVH3",27
"33VVK4",24
"33VUH4",22
"33VVJ1",29
"33WWM1",34
"33WWM4",30
"33WWP1",29
"33WWR2",29
"34UCC3",16
"34UDF4",19
"34UCC4",16
"34UDC1",15
"34UDC3",15
"34UED2",16
"34UFC3",16
"34UFV1",22
"34UFF4",23
"34VDR1",35
"34VDR3",35
"34VFJ4",23
"34WDU4",27
"34WDS3",25
"34WEA2",27
"35VLL4",31
"35VML1",26
"35VMF3",25
"35VLL3",25
"35VMF1",34
"35VML3",26
"35WMR1",27
"35VNL4",25
"35VPJ2",28
"35WNM4",26
"35WMQ2",29
"35WMT3",23
"35WNT4",35
"32VPQ2",30
"32VNR3",34
"32VPN1",25
"32VPR1",36
"32VNQ2",29
"33VWK2",24
"33VXK2",33
"33VWK1",25
"33WVN3",28
"33WXQ2",32
"33WXM1",27
"34WFV1",33
"34WFA1",32
"35WMR3",30
"35VNH2",36
"35WMM4",30
"35WMQ4",28
"36VUQ3",28
"35WNS1",33
"29SQE2",11
"29TMH3",5
"29SQD2",12
"29TPH2",7
"29UMA2",20
"29UNT2",10
"29UPA4",17
"29UPU4",16
"30SUF2",9
"30SVG4",12
"30STF4",16
"30TUM2",10
"30SYJ2",16
"30TUN4",19
"30TWN3",13
"30TWM4",15
"30UVB4",9
"30UWC1",8
"30UWD2",9
"30VVL4",27
"31TBH4",20
"31TBF3",15
"31TCH4",17
"31TFJ2",21
"31UFQ3",13
"31UFT3",17
"31VFE3",32
"31VFG2",28
"32TLP3",19
"32TLS2",29
"32TPR3",20
"32ULC2",12
"32UNV4",10
"32UNG1",14
"32UNG2",15
"32VLN3",23
"32VNN1",30
"32VMQ2",25
"32VPL3",22
"33TUL3",19
"33TWG4",13
"33TXK2",7
"33UUS3",13
"33UUP4",15
"33UVQ2",25
"33UUT4",13
"33UUT1",14
"33UVV4",18
"33UXA4",17
"33UVS3",19
"33UXU3",14
"33VUC2",14
"33UXR1",18
"33UXU1",14
"33VVD2",22
"33VUC4",26
"33VVC2",23
"33VWD3",27
"33VWJ1",26
"33VWG3",19
"33VWF3",20
"33WVQ3",31
"33VWH3",24
"33WVN1",16
"33WVP2",36
"33WWS4",29
"34SDH3",7
"34SFF2",3
"34SFJ2",13
"34TDP3",9
"34TFK1",21
"34TCR1",20
"34TDT1",12
"34UCB3",14
"34TET4",14
"34TGT1",17
"34UDA2",19
"34UCA4",22
"34UDU2",13
"34UDD1",13
"34UDB1",15
"34UED4",13
"34UEC4",16
"34UFC4",23
"34UFA3",19
"34UFV2",19
"34VEJ2",18
"34VER4",35
"34VER3",34
"34WCT3",27
"34WDB2",26
"34WES2",30
"34WEA1",34
"34WFS2",38
"35TLH2",22
"35TKF4",21
"35TMG4",9
"35TLN3",12
"35TNJ1",20
"35ULP4",15
"35VLK4",27
"35VMH2",26
"35VLC2",12
"35VLJ4",28
"35VNC4",25
"35VNF1",22
"35WLN3",35
"35WMN4",29
"35WNN1",31
"35WNM3",25
"35WNR2",31
"35TPK1",21
"32TLR1",22
"32TMS4",21
"32TPT4",21
"33TUH2",13
"33TTL3",26
"34SEJ2",15
"30TTK3",17
"32TLP1",20
"31TEK3",15
"31TEJ1",19
"29UMA4",20
"30UVD2",15
"29UPB4",18
"30VVK4",26
"30UWD3",12
"31VFJ1",38
"32VMQ1",35
"32VMK4",16
"32VNM2",26
"34WEA4",29
"35WNR4",28
"32UMG4",23
"32VMQ3",35
"32VPN2",28
"33VUD1",28
"33VVF1",23
"33VVD4",18
"33VVJ3",24
"33VWK3",24
"33VWG1",22
"33VWH1",24
"33VXH2",31
"33WWN3",33
"34VEN4",28
"34WDS1",27
"34VFK3",32
"34VFL1",22
"34VFN2",26
"34VEQ4",26
"35VMD3",20
"35VML4",25
"35VNK3",27
"35WMM2",30
"35WMQ3",29
"35WNP3",27
"32VNN3",30
"33WVM1",31
"33VWJ2",25
"34VEM3",36
"34WCS3",27
"34VEP2",39
"34WDT2",28
"35VLG3",36
"35VNK1",26
"35VNL3",25
"35VNH1",27
"35VPK2",29
"35WNR1",31
"34WEB2",31
"35WMS4",33
"33VVF2",22
"33VVH2",23
"33WVM3",31
"33VUL3",33
"30VVK2",22
"33UVB1",25
"34WDU2",28
"30UUA2",14
"34WEU4",32
"30UWG4",22
"30UUG4",27
"34VDR2",34
"33WWM2",29
"33VWC3",31
"33VVL2",32
"33VWG4",21
"32ULA1",10
"30UWF1",8
"33WXN2",28
"33WXM2",27
"31VFF3",30
"31VFH1",28
"29VPC3",26
"32VPM2",24
"32VPP2",29
"33WWP3",32
"32VLQ4",35
"33VXH1",28
"33WXQ1",30
"30VVJ3",20
"32VNQ4",32
"33VVH1",23
"35WNT2",33
"30VUJ4",17
"34WDB1",36
"35VMJ4",26
"31VFG1",29
"33VXL1",27
"33VWD2",18
"32VNN4",30
"32VNP1",35
"33VWE3",31
"33VVC1",19
"33VWK4",24
"33WWN1",33
"32WPS2",26
"34WEC4",20
"34WCS4",25
"34VCM3",29
"35VMJ3",25
"35ULA4",19
"35UMB3",17
"35WLP3",31
"35VMK3",27
"35VLH3",30
"34WEB3",24
"34WEB4",24
"35VND1",20
"35VME2",21
"35VNH3",30
"35WMT4",33
"35WNM1",26
"32UPC4",17
"32UPE3",23
"32VMH3",15
"32VNH1",12
"34TFM3",24
"34UDE1",16
"32UMG1",11
"33UXT3",15
"34UFF2",19
"34UCB1",14
"33UWS3",16
"33UWT2",18
"33UXV3",18
"35TNN1",18
"34UEF4",19
"35TPK3",23
"34TDR1",17
"35VMK4",30
"34VEP3",26
"34UFB3",20
"35ULR1",14
"35VLE3",31
"33VUE3",21
"35VME1",22
"35VNK4",27
"30UVG4",15
"35VLH4",30
"35VLJ3",27
"35VME3",25
"35VMF2",20
"32VNR4",32
"33WWQ2",32
"36VUQ4",28
"36VUR4",25
"35WMP2",30
"31UCT3",21
"31VFF1",32
"30UXB2",15
"30UXB4",11
"30UXV3",15
"30VUH2",25
"30VUJ1",23
"35TLF2",24
"29UMT1",21
"30UVB3",9
"29UPV4",19
"30UUU3",18
"30UVV4",19
"30VVK1",31
"29UMT2",13
"30UXD1",9
"33TXL2",15
"33TXL4",16
"30UVF3",13
"34TBR3",15
"30UWB4",17
"31TCN2",9
"33UWQ2",20
"35WMU1",36
"32VNJ2",20
"34UFE1",23
"31UDR2",11
"29TQE1",18
"34TCT2",19
"33TWJ1",12
"33TWM2",16
"33TXK1",12
"35TMG3",11
"30UVG3",23
"35TNN4",16
"33TXM3",19
"31TFL2",14
"31TBJ4",5
"31TFM2",14
"34TER1",13
"31TCH3",19
"33UUR4",18
"35UMP4",18
"33UYP1",16
"33UYP2",12
"35TMJ4",7
"31TDL2",12
"29SQA2",11
"30TVL4",19
"33TYN2",16
"31UFT1",17
"30TXP4",10
"31UFT2",19
"35TMH3",15
"34TDR4",20
"32TPR2",14
"34TEQ1",20
"34TER3",10
"33TTK4",15
"33TUL4",10
"30STJ3",15
"33TYM1",17
"33UUA4",24
"32UPD2",19
"30TYT2",10
"31TEN2",12
"33TWL3",14
"31UFP3",12
"33UWQ1",14
"34UCE4",18
"34UCF2",18
"33UWR4",18
"33TXM1",14
"33UWT3",15
"32UND3",13
"34UDA4",19
"34TFT1",13
"34TCR3",14
"34UDC4",16
"34TCS4",9
"34UEB2",16
"33UXP3",18
"34UCA2",26
"34TDQ3",14
"33UXR4",23
"34UCC2",17
"34TEL3",14
"34UDV4",23
"34UEG2",26
"34UEV3",20
"34UFB4",18
"34UFD4",22
"35VLC4",16
"35VMC3",28
"29UMU3",18
"31UCU3",19
"31UCU4",22
"30SXH4",19
"30TVT3",15
"30TWT2",11
"30UXC1",9
"29UNA3",11
"31VFF4",38
"30UXD4",12
"30UVB2",15
"30UVC1",14
"30UUF2",16
"31UDS4",10
"32VPH1",12
"32VPH2",12
"30VVK3",25
"32UNC3",15
"34VEN2",36
"32UQU2",19
"34VEQ2",39
"31UFT4",14
"34VFK4",22
"33WUN4",27
"35TPL2",18
"29UNA4",13
"29UNU3",6
"34TGP1",13
"33UVV2",19
"32VNR1",24
"32VLQ3",25
"30UWC2",11
"32VML1",27
"32VML2",22
"33UVV3",21
"34UFC2",22
"33VVC4",32
"32VLK3",29
"34WEV1",26
"34WDS2",26
"35VMD4",22
"34UDF3",21
"35VMG3",30
