cell50x50,SR
31TFK3,26
31TGK1,24
31TGK2,22
31TGL2,26
32TKP3,25
32TKQ3,18
32TKQ4,22
32TKR3,26
32TKR4,23
32TLP1,19
32TLP3,21
32TLQ1,20
32TLQ2,18
32TLQ3,27
32TLQ4,23
32TLR1,24
32TLR2,21
32TLR3,23
32TLR4,21
32TLS1,32
32TLS2,31
32TLS3,28
32TLS4,23
32TMP1,14
32TMR1,22
32TMR2,21
32TMR3,22
32TMS1,26
32TMS2,23
32TMS3,23
32TMS4,26
32TMT4,33
32TNR1,26
32TNR3,28
32TNS1,21
32TNS2,23
32TNS3,19
32TNS4,21
32TNT2,27
32TNT4,24
32TPR1,22
32TPR3,20
32TPS1,21
32TPS3,24
32TPS4,23
32TPT2,20
32TPT3,24
32TPT4,21
32TQR1,20
32TQS1,23
32TQS2,26
32TQT1,26
32TQT2,19
33SWC4,11
33SWE4,14
33TUG3,17
33TUG4,15
33TUH1,14
33TUH2,17
33TUH3,16
33TUH4,13
33TUJ2,12
33TUL4,13
33TUM1,21
33TUM2,26
33TUM3,22
33TUM4,24
33TUN1,21
33TUN2,21
33TUN4,19
33TVG1,17
33TVG2,16
33TVK3,13
33TVL1,25
33TVL2,24
33TVL4,21
33TVM1,25
33TVM2,25
33TWE3,17
33TWJ1,11
33TWJ3,13
33TXH3,10
33TXJ2,13
33TYH1,19
33TYJ2,17
33TYK2,13
34SDH3,12
34SDJ1,17
34SDJ3,14
34SDK4,15
34SEG3,13
34SEG4,7
34SEH1,17
34SEH2,16
34SEH3,12
34SEH4,16
34SEJ2,14
34SEJ3,14
34SEK4,11
34SFF1,13
34SFF3,7
34SFG1,14
34SFG2,13
34SFG4,9
34SFH1,22
34SFH2,12
34SFH3,10
34SFJ3,17
34TBN3,9
34TBN4,9
34TCN3,17
34TDP4,12
34TEK1,19
34TEL2,30
34TEL3,18
34TEL4,23
34TEQ4,15
34TFL1,16
34TFL3,28
34TFL4,14
34TFM1,19
34TFM3,23
34TFM4,24
34TFN3,22
34TFN4,24
34TGL1,23
34TGM2,24
34TGN1,17
35TKF3,23
35TKF4,18
35TKG4,19
35TKH4,17
35TLF1,19
35TLG2,22
35TLH2,23
35TLH4,23
30UWB4,29
30UWE1,22
30UWE4,18
30UXC2,17
31UCU2,23
31UCU4,16
31UFT2,25
29UMA4,14
29UMT1,20
29UMV2,22
29UMV4,13
29UNA3,9
29UNA4,11
29UNT1,6
29UNT3,15
29UNU3,7
29UPA2,6
29UPB2,21
29UPU3,20
29UPU4,12
29VPC3,24
30UUG1,16
30UUG3,27
30UVB2,12
30UVC2,19
30UVC3,13
30UVC4,14
30UVD1,32
30UVD3,17
30UVD4,12
30UVF1,26
30UVF3,18
30UVF4,26
30UVG1,16
30UVG2,10
30UVG3,14
30UVG4,11
30UWD2,15
30UWD3,19
30UWE3,17
30UWF1,13
30UWF2,21
30UWF3,24
30UWG1,28
30UWG2,10
30UWG4,30
30UXF2,24
30VUH1,19
30VUH3,21
30VUJ1,27
30VUJ3,18
30VUJ4,19
30VUK3,33
30VUK4,27
30VVH1,16
30VVH2,22
30VVH3,21
30VVJ1,30
30VVJ2,19
30VVJ3,23
30VVJ4,21
30VVK1,27
30VVK2,24
30VVK3,33
30VVL4,25
31VFE3,20
31VFF3,26
31VFF4,36
31VFG1,24
31VFG2,27
31VFH1,28
31VFH2,26
31VFJ1,24
31VFJ2,24
32VLK3,32
32VLL4,21
32VLM3,12
32VLM4,13
32VLN3,25
32VLN4,16
32VLP3,17
32VMK1,22
32VML1,20
32VML2,17
32VML3,18
32VMM2,20
32VMM4,24
32VMN1,18
32VMN3,23
32VMN4,26
32VMP3,20
32VMQ1,25
32VMQ2,22
32VMQ3,27
32VMQ4,14
32VMR4,30
32VNL1,22
32VNM1,20
32VNM2,23
32VNN1,24
32VNN2,24
32VNN3,29
32VNP1,25
32VNP2,31
32VNP4,26
32VNQ1,30
32VNQ2,31
32VNQ3,29
32VNQ4,29
32VNR1,33
32VNR2,36
32VNR3,29
32VNR4,35
32VPN1,27
32VPP1,28
32VPP2,26
32VPQ1,29
32VPQ2,30
32VPR1,33
32VPR2,32
32WNS4,30
32WPS1,21
32WPS2,25
33VUH3,26
33VUH4,24
33VUJ4,30
33VUL3,25
33VUL4,34
33VVH1,22
33VVH2,24
33VVJ1,26
33VVJ2,24
33VVJ4,21
33VVK1,30
33VVK2,31
33VVK3,25
33VVK4,26
33VVL2,30
33VWJ1,22
33VWJ2,26
33VWK1,25
33VWK2,25
33VWK3,21
33VWL1,26
33VWL2,26
33VWL3,20
33VXK1,29
33VXL1,18
33VXL2,25
33WUM3,20
33WUM4,22
33WUN3,21
33WUN4,22
33WUP4,28
33WVM1,28
33WVM2,28
33WVM3,27
33WVM4,31
33WVN1,17
33WVN3,21
33WVN4,30
33WVP1,26
33WVP2,29
33WVP3,26
33WVQ2,31
33WVQ3,27
33WVQ4,31
33WWM1,28
33WWM2,19
33WWM3,28
33WWM4,24
33WWN1,29
33WWN2,31
33WWN3,28
33WWN4,27
33WWP1,24
33WWP2,31
33WWP3,30
33WWQ2,31
33WWR1,25
33WWR2,20
33WWR3,27
33WWS3,23
33WWS4,31
33WXM1,23
33WXM2,22
33WXN2,23
33WXQ1,23
33WXQ2,25
33WXS2,13
34VCR3,25
34VDR2,32
34VDR3,38
