"cell50x50","SR"
"30TYP2",7
"30TYQ1",7
"35VLF3",7
"35VME3",6
"35VLE3",6
"35VNE1",5
"35VMF1",7
"34VFK4",2
"35VME4",6
"35VME2",6
"34VFK3",6
"35VMG2",7
"35VMF3",8
"35VLE4",6
"35VME1",6
"35VLF4",7
"35VMF4",6
"35VMF2",5
"34VEK4",2
"34VFL4",6
"34VFK1",4
"34VFL2",5
"35VMD3",4
"35VNF2",4
"33WXR2",5
"34VFL1",4
"34VFL3",6
"35VNF1",5
"35VNE2",6
"35VNF3",3
"35VMG4",3
"31TBL3",10
"29SND1",4
"32TLR4",8
"30SVH1",3
"32TMS3",11
"31TCG4",4
"29TNF1",2
"34VFN1",8
"31UFT2",5
"32TMS1",11
"33TWN3",5
"31UCU2",3
"29SPB2",3
"30SUF3",3
"32TLP3",14
"33UWP4",6
"32TMR1",8
"34VFR1",7
"30SVF1",4
"32TPS1",9
"33TTG4",2
"31UCT3",4
"29TNF2",3
"35WMP1",7
"31TCH4",11
"32TLQ2",11
"32TNQ2",3
"30UVB3",4
"32ULV3",3
"30VUH2",3
"32TLR3",7
"30UXC4",6
"31TGL2",14
"35WNU2",8
"30TUK1",8
"30VVJ4",5
"30TXT4",8
"32TPT2",5
"32TPT3",8
"33TWM3",5
"33TUM4",6
"30SXJ1",3
"30VVH2",4
"30SUH2",2
"29TQE1",3
"32UNF1",5
"33TVG1",3
"30TVL2",3
"34VEP1",6
"34UCV4",8
"30TWL4",3
"32UPV3",5
"32TLQ1",9
"31UFR4",8
"33UUS1",5
"30TUN1",6
"32TLS2",11
"30UWF1",4
"33TWK1",2
"31UFS2",4
"32UPU3",4
"31UDQ2",8
"30UVU4",8
"30TWT1",9
"31TGJ2",9
"31TGH1",7
"32TKP4",11
"31TDK4",10
"32UMU1",9
"32UMB3",4
"34UEG2",2
"35WLM4",8
"34WDC3",5
"32TMT2",9
"32VNN2",8
"31TCH2",12
"33VUL4",8
"30UWU3",7
"33UUU4",4
"29SMD4",2
"32UMD2",4
"32UND3",4
"31TDH1",12
"29TQH1",5
"32VNR4",8
"32UNC2",6
"31TBH4",12
"32TQS2",6
"32TKQ3",13
"32UNU3",4
"30UWF2",4
"30SVH2",6
"34VFP2",7
"34WEV1",4
"32VMP4",9
"33TVN4",4
"30UUA3",3
"30TYL2",4
"35VML3",8
"31TFL2",9
"30TVM3",5
"33TWN2",7
"29SNA3",3
"32ULV4",6
"31UDQ4",9
"35WMN2",9
"35VLG3",11
"32VNJ4",3
"32TNS3",10
"31TEJ1",11
"29TNH3",3
"30TWN1",5
"31TDJ4",11
"35VLH4",8
"33UUQ4",8
"31UFR3",4
"30UXE2",4
"31TFJ2",5
"30TYN2",8
"30TYN1",14
"31TFK2",12
"31UCQ1",7
"31UCP2",8
"31TEK3",9
"30UXV1",7
"31TEM1",9
"31TFL1",11
"31TGM2",12
"31TEL3",10
"31TFM4",9
"31UFQ1",6
"31TDL4",10
"31UCQ3",5
"31TEK4",11
"31TFL4",8
"30TXR3",10
"31TFK3",13
"31TGK1",10
"31TEL4",8
"31TDM3",9
"31TGL1",14
"32TLR1",11
"31TFK4",9
"32TLR2",12
"32TKR4",11
"31TGM1",11
"31UDR3",4
"31TDK3",11
"31TEM4",7
"30TYR1",10
"30TXS1",8
"31TCL3",10
"31UEQ1",8
"32TKR3",10
"31TFK1",11
"30UXV4",8
"31TEK1",8
"31TFM2",9
"31TDL3",10
"31TCL1",10
"31TEN3",7
"31TEL2",10
"31TCM3",9
"31TEL1",11
"31TDM2",10
"31TDK1",9
"30TYT1",9
"30TXS4",9
"31TFN3",6
"31UFP1",6
"31UDS2",6
"31UCP3",6
"31TFL3",11
"31UCP4",5
"31UDP2",7
"31TGK2",10
"30TYM2",5
"32TQQ2",2
"30TUN3",9
"32UPC1",5
"30SVG4",4
"32TPN3",3
"30STF3",5
"31TDG1",10
"30SYK2",6
"32UPB4",6
"35WMQ2",4
"30UWE4",4
"31TDF1",2
"30SUH4",4
"30VUJ1",4
"32UNC4",7
"30TXL4",3
"32UMA3",7
"30SWF1",2
"33WWN4",7
"31TDG2",8
"29TNJ4",5
"31UFT3",3
"32TNS4",10
"32TNT1",5
"29SMD3",2
"30SWG2",4
"32TLT2",9
"33UVQ4",4
"35TKG3",1
"33VVL2",10
"34WCU4",4
"32TNT2",10
"35VMH3",6
"35WMS4",6
"30TUN2",3
"34TDN3",1
"35ULA3",5
"32TQT2",8
"32TPS2",5
"33TVM1",6
"30UVG1",4
"32TMQ2",4
"30TYS2",10
"30TXT3",11
"30TXP1",7
"30TXP2",8
"30TXP3",8
"30TXN3",13
"30TXQ2",6
"31TCM4",10
"31TDH2",13
"31TDK2",9
"31TDH4",10
"31TEJ2",8
"31TCJ4",11
"31TEJ3",10
"31TCJ3",8
"31TCK4",9
"31TCK3",10
"31TEJ4",10
"31TFJ1",9
"31TCH1",11
"32UMG4",4
"32VNH3",3
"32UNG1",5
"32UNG2",4
"32VNH1",3
"32VMH3",4
"32VNH4",3
"32UMG3",4
"32UMF3",3
"30UWD3",6
"30UWD4",4
"30UWD1",4
"32TLT4",8
"35TLH3",2
"34UCV2",4
"33TVF3",3
"33TTL3",2
"30SWJ4",3
"30VWJ2",4
"33TUN2",6
"31TDG3",9
"33TWN1",6
"32TLP1",14
"29SNB4",4
"34WFA2",5
"32TLQ3",7
"29SQC2",2
"34UFA4",6
"30UXB1",6
"30VVH4",4
"36WVD2",8
"30TVN1",8
"30UWE1",3
"33VUD4",6
"33UXP2",6
"32UMV4",3
"34WDV4",5
"31UCT2",4
"30UXV3",6
"35TNG3",2
"31TDN1",7
"30TXQ4",6
"31TCK2",9
"34WCV4",5
"33VUJ4",10
"33VUK3",9
"33VUF3",4
"33VWC2",8
"33VUH4",7
"34WFU2",5
"33VVK3",7
"34WEU3",6
"33UUB4",5
"33UVB1",10
"33WVM3",10
"33VWE1",8
"33WVN3",10
