"cell50x50","SR"
"35VMF4",9
"35VLF3",9
"35VME3",7
"34VFL4",8
"31TGJ2",9
"31TEM1",9
"30TXP1",5
"32TLP2",7
"32TLR2",9
"30TXN1",5
"30TXR4",5
"30TYP1",6
"31TEL1",7
"30UXV2",5
"30TYN2",10
"30UVU3",6
"31UER4",4
"32TLQ2",8
"30UUU3",3
"32TKN3",8
"30TWT4",6
"31TEN4",9
"31TEN3",9
"31TEL4",6
"32ULV2",5
"31TBK4",5
"31TFM3",9
"31TCL3",7
"30UVU4",5
"30UVV4",3
"30TYT1",7
"31TCK1",7
"31UFP4",8
"32TLS2",12
"31TCM1",8
"31TFM2",9
"32TLP3",10
"31TCM4",6
"30TXT2",7
"31UEQ4",8
"31TEN1",9
"30TYN1",10
"31UFQ1",7
"31TCL1",5
"30UXV4",6
"32TLQ1",8
"30UYU2",6
"31TCK2",4
"31TGM2",11
"31TEK1",6
"31UEP1",8
"31TDH2",13
"31UDQ4",6
"30UWU4",4
"32TKQ3",11
"30TXQ2",4
"31TDJ4",10
"30TXS4",5
"31TDK1",8
"31TDH3",11
"31UCP2",8
"31TFN4",9
"31TDL2",8
"31TFJ4",8
"30TXS2",5
"32ULU3",5
"31UEP2",7
"30UVU1",6
"31TDM2",8
"32TKP4",6
"31TGK2",9
"30TXS3",6
"31UGP1",6
"31UEQ1",4
"31TFN1",9
"31UFP2",9
"31UEP3",4
"31TBL4",6
"30TYP2",6
"30TYQ2",6
"30UYU1",6
"31TCK3",8
"31UFQ4",5
"31UCP1",7
"32TLT1",8
"31TEN2",8
"31TEM3",8
"30UXU1",4
"30UXU4",8
"31TFN2",10
"30TXN3",9
"30TXP2",7
"32TLP1",11
"30TXQ4",4
"31UEP4",7
"31TCL4",8
"30UUC3",3
"30UWD3",5
"30UWD4",4
"30UWD2",5
"30UWD1",4
"35WNT3",7
"34WEC3",8
"35WMS3",6
"35WMS2",4
"30UWC1",6
"30VVJ3",4
"34WDA4",9
"33VUF3",3
"34VDR3",8
"34WDT1",8
"34WDV4",8
"33VVC4",4
"33VWC2",5
"34WEV1",2
"33WXR2",4
"33VVD4",4
"33WWP3",6
"33TVN3",6
"30TXQ1",3
"30UUG4",4
"30VVK2",4
"30UVG2",4
"32TNS3",10
"32TMT1",7
"32TNT1",4
"32TNS1",11
"32TNT2",11
"32TNS4",9
"32TMR3",7
"32TMT3",7
"32TMT2",8
"32TLT4",7
"32TMS4",11
"32TMS1",11
"32TLT3",7
"32TNS2",11
"32TMT4",9
"33VVK2",9
"34WEA1",6
"33VWJ4",5
"34WDV3",9
"33VVC3",6
"34WDB3",9
"34WDV1",9
"33WXQ2",10
"33VWK2",2
"34WEA4",2
"32VPL3",5
"33WXQ1",10
"32VNH1",3
"31TDN3",5
"31TFM1",9
"31TFN3",9
"31TEM4",6
"31TFM4",6
"31TCH2",8
"34TDL3",3
"32VMQ1",5
"32VNN3",11
"34WEB3",6
"32VNR2",9
"33VUJ3",8
"32VPM1",7
"32VLM3",6
"32VPR1",7
"32VPP1",11
"32VML3",6
"32VMK3",4
"32VML4",7
"33WUP4",2
"32VPR2",10
"33WUN4",5
"32VNQ1",10
"32VNM4",6
"32VNM3",6
"32VNL1",5
"31VFG1",7
"32VNL3",4
"31VFJ1",5
"32VNM1",8
"32VMP4",8
"32VMQ2",7
"32WPT2",3
"32VMN3",6
"32WPS1",5
"34WEC1",3
"32VNP3",7
"32VNQ2",10
"32WPS2",8
"32VLN3",6
"34WDB1",10
"32VMM4",7
"33WVP3",8
