"Class","Order","Family","Species","Count"
"Aves","Accipitriformes","Accipitridae","Accipiter badius",7
"Aves","Accipitriformes","Accipitridae","Accipiter brevipes",434
"Aves","Accipitriformes","Accipitridae","Accipiter gentilis",5399
"Aves","Accipitriformes","Accipitridae","Accipiter nisus",6013
"Aves","Accipitriformes","Accipitridae","Aegypius monachus",195
"Aves","Accipitriformes","Accipitridae","Aquila adalberti",116
"Aves","Accipitriformes","Accipitridae","Aquila chrysaetos",2306
"Aves","Accipitriformes","Accipitridae","Aquila clanga",323
"Aves","Accipitriformes","Accipitridae","Aquila fasciata",510
"Aves","Accipitriformes","Accipitridae","Aquila heliaca",461
"Aves","Accipitriformes","Accipitridae","Aquila nipalensis",143
"Aves","Accipitriformes","Accipitridae","Aquila pomarina",1270
"Aves","Accipitriformes","Accipitridae","Buteo buteo",6449
"Aves","Accipitriformes","Accipitridae","Buteo lagopus",779
"Aves","Accipitriformes","Accipitridae","Buteo rufinus",950
"Aves","Accipitriformes","Accipitridae","Circaetus gallicus",2050
"Aves","Accipitriformes","Accipitridae","Circus aeruginosus",4287
"Aves","Accipitriformes","Accipitridae","Circus cyaneus",2362
"Aves","Accipitriformes","Accipitridae","Circus macrourus",214
"Aves","Accipitriformes","Accipitridae","Circus pygargus",3048
"Aves","Accipitriformes","Accipitridae","Elanus caeruleus",230
"Aves","Accipitriformes","Accipitridae","Gypaetus barbatus",246
"Aves","Accipitriformes","Accipitridae","Gyps fulvus",558
"Aves","Accipitriformes","Accipitridae","Haliaeetus albicilla",2158
"Aves","Accipitriformes","Accipitridae","Hieraaetus pennatus",1474
"Aves","Accipitriformes","Accipitridae","Milvus migrans",3806
"Aves","Accipitriformes","Accipitridae","Milvus milvus",1420
"Aves","Accipitriformes","Accipitridae","Neophron percnopterus",703
"Aves","Accipitriformes","Accipitridae","Parabuteo unicinctus",8
"Aves","Accipitriformes","Accipitridae","Pernis apivorus",4382
"Aves","Accipitriformes","Pandionidae","Pandion haliaetus",1682
"Aves","Anseriformes","Anatidae","Aix galericulata",355
"Aves","Anseriformes","Anatidae","Aix sponsa",63
"Aves","Anseriformes","Anatidae","Alopochen aegyptiaca",447
"Aves","Anseriformes","Anatidae","Anas acuta",1457
"Aves","Anseriformes","Anatidae","Anas bahamensis",3
"Aves","Anseriformes","Anatidae","Anas crecca",4027
"Aves","Anseriformes","Anatidae","Anas platyrhynchos",6814
"Aves","Anseriformes","Anatidae","Anas rubripes",1
"Aves","Anseriformes","Anatidae","Anser albifrons",70
"Aves","Anseriformes","Anatidae","Anser anser",2201
"Aves","Anseriformes","Anatidae","Anser brachyrhynchus",131
"Aves","Anseriformes","Anatidae","Anser caerulescens",16
"Aves","Anseriformes","Anatidae","Anser canagicus",3
"Aves","Anseriformes","Anatidae","Anser cygnoid",20
"Aves","Anseriformes","Anatidae","Anser erythropus",70
"Aves","Anseriformes","Anatidae","Anser fabalis",562
"Aves","Anseriformes","Anatidae","Anser indicus",51
"Aves","Anseriformes","Anatidae","Aythya affinis",1
"Aves","Anseriformes","Anatidae","Aythya collaris",2
"Aves","Anseriformes","Anatidae","Aythya ferina",3199
"Aves","Anseriformes","Anatidae","Aythya fuligula",3688
"Aves","Anseriformes","Anatidae","Aythya marila",610
"Aves","Anseriformes","Anatidae","Aythya nyroca",761
"Aves","Anseriformes","Anatidae","Branta bernicla",58
"Aves","Anseriformes","Anatidae","Branta canadensis",1106
"Aves","Anseriformes","Anatidae","Branta hutchinsii",14
"Aves","Anseriformes","Anatidae","Branta leucopsis",455
"Aves","Anseriformes","Anatidae","Bucephala clangula",2316
"Aves","Anseriformes","Anatidae","Bucephala islandica",10
"Aves","Anseriformes","Anatidae","Cairina moschata",95
"Aves","Anseriformes","Anatidae","Callonetta leucophrys",2
"Aves","Anseriformes","Anatidae","Chloephaga picta",9
"Aves","Anseriformes","Anatidae","Clangula hyemalis",591
"Aves","Anseriformes","Anatidae","Cygnus atratus",136
"Aves","Anseriformes","Anatidae","Cygnus columbianus",91
"Aves","Anseriformes","Anatidae","Cygnus cygnus",1431
"Aves","Anseriformes","Anatidae","Cygnus olor",3431
"Aves","Anseriformes","Anatidae","Histrionicus histrionicus",96
"Aves","Anseriformes","Anatidae","Mareca penelope",1998
"Aves","Anseriformes","Anatidae","Mareca strepera",2450
"Aves","Anseriformes","Anatidae","Marmaronetta angustirostris",39
"Aves","Anseriformes","Anatidae","Melanitta fusca",635
"Aves","Anseriformes","Anatidae","Melanitta nigra",671
"Aves","Anseriformes","Anatidae","Mergellus albellus",461
"Aves","Anseriformes","Anatidae","Mergus merganser",2118
"Aves","Anseriformes","Anatidae","Mergus serrator",1666
"Aves","Anseriformes","Anatidae","Netta rufina",777
"Aves","Anseriformes","Anatidae","Oxyura jamaicensis",89
"Aves","Anseriformes","Anatidae","Oxyura leucocephala",78
"Aves","Anseriformes","Anatidae","Polysticta stelleri",2
"Aves","Anseriformes","Anatidae","Somateria mollissima",900
"Aves","Anseriformes","Anatidae","Somateria spectabilis",108
"Aves","Anseriformes","Anatidae","Spatula clypeata",3006
"Aves","Anseriformes","Anatidae","Spatula cyanoptera",1
"Aves","Anseriformes","Anatidae","Spatula discors",1
"Aves","Anseriformes","Anatidae","Spatula querquedula",3719
"Aves","Anseriformes","Anatidae","Tadorna ferruginea",890
"Aves","Anseriformes","Anatidae","Tadorna tadorna",1697
"Aves","Apodiformes","Apodidae","Apus affinis",37
"Aves","Apodiformes","Apodidae","Apus apus",6626
"Aves","Apodiformes","Apodidae","Apus caffer",63
"Aves","Apodiformes","Apodidae","Apus pallidus",743
"Aves","Apodiformes","Apodidae","Apus unicolor",24
"Aves","Apodiformes","Apodidae","Tachymarptis melba",1366
"Aves","Bucerotiformes","Upupidae","Upupa epops",4526
"Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus europaeus",4594
"Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus ruficollis",292
"Aves","Charadriiformes","Alcidae","Alca torda",409
"Aves","Charadriiformes","Alcidae","Alle alle",105
"Aves","Charadriiformes","Alcidae","Cepphus grylle",698
"Aves","Charadriiformes","Alcidae","Fratercula arctica",310
"Aves","Charadriiformes","Alcidae","Uria aalge",321
"Aves","Charadriiformes","Alcidae","Uria lomvia",114
"Aves","Charadriiformes","Burhinidae","Burhinus oedicnemus",1336
"Aves","Charadriiformes","Charadriidae","Charadrius alexandrinus",763
"Aves","Charadriiformes","Charadriidae","Charadrius asiaticus",21
"Aves","Charadriiformes","Charadriidae","Charadrius dubius",5181
"Aves","Charadriiformes","Charadriidae","Charadrius hiaticula",1732
"Aves","Charadriiformes","Charadriidae","Charadrius leschenaultii",31
"Aves","Charadriiformes","Charadriidae","Charadrius morinellus",357
"Aves","Charadriiformes","Charadriidae","Pluvialis apricaria",1552
"Aves","Charadriiformes","Charadriidae","Pluvialis fulva",1
"Aves","Charadriiformes","Charadriidae","Pluvialis squatarola",70
"Aves","Charadriiformes","Charadriidae","Vanellus gregarius",22
"Aves","Charadriiformes","Charadriidae","Vanellus indicus",14
"Aves","Charadriiformes","Charadriidae","Vanellus leucurus",35
"Aves","Charadriiformes","Charadriidae","Vanellus spinosus",54
"Aves","Charadriiformes","Charadriidae","Vanellus vanellus",5336
"Aves","Charadriiformes","Glareolidae","Cursorius cursor",18
"Aves","Charadriiformes","Glareolidae","Glareola nordmanni",208
"Aves","Charadriiformes","Glareolidae","Glareola pratincola",407
"Aves","Charadriiformes","Haematopodidae","Haematopus ostralegus",2224
"Aves","Charadriiformes","Laridae","Chlidonias hybrida",935
"Aves","Charadriiformes","Laridae","Chlidonias leucopterus",957
"Aves","Charadriiformes","Laridae","Chlidonias niger",1790
"Aves","Charadriiformes","Laridae","Chroicocephalus genei",112
