"Class","Order","Family","Species","Count"
"Aves","Accipitriformes","Accipitridae","Accipiter brevipes",197
"Aves","Accipitriformes","Accipitridae","Accipiter gentilis",3581
"Aves","Accipitriformes","Accipitridae","Accipiter nisus",3988
"Aves","Accipitriformes","Accipitridae","Aegypius monachus",85
"Aves","Accipitriformes","Accipitridae","Aquila adalberti",115
"Aves","Accipitriformes","Accipitridae","Aquila chrysaetos",1761
"Aves","Accipitriformes","Accipitridae","Aquila clanga",20
"Aves","Accipitriformes","Accipitridae","Aquila fasciata",411
"Aves","Accipitriformes","Accipitridae","Aquila heliaca",130
"Aves","Accipitriformes","Accipitridae","Aquila pomarina",350
"Aves","Accipitriformes","Accipitridae","Buteo buteo",3937
"Aves","Accipitriformes","Accipitridae","Buteo lagopus",639
"Aves","Accipitriformes","Accipitridae","Buteo rufinus",249
"Aves","Accipitriformes","Accipitridae","Circaetus gallicus",1399
"Aves","Accipitriformes","Accipitridae","Circus aeruginosus",2497
"Aves","Accipitriformes","Accipitridae","Circus cyaneus",1438
"Aves","Accipitriformes","Accipitridae","Circus macrourus",29
"Aves","Accipitriformes","Accipitridae","Circus pygargus",1686
"Aves","Accipitriformes","Accipitridae","Clanga clanga",26
"Aves","Accipitriformes","Accipitridae","Clanga pomarina",426
"Aves","Accipitriformes","Accipitridae","Elanus caeruleus",224
"Aves","Accipitriformes","Accipitridae","Gypaetus barbatus",74
"Aves","Accipitriformes","Accipitridae","Gyps fulvus",376
"Aves","Accipitriformes","Accipitridae","Haliaeetus albicilla",1177
"Aves","Accipitriformes","Accipitridae","Hieraaetus pennatus",825
"Aves","Accipitriformes","Accipitridae","Milvus migrans",1977
"Aves","Accipitriformes","Accipitridae","Milvus milvus",1323
"Aves","Accipitriformes","Accipitridae","Neophron percnopterus",451
"Aves","Accipitriformes","Accipitridae","Parabuteo unicinctus",8
"Aves","Accipitriformes","Accipitridae","Pernis apivorus",3039
"Aves","Accipitriformes","Pandionidae","Pandion haliaetus",1140
"Aves","Anseriformes","Anatidae","Aix galericulata",352
"Aves","Anseriformes","Anatidae","Aix sponsa",63
"Aves","Anseriformes","Anatidae","Alopochen aegyptiaca",438
"Aves","Anseriformes","Anatidae","Anas acuta",880
"Aves","Anseriformes","Anatidae","Anas bahamensis",3
"Aves","Anseriformes","Anatidae","Anas crecca",2515
"Aves","Anseriformes","Anatidae","Anas platyrhynchos",4164
"Aves","Anseriformes","Anatidae","Anas rubripes",1
"Aves","Anseriformes","Anatidae","Anser albifrons",18
"Aves","Anseriformes","Anatidae","Anser anser",1556
"Aves","Anseriformes","Anatidae","Anser brachyrhynchus",4
"Aves","Anseriformes","Anatidae","Anser caerulescens",14
"Aves","Anseriformes","Anatidae","Anser canagicus",3
"Aves","Anseriformes","Anatidae","Anser cygnoid",20
"Aves","Anseriformes","Anatidae","Anser erythropus",14
"Aves","Anseriformes","Anatidae","Anser fabalis",348
"Aves","Anseriformes","Anatidae","Anser indicus",51
"Aves","Anseriformes","Anatidae","Aythya affinis",1
"Aves","Anseriformes","Anatidae","Aythya collaris",2
"Aves","Anseriformes","Anatidae","Aythya ferina",2104
"Aves","Anseriformes","Anatidae","Aythya fuligula",2529
"Aves","Anseriformes","Anatidae","Aythya marila",291
"Aves","Anseriformes","Anatidae","Aythya nyroca",554
"Aves","Anseriformes","Anatidae","Branta canadensis",1064
"Aves","Anseriformes","Anatidae","Branta hutchinsii",14
"Aves","Anseriformes","Anatidae","Branta leucopsis",304
"Aves","Anseriformes","Anatidae","Bucephala clangula",1483
"Aves","Anseriformes","Anatidae","Cairina moschata",82
"Aves","Anseriformes","Anatidae","Callonetta leucophrys",2
"Aves","Anseriformes","Anatidae","Chloephaga picta",9
"Aves","Anseriformes","Anatidae","Clangula hyemalis",240
"Aves","Anseriformes","Anatidae","Cygnus atratus",134
"Aves","Anseriformes","Anatidae","Cygnus cygnus",967
"Aves","Anseriformes","Anatidae","Cygnus olor",2332
"Aves","Anseriformes","Anatidae","Mareca penelope",1094
"Aves","Anseriformes","Anatidae","Mareca strepera",1653
"Aves","Anseriformes","Anatidae","Marmaronetta angustirostris",21
