"Class","Order","Family","Species","Count"
"Aves","Accipitriformes","Accipitridae","Accipiter brevipes",132
"Aves","Accipitriformes","Accipitridae","Accipiter gentilis",3097
"Aves","Accipitriformes","Accipitridae","Accipiter nisus",3398
"Aves","Accipitriformes","Accipitridae","Aegypius monachus",59
"Aves","Accipitriformes","Accipitridae","Aquila adalberti",70
"Aves","Accipitriformes","Accipitridae","Aquila chrysaetos",1393
"Aves","Accipitriformes","Accipitridae","Aquila fasciata",303
"Aves","Accipitriformes","Accipitridae","Aquila heliaca",112
"Aves","Accipitriformes","Accipitridae","Buteo buteo",3297
"Aves","Accipitriformes","Accipitridae","Buteo lagopus",494
"Aves","Accipitriformes","Accipitridae","Buteo rufinus",160
"Aves","Accipitriformes","Accipitridae","Circaetus gallicus",1106
"Aves","Accipitriformes","Accipitridae","Circus aeruginosus",2180
"Aves","Accipitriformes","Accipitridae","Circus cyaneus",1280
"Aves","Accipitriformes","Accipitridae","Circus macrourus",25
"Aves","Accipitriformes","Accipitridae","Circus pygargus",1495
"Aves","Accipitriformes","Accipitridae","Clanga clanga",42
"Aves","Accipitriformes","Accipitridae","Elanus caeruleus",170
"Aves","Accipitriformes","Accipitridae","Gypaetus barbatus",68
"Aves","Accipitriformes","Accipitridae","Gyps fulvus",289
"Aves","Accipitriformes","Accipitridae","Haliaeetus albicilla",1015
"Aves","Accipitriformes","Accipitridae","Hieraaetus pennatus",656
"Aves","Accipitriformes","Accipitridae","Milvus migrans",1784
"Aves","Accipitriformes","Accipitridae","Milvus milvus",1225
"Aves","Accipitriformes","Accipitridae","Neophron percnopterus",351
"Aves","Accipitriformes","Accipitridae","Pernis apivorus",2705
"Aves","Accipitriformes","Pandionidae","Pandion haliaetus",999
"Aves","Anseriformes","Anatidae","Aix galericulata",330
"Aves","Anseriformes","Anatidae","Aix sponsa",56
"Aves","Anseriformes","Anatidae","Alopochen aegyptiaca",399
"Aves","Anseriformes","Anatidae","Anas acuta",750
"Aves","Anseriformes","Anatidae","Anas crecca",2245
"Aves","Anseriformes","Anatidae","Anas platyrhynchos",3481
"Aves","Anseriformes","Anatidae","Anser albifrons",18
"Aves","Anseriformes","Anatidae","Anser anser",1425
"Aves","Anseriformes","Anatidae","Anser brachyrhynchus",2
"Aves","Anseriformes","Anatidae","Anser erythropus",11
"Aves","Anseriformes","Anatidae","Anser fabalis",270
"Aves","Anseriformes","Anatidae","Aythya ferina",1885
"Aves","Anseriformes","Anatidae","Aythya fuligula",2284
"Aves","Anseriformes","Anatidae","Aythya marila",220
"Aves","Anseriformes","Anatidae","Aythya nyroca",456
"Aves","Anseriformes","Anatidae","Branta canadensis",977
"Aves","Anseriformes","Anatidae","Branta leucopsis",272
"Aves","Anseriformes","Anatidae","Bucephala clangula",1308
"Aves","Anseriformes","Anatidae","Clangula hyemalis",170
"Aves","Anseriformes","Anatidae","Cygnus cygnus",832
"Aves","Anseriformes","Anatidae","Cygnus olor",2116
"Aves","Anseriformes","Anatidae","Mareca penelope",921
"Aves","Anseriformes","Anatidae","Mareca strepera",1483
"Aves","Anseriformes","Anatidae","Marmaronetta angustirostris",14
"Aves","Anseriformes","Anatidae","Melanitta fusca",339
"Aves","Anseriformes","Anatidae","Melanitta nigra",319
"Aves","Anseriformes","Anatidae","Mergellus albellus",248
"Aves","Anseriformes","Anatidae","Mergus merganser",1468
"Aves","Anseriformes","Anatidae","Mergus serrator",1018
"Aves","Anseriformes","Anatidae","Netta rufina",493
"Aves","Anseriformes","Anatidae","Oxyura jamaicensis",76
"Aves","Anseriformes","Anatidae","Oxyura leucocephala",26
"Aves","Anseriformes","Anatidae","Somateria mollissima",417
"Aves","Anseriformes","Anatidae","Somateria spectabilis",1
"Aves","Anseriformes","Anatidae","Spatula clypeata",1750
"Aves","Anseriformes","Anatidae","Spatula querquedula",1887
"Aves","Anseriformes","Anatidae","Tadorna ferruginea",155
"Aves","Anseriformes","Anatidae","Tadorna tadorna",995
"Aves","Apodiformes","Apodidae","Apus apus",3412
"Aves","Apodiformes","Apodidae","Apus caffer",37
"Aves","Apodiformes","Apodidae","Apus pallidus",371
"Aves","Apodiformes","Apodidae","Tachymarptis melba",726
"Aves","Bucerotiformes","Upupidae","Upupa epops",2099
"Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus europaeus",2523
"Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus ruficollis",212
"Aves","Charadriiformes","Alcidae","Alca torda",196
"Aves","Charadriiformes","Alcidae","Cepphus grylle",292
"Aves","Charadriiformes","Alcidae","Fratercula arctica",86
"Aves","Charadriiformes","Alcidae","Uria aalge",145
"Aves","Charadriiformes","Alcidae","Uria lomvia",3
"Aves","Charadriiformes","Burhinidae","Burhinus oedicnemus",766
"Aves","Charadriiformes","Charadriidae","Charadrius alexandrinus",333
"Aves","Charadriiformes","Charadriidae","Charadrius dubius",2833
"Aves","Charadriiformes","Charadriidae","Charadrius hiaticula",1051
"Aves","Charadriiformes","Charadriidae","Eudromias morinellus",230
"Aves","Charadriiformes","Charadriidae","Pluvialis apricaria",917
"Aves","Charadriiformes","Charadriidae","Vanellus leucurus",1736
"Aves","Charadriiformes","Charadriidae","Vanellus spinosus",10
"Aves","Charadriiformes","Charadriidae","Vanellus vanellus",2812
"Aves","Charadriiformes","Glareolidae","Glareola nordmanni",3
"Aves","Charadriiformes","Glareolidae","Glareola pratincola",146
"Aves","Charadriiformes","Haematopodidae","Haematopus ostralegus",1071
"Aves","Charadriiformes","Laridae","Chlidonias hybrida",335
"Aves","Charadriiformes","Laridae","Chlidonias leucopterus",147
"Aves","Charadriiformes","Laridae","Chlidonias niger",670
"Aves","Charadriiformes","Laridae","Gelochelidon nilotica",96
"Aves","Charadriiformes","Laridae","Hydrocoloeus minutus",429
"Aves","Charadriiformes","Laridae","Hydroprogne caspia",122
"Aves","Charadriiformes","Laridae","Larus argentatus",1262
"Aves","Charadriiformes","Laridae","Larus audouinii",14
"Aves","Charadriiformes","Laridae","Larus canus",1393
"Aves","Charadriiformes","Laridae","Larus fuscus",832
"Aves","Charadriiformes","Laridae","Larus genei",32
"Aves","Charadriiformes","Laridae","Larus marinus",659
