"Class","Order","Family","Species","Count"
"Aves","Accipitriformes","Accipitridae","Accipiter badius",7
"Aves","Accipitriformes","Accipitridae","Accipiter brevipes",2935
"Aves","Accipitriformes","Accipitridae","Accipiter gentilis",6073
"Aves","Accipitriformes","Accipitridae","Accipiter nisus",6480
"Aves","Accipitriformes","Accipitridae","Aegypius monachus",2746
"Aves","Accipitriformes","Accipitridae","Aquila adalberti",2678
"Aves","Accipitriformes","Accipitridae","Aquila chrysaetos",4099
"Aves","Accipitriformes","Accipitridae","Aquila fasciata",2872
"Aves","Accipitriformes","Accipitridae","Aquila heliaca",2982
"Aves","Accipitriformes","Accipitridae","Aquila nipalensis",2729
"Aves","Accipitriformes","Accipitridae","Aquila pomarina",3485
"Aves","Accipitriformes","Accipitridae","Buteo buteo",6921
"Aves","Accipitriformes","Accipitridae","Buteo lagopus",3045
"Aves","Accipitriformes","Accipitridae","Buteo rufinus",3452
"Aves","Accipitriformes","Accipitridae","Circaetus gallicus",4026
"Aves","Accipitriformes","Accipitridae","Circus aeruginosus",5615
"Aves","Accipitriformes","Accipitridae","Circus cyaneus",4029
"Aves","Accipitriformes","Accipitridae","Circus macrourus",2777
"Aves","Accipitriformes","Accipitridae","Circus pygargus",4750
"Aves","Accipitriformes","Accipitridae","Clanga clanga",2878
"Aves","Accipitriformes","Accipitridae","Elanus caeruleus",2764
"Aves","Accipitriformes","Accipitridae","Gypaetus barbatus",2793
"Aves","Accipitriformes","Accipitridae","Gyps fulvus",2979
"Aves","Accipitriformes","Accipitridae","Haliaeetus albicilla",4418
"Aves","Accipitriformes","Accipitridae","Hieraaetus pennatus",3664
"Aves","Accipitriformes","Accipitridae","Milvus migrans",5324
"Aves","Accipitriformes","Accipitridae","Milvus milvus",3418
"Aves","Accipitriformes","Accipitridae","Neophron percnopterus",3070
"Aves","Accipitriformes","Accipitridae","Parabuteo unicinctus",8
"Aves","Accipitriformes","Accipitridae","Pernis apivorus",5455
"Aves","Accipitriformes","Pandionidae","Pandion haliaetus",3696
"Aves","Anseriformes","Anatidae","Aix galericulata",2907
"Aves","Anseriformes","Anatidae","Aix sponsa",2657
"Aves","Anseriformes","Anatidae","Alopochen aegyptiaca",3016
"Aves","Anseriformes","Anatidae","Anas acuta",3478
"Aves","Anseriformes","Anatidae","Anas bahamensis",3
"Aves","Anseriformes","Anatidae","Anas crecca",5167
"Aves","Anseriformes","Anatidae","Anas platyrhynchos",7116
"Aves","Anseriformes","Anatidae","Anas rubripes",1
"Aves","Anseriformes","Anatidae","Anser albifrons",2670
"Aves","Anseriformes","Anatidae","Anser anser",4109
"Aves","Anseriformes","Anatidae","Anser brachyrhynchus",2684
"Aves","Anseriformes","Anatidae","Anser caerulescens",16
"Aves","Anseriformes","Anatidae","Anser canagicus",3
"Aves","Anseriformes","Anatidae","Anser cygnoides",20
"Aves","Anseriformes","Anatidae","Anser erythropus",2660
"Aves","Anseriformes","Anatidae","Anser fabalis",2990
"Aves","Anseriformes","Anatidae","Anser indicus",51
"Aves","Anseriformes","Anatidae","Aythya affinis",1
"Aves","Anseriformes","Anatidae","Aythya collaris",2
"Aves","Anseriformes","Anatidae","Aythya ferina",4634
"Aves","Anseriformes","Anatidae","Aythya fuligula",4899
"Aves","Anseriformes","Anatidae","Aythya marila",2996
"Aves","Anseriformes","Anatidae","Aythya nyroca",3074
"Aves","Anseriformes","Anatidae","Branta bernicla",2647
"Aves","Anseriformes","Anatidae","Branta canadensis",3317
"Aves","Anseriformes","Anatidae","Branta hutchinsii",14
"Aves","Anseriformes","Anatidae","Branta leucopsis",3005
"Aves","Anseriformes","Anatidae","Bucephala clangula",4197
"Aves","Anseriformes","Anatidae","Bucephala islandica",2607
"Aves","Anseriformes","Anatidae","Cairina moschata",95
"Aves","Anseriformes","Anatidae","Callonetta leucophrys",2
