"Class","Order","Family","Species","Count"
"Mammalia","Artiodactyla","Bovidae","Addax nasomaculatus",1
"Mammalia","Artiodactyla","Bovidae","Aepyceros melampus",1
"Mammalia","Artiodactyla","Bovidae","Ammotragus lervia",5322
"Mammalia","Artiodactyla","Bovidae","Bison bison",7
"Mammalia","Artiodactyla","Bovidae","Bison bonasus",1041
"Mammalia","Artiodactyla","Bovidae","Boselaphus tragocamelus",4
"Mammalia","Artiodactyla","Bovidae","Budorcas taxicolor",2
"Mammalia","Artiodactyla","Bovidae","Capra caucasica",2
"Mammalia","Artiodactyla","Bovidae","Capra falconeri",1
"Mammalia","Artiodactyla","Bovidae","Capra ibex",52113
"Mammalia","Artiodactyla","Bovidae","Capra pyrenaica",82210
"Mammalia","Artiodactyla","Bovidae","Cephalophus callipygus",1
"Mammalia","Artiodactyla","Bovidae","Cephalophus silvicultor",1
"Mammalia","Artiodactyla","Bovidae","Gazella cuvieri",262
"Mammalia","Artiodactyla","Bovidae","Gazella dorcas",390
"Mammalia","Artiodactyla","Bovidae","Hippotragus niger",1
"Mammalia","Artiodactyla","Bovidae","Madoqua kirkii",1
"Mammalia","Artiodactyla","Bovidae","Nanger dama",345
"Mammalia","Artiodactyla","Bovidae","Oryx gazella",1
"Mammalia","Artiodactyla","Bovidae","Ovibos moschatus",4912
"Mammalia","Artiodactyla","Bovidae","Ovis ammon",695
"Mammalia","Artiodactyla","Bovidae","Ovis gmelini",2979
"Mammalia","Artiodactyla","Bovidae","Pelea capreolus",6
"Mammalia","Artiodactyla","Bovidae","Redunca fulvorufula",1
"Mammalia","Artiodactyla","Bovidae","Rupicapra pyrenaica",30667
"Mammalia","Artiodactyla","Bovidae","Rupicapra rupicapra",79643
"Mammalia","Artiodactyla","Bovidae","Tragelaphus spekii",2
"Mammalia","Artiodactyla","Bovidae","Tragelaphus strepsiceros",1
"Mammalia","Artiodactyla","Cervidae","Alces alces",75380
"Mammalia","Artiodactyla","Cervidae","Axis axis",82
"Mammalia","Artiodactyla","Cervidae","Axis porcinus",1
"Mammalia","Artiodactyla","Cervidae","Capreolus capreolus",1091310
"Mammalia","Artiodactyla","Cervidae","Cervus elaphus",333481
"Mammalia","Artiodactyla","Cervidae","Cervus nippon",3788
"Mammalia","Artiodactyla","Cervidae","Dama dama",114001
"Mammalia","Artiodactyla","Cervidae","Elaphurus davidianus",13
