"Class","Order","Family","Species","Count"
"Mammalia","Artiodactyla","Bovidae","Bison bonasus",1041
"Mammalia","Artiodactyla","Bovidae","Capra ibex",52113
"Mammalia","Artiodactyla","Bovidae","Capra pyrenaica",82210
"Mammalia","Artiodactyla","Bovidae","Rupicapra pyrenaica",30667
"Mammalia","Artiodactyla","Bovidae","Rupicapra rupicapra",79643
"Mammalia","Artiodactyla","Cervidae","Alces alces",75380
"Mammalia","Artiodactyla","Cervidae","Capreolus capreolus",1091310
"Mammalia","Artiodactyla","Cervidae","Cervus elaphus",333481
"Mammalia","Artiodactyla","Cervidae","Dama dama",114001
"Mammalia","Artiodactyla","Cervidae","Rangifer tarandus",23258
"Mammalia","Artiodactyla","Suidae","Sus scrofa",702638
"Mammalia","Carnivora","Canidae","Canis aureus",1480
"Mammalia","Carnivora","Canidae","Canis lupus",55896
"Mammalia","Carnivora","Canidae","Vulpes corsac",1
"Mammalia","Carnivora","Canidae","Vulpes lagopus",951
"Mammalia","Carnivora","Canidae","Vulpes vulpes",809399
"Mammalia","Carnivora","Felidae","Felis silvestris",22910
"Mammalia","Carnivora","Felidae","Lynx lynx",29993
"Mammalia","Carnivora","Felidae","Lynx pardinus",295
"Mammalia","Carnivora","Herpestidae","Herpestes ichneumon",3214
"Mammalia","Carnivora","Mustelidae","Gulo gulo",5467
"Mammalia","Carnivora","Mustelidae","Lutra lutra",137054
"Mammalia","Carnivora","Mustelidae","Martes foina",82707
"Mammalia","Carnivora","Mustelidae","Martes martes",62999
"Mammalia","Carnivora","Mustelidae","Martes zibellina",12
"Mammalia","Carnivora","Mustelidae","Meles meles",205082
"Mammalia","Carnivora","Mustelidae","Mustela erminea",59677
"Mammalia","Carnivora","Mustelidae","Mustela eversmanii",61
"Mammalia","Carnivora","Mustelidae","Mustela lutreola",669
"Mammalia","Carnivora","Mustelidae","Mustela nivalis",45263
"Mammalia","Carnivora","Mustelidae","Mustela putorius",42419
"Mammalia","Carnivora","Mustelidae","Vormela peregusna",75
"Mammalia","Carnivora","Ursidae","Ursus arctos",6684
"Mammalia","Carnivora","Ursidae","Ursus maritimus",7
"Mammalia","Carnivora","Viverridae","Genetta genetta",14021
"Mammalia","Chiroptera","Miniopteridae","Miniopterus schreibersii",18576
"Mammalia","Chiroptera","Molossidae","Tadarida teniotis",9402
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus blasii",13
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus euryale",6142
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus ferrumequinum",40527
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus hipposideros",72214
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus mehelyi",200
"Mammalia","Chiroptera","Vespertilionidae","Barbastella barbastellus",67906
"Mammalia","Chiroptera","Vespertilionidae","Eptesicus nilssonii",55375
"Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus",114549
"Mammalia","Chiroptera","Vespertilionidae","Hypsugo savii",22009
"Mammalia","Chiroptera","Vespertilionidae","Myotis alcathoe",3133
"Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii",18955
"Mammalia","Chiroptera","Vespertilionidae","Myotis blythii",4336
"Mammalia","Chiroptera","Vespertilionidae","Myotis brandtii",6530
"Mammalia","Chiroptera","Vespertilionidae","Myotis capaccinii",2469
"Mammalia","Chiroptera","Vespertilionidae","Myotis dasycneme",2786
"Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii",94997
"Mammalia","Chiroptera","Vespertilionidae","Myotis davidii",1
"Mammalia","Chiroptera","Vespertilionidae","Myotis emarginatus",24072
"Mammalia","Chiroptera","Vespertilionidae","Myotis myotis",40268
"Mammalia","Chiroptera","Vespertilionidae","Myotis mystacinus",22853
"Mammalia","Chiroptera","Vespertilionidae","Myotis nattereri",39659
"Mammalia","Chiroptera","Vespertilionidae","Nyctalus lasiopterus",6003
"Mammalia","Chiroptera","Vespertilionidae","Nyctalus leisleri",261636
"Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula",205979
"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus kuhlii",411307
"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus nathusii",102121
"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus",2444139
"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pygmaeus",326456
"Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus",52228
"Mammalia","Chiroptera","Vespertilionidae","Plecotus austriacus",22665
"Mammalia","Chiroptera","Vespertilionidae","Plecotus kolombatovici",6
"Mammalia","Chiroptera","Vespertilionidae","Plecotus macrobullaris",663
"Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus",8810
"Mammalia","Erinaceomorpha","Erinaceidae","Atelerix algirus",177
"Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus concolor",304
"Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus europaeus",537550
"Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus roumanicus",2282
"Mammalia","Erinaceomorpha","Erinaceidae","Hemiechinus auritus",1
"Mammalia","Lagomorpha","Leporidae","Lepus capensis",3215
"Mammalia","Lagomorpha","Leporidae","Lepus castroviejoi",93
"Mammalia","Lagomorpha","Leporidae","Lepus corsicanus",6
"Mammalia","Lagomorpha","Leporidae","Lepus europaeus",517527
"Mammalia","Lagomorpha","Leporidae","Lepus granatensis",3542
"Mammalia","Lagomorpha","Leporidae","Lepus timidus",53120
"Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus",309117
"Mammalia","Rodentia","Castoridae","Castor fiber",184239
"Mammalia","Rodentia","Cricetidae","Alexandromys oeconomus",17425
"Mammalia","Rodentia","Cricetidae","Arvicola amphibius",50332
"Mammalia","Rodentia","Cricetidae","Arvicola sapidus",7821
"Mammalia","Rodentia","Cricetidae","Chionomys syriacus",2420
"Mammalia","Rodentia","Cricetidae","Clethrionomys glareolus",134895
"Mammalia","Rodentia","Cricetidae","Clethrionomys rutilus",4613
"Mammalia","Rodentia","Cricetidae","Craseomys rufocanus",7047
"Mammalia","Rodentia","Cricetidae","Cricetus cricetus",3943
"Mammalia","Rodentia","Cricetidae","Dinaromys bogdanovi",57
"Mammalia","Rodentia","Cricetidae","Lagurus lagurus",346
"Mammalia","Rodentia","Cricetidae","Lemmus lemmus",15472
"Mammalia","Rodentia","Cricetidae","Mesocricetus newtoni",131
"Mammalia","Rodentia","Cricetidae","Microtus agrestis",44950
"Mammalia","Rodentia","Cricetidae","Microtus arvalis",34957
"Mammalia","Rodentia","Cricetidae","Microtus brachycercus",3
"Mammalia","Rodentia","Cricetidae","Microtus cabrerae",692
"Mammalia","Rodentia","Cricetidae","Microtus duodecimcostatus",7892
"Mammalia","Rodentia","Cricetidae","Microtus gerbii",1151
