"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT","ccv","log_ccv"
"25SFD3",NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SLH1",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SLH4",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SMH2",NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SMH4",NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SMJ2",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SPF3",NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26SPG1",NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26WPT1",NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27RYL3",NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27RYM3",NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VVL1",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VVL3",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VWL1",NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VWL2",NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VWL3",NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VWL4",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VXL1",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27VXL2",NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WUM3",NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WUN3",NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WUP4",NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVM1",NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVM3",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVM4",NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVN1",NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVN2",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVN3",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVN4",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVP1",NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVP2",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WVP4",NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWM1",NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWM2",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWM3",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWM4",NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWN1",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWN2",NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWN3",NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWN4",NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWP2",NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WWP4",NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXM1",NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXM2",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXN1",NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXN2",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXP1",NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27WXP2",NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RBR1",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RBS1",NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RBS4",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RCR1",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RCS2",NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RCS3",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RCS4",NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RDR1",NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RDR3",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RDS2",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RDS4",NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RDU2",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RES2",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RES3",NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RES4",NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RFS1",NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RFS2",NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RFT1",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RFT2",NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28RFT4",NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28SCA3",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28SCB2",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28SCB3",NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
