"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT","ccv","log_ccv"
"29SMC3",114,114,119,119,5,49,29,707,10,19,658,0.499786315820156,8.19816621678899,1.99626274520377
"29SMD3",109,109,99,99,-10,4,21,127,3,18,123,0.457900857025722,32.821538751436,2.98526608985829
"29SMD4",123,123,110,110,-13,23,23,350,5,18,327,0.484163014234695,13.8404559603779,2.32311175459638
"29SNB1",107,107,112,112,5,7,15,74,5,10,67,0.500473533977162,15.8490135180162,2.59022107253182
"29SNB2",126,126,126,126,0,52,24,153,10,14,101,0.504726770545254,9.24606737207382,1.94488929052545
"29SNB3",111,111,123,123,12,1,21,205,1,20,204,0.498324574290456,24.0238251025504,2.95665275760072
"29SNC2",114,114,100,100,-14,13,14,79,7,7,66,0.486496907693368,23.2992041650111,2.68044706595678
"29SNC3",120,120,125,125,5,216,18,209,9,9,-7,0.464583263397217,19.2888203821594,2.69961919025793
"29SNC4",118,118,137,137,19,10,15,97,3,12,87,0.484194949157256,45.9317042240311,3.36292625698914
"29SND1",116,116,126,126,10,27,27,327,6,21,300,0.453639042841924,11.2317142564103,2.03845844473594
"29SND2",123,123,130,130,7,39,17,169,7,10,130,0.474594122403628,39.9874531318864,3.28802380831468
"29SND3",103,103,107,107,4,2,20,198,2,18,196,0.448214208924925,13.9641864908635,2.38071532548374
"29SND4",121,121,114,114,-7,9,22,168,4,18,159,0.460349045790635,32.0767187551577,3.24020935972302
"29SNE2",113,113,107,107,-6,9,24,131,5,19,122,0.438675580705915,19.7214182371047,2.52613029507076
"29SNE4",104,104,96,96,-8,NA,24,271,NA,NA,NA,0.431466406041926,5.52448172376342,1.428644605861
"29SPB2",130,130,127,127,-3,28,24,1793,1,23,1765,0.500657927721067,12.8204190148016,2.25567537365516
"29SPB3",126,126,107,107,-19,6,21,8081,1,20,8075,0.483408282986648,11.6617067162364,2.0381931957062
"29SPB4",131,131,140,140,9,1,19,4215,1,18,4214,0.497145881652832,18.5318582407493,2.61712307132451
"29SPC1",117,117,127,127,10,54,16,175,5,11,121,0.466579801506466,17.9594256002269,2.74574733005822
"29SPC4",131,131,127,127,-4,8,14,4864,5,9,4856,0.470995667692903,12.9006307653511,2.15783048659809
"29SPD2",113,113,113,113,0,NA,23,520,NA,NA,NA,0.461288271386639,17.2556722362341,2.65001969810468
"29SPD4",143,143,150,150,7,3,21,2499,2,19,2496,0.444351305097542,23.6900531616876,2.65568079688559
"29SPE2",120,120,120,120,0,44,23,216,5,18,172,0.425653594771242,8.01154459932258,1.67665039912728
"29SPE4",147,147,135,135,-12,3,20,2723,3,17,2720,0.421411924892002,12.0268784898719,2.11331490413254
"29SQA1",157,157,168,168,11,157,25,5541,16,9,5384,0.483845108433774,36.0570888717263,3.34068837903427
"29SQA2",128,128,122,122,-6,1,18,981,1,17,980,0.495694478352865,27.2834520813144,3.18379091758499
"29SQB1",133,133,131,131,-2,3,28,12469,1,27,12466,0.479263335159144,7.69207556703168,1.87132533727557
"29SQC2",117,117,123,123,6,NA,20,7209,NA,NA,NA,0.471501839989647,12.8827471648636,1.94668028048647
"29SQD1",137,137,139,139,2,1,17,4343,1,16,4342,0.418725604899445,18.4591725935769,2.44134543067604
"29SQD2",138,138,153,153,15,1,16,3644,1,15,3643,0.422061699663283,17.7259641289715,2.55687371000456
"29SQE2",140,140,153,153,13,130,25,5834,6,19,5704,0.421981524337422,12.2642542045672,2.16984833497554
"29TMH3",73,73,74,74,1,NA,14,1409,NA,NA,NA,0.477560818195343,9.90632223776307,1.94014011835731
"29TNF2",94,94,108,108,14,3,23,225,3,20,222,0.451781411101853,10.5540985443119,2.20062186625048
