cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,deltaSR_birds,occ_m_b2000,SR_m_b2000,occ_m_a2015,SR_m_a2015,deltaSR_mammals,delta_occ_m,deltaT,ccv,log_ccv
29SMC3,113,113,119,119,6,49,29,707,10,19,658,0.499786315820156,8.19816621678899,1.99626274520377
29SMD3,109,109,99,99,-10,4,21,127,3,18,123,0.457900857025722,32.821538751436,2.98526608985829
29SMD4,123,123,110,110,-13,23,23,350,5,18,327,0.484163014234695,13.8404559603779,2.32311175459638
29SME4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0.447916030883789,NA,NA
29SNA1,NA,NA,NA,NA,NA,NA,11,26,NA,NA,NA,0.525693893432617,NA,NA
29SNA3,NA,NA,NA,NA,NA,NA,12,33,NA,NA,NA,0.512238740921021,12.6938325634445,2.54090076272319
29SNB1,107,107,112,112,5,7,15,74,5,10,67,0.500473533977162,15.8490135180162,2.59022107253182
29SNB2,126,126,126,126,0,52,24,153,10,14,101,0.50472677054525406,9.24606737207382,1.94488929052545
29SNB3,111,111,123,123,12,1,21,205,1,20,204,0.498324574290456,24.0238251025504,2.95665275760072
29SNB4,NA,NA,NA,NA,NA,42,21,144,6,15,102,0.498711105730894,9.36789917556468,2.04117259297785
29SNC1,NA,NA,NA,NA,NA,14,21,197,6,15,183,0.477128892049302,36.8283040737437,3.37151032042374
29SNC2,113,113,100,100,-13,13,14,79,7,7,66,0.486496907693368,23.2992041650111,2.68044706595678
29SNC3,120,120,125,125,5,216,18,209,9,9,-7,0.464583263397217,19.2888203821594,2.69961919025793
29SNC4,118,118,137,137,19,10,15,97,3,12,87,0.484194949157256,45.9317042240311,3.36292625698914
29SND1,116,116,126,126,10,27,27,327,6,21,300,0.453639042841924,11.2317142564103,2.03845844473594
29SND2,122,122,130,130,8,39,17,169,7,10,130,0.474594122403628,39.9874531318864,3.28802380831468
29SND3,103,103,107,107,4,2,20,198,2,18,196,0.448214208924925,13.9641864908635,2.38071532548374
29SND4,121,121,114,114,-7,9,22,168,4,18,159,0.460349045790635,32.0767187551577,3.24020935972302
29SNE2,113,113,107,107,-6,9,24,131,5,19,122,0.438675580705915,19.7214182371047,2.52613029507076
29SNE4,104,104,96,96,-8,NA,24,271,NA,NA,NA,0.431466406041926,5.52448172376342,1.428644605861
29SPA1,NA,NA,NA,NA,NA,NA,9,27,NA,NA,NA,0.499583435058594,15.7401928202857,2.75621749325003
29SPB1,NA,NA,NA,NA,NA,3,21,2466,1,20,2463,0.493176645880578,21.1720269956638,2.84524346796222
29SPB2,129,129,127,127,-2,28,24,1793,1,23,1765,0.500657927721067,12.8204190148016,2.25567537365516
29SPB3,126,126,107,107,-19,6,21,8081,1,20,8075,0.483408282986648,11.6617067162364,2.0381931957062
29SPB4,130,130,140,140,10,1,19,4215,1,18,4214,0.497145881652832,18.5318582407493,2.61712307132451
29SPC1,117,117,127,127,10,54,16,175,5,11,121,0.466579801506466,17.9594256002269,2.74574733005822
29SPC2,NA,NA,NA,NA,NA,8,13,69,2,11,61,0.477140860721983,20.3960616612074,2.82175802609764
29SPC3,NA,NA,NA,NA,NA,NA,10,2331,NA,NA,NA,0.466599043313559,20.2956364748289,2.6593336020167
29SPC4,131,131,127,127,-4,8,14,4864,5,9,4856,0.470995667692903,12.9006307653511,2.15783048659809
29SPD1,NA,NA,NA,NA,NA,2,24,1624,2,22,1622,0.441639559609549,13.8387567535401,2.32374686557548
29SPD2,113,113,113,113,0,NA,23,520,NA,NA,NA,0.461288271386639,17.2556722362341,2.65001969810468
29SPD3,NA,NA,NA,NA,NA,1,13,5275,1,12,5274,0.43383342107137,18.1464957252678,2.29298717785164
29SPD4,143,143,150,150,7,3,21,2499,2,19,2496,0.444351305097542,23.6900531616876,2.65568079688559
29SPE2,120,120,120,120,0,44,23,216,5,18,172,0.425653594771242,8.01154459932258,1.67665039912728
29SPE4,147,147,135,135,-12,3,20,2723,3,17,2720,0.421411924892002,12.0268784898719,2.11331490413254
29SQA1,155,155,167,167,12,157,25,5541,16,9,5384,0.483845108433774,36.0570888717263,3.34068837903427
29SQA2,128,128,122,122,-6,1,18,981,1,17,980,0.495694478352865,27.2834520813144,3.18379091758499
29SQB1,133,133,131,131,-2,3,28,12469,1,27,12466,0.479263335159144,7.69207556703168,1.87132533727557
29SQB2,NA,NA,NA,NA,NA,43,30,12749,15,15,12706,0.478993018468221,26.1994108772474,2.94926619312921
29SQC1,NA,NA,NA,NA,NA,NA,12,2771,NA,NA,NA,0.460292769767143,15.6420948507323,2.354381574329
29SQC2,117,117,123,123,6,NA,20,7209,NA,NA,NA,0.471501839989647,12.8827471648636,1.94668028048647
29SQD1,137,137,139,139,2,1,17,4343,1,16,4342,0.418725604899445,18.4591725935769,2.44134543067604
29SQD2,138,138,153,153,15,1,16,3644,1,15,3643,0.422061699663283,17.7259641289715,2.55687371000456
29SQE2,140,140,153,153,13,130,25,5834,6,19,5704,0.421981524337422,12.2642542045672,2.16984833497554
29TMH3,73,73,74,74,1,NA,14,1409,NA,NA,NA,0.477560818195343,9.90632223776307,1.94014011835731
29TMH4,NA,NA,NA,NA,NA,NA,12,755,NA,NA,NA,0.482891400655111,5.78040839642393,1.43332007046097
29TNE1,NA,NA,NA,NA,NA,2,29,364,1,28,362,0.447462099248713,16.2377106618746,2.67677718479107
29TNE3,NA,NA,NA,NA,NA,19,25,93,6,19,74,0.432781528952895,6.87764962962764,1.65642831979339
29TNF1,NA,NA,NA,NA,NA,14,18,258,4,14,244,0.458865684933133,14.8803870206886,2.40763569195641
29TNF2,94,94,108,108,14,3,23,225,3,20,222,0.451781411101853,10.5540985443119,2.20062186625048
29TNF3,87,87,102,102,15,10,30,196,5,25,186,0.460277782786976,6.60523568332654,1.33825701448452
29TNF4,96,96,94,94,-2,5,22,216,4,18,211,0.442587871940768,4.44640809193859,1.18707609680383
29TNG1,109,109,116,116,7,NA,25,4786,NA,NA,NA,0.486496445036283,4.85283869282128,1.39940420587068
29TNG2,110,110,99,99,-11,24,22,744,5,17,720,0.47942277251697,7.06497487405405,1.57286806309102
29TNG3,117,117,119,119,2,1,25,15391,1,24,15390,0.498682766575967,3.84576062903782,1.11015731137138
29TNG4,129,129,112,112,-17,17,25,2386,7,18,2369,0.477689425150553,3.68017857592469,1.01439546884512
29TNH1,102,102,104,104,2,5,26,4808,3,23,4803,0.466258396973481,10.5898370271615,2.01336160732123
29TNH2,107,107,118,118,11,2,21,5374,2,19,5372,0.485054318208872,6.60034972156571,1.51755759777723
29TNH3,92,92,97,97,5,NA,23,4917,NA,NA,NA,0.468318912900727,10.3191296827368,1.96586328246464
29TNH4,86,86,91,91,5,NA,17,6466,NA,NA,NA,0.482886921275746,6.06348868060865,1.6500516658683
29TNJ2,NA,NA,NA,NA,NA,NA,8,189,NA,NA,NA,0.459821428571429,6.56980284524952,1.88248382371285
