Species,natural_sp,human_dominated_sp
Acanthis flammea,0,1
Accipiter brevipes,0,1
Accipiter gentilis,0,1
Accipiter nisus,0,1
Acridotheres cristatellus,0,1
Acridotheres tristis,0,1
Acrocephalus agricola,1,0
Acrocephalus arundinaceus,1,0
Acrocephalus dumetorum,0,1
Acrocephalus melanopogon,1,0
Acrocephalus paludicola,0,1
Acrocephalus palustris,0,1
Acrocephalus schoenobaenus,0,1
Acrocephalus scirpaceus,1,0
Actitis hypoleucos,0,1
Aegithalos caudatus,0,1
Aegolius funereus,1,0
Aegypius monachus,1,0
Aix galericulata,1,0
Aix sponsa,1,0
Alauda arvensis,0,1
Alaudala rufescens,1,0
Alca torda,1,0
Alcedo atthis,0,1
Alectoris barbara,0,1
Alectoris chukar,0,1
Alectoris graeca,1,0
Alectoris rufa,0,1
Alexandrinus krameri,0,1
Alopochen aegyptiaca,1,0
Amandava amandava,0,1
Anas acuta,1,0
Anas crecca,0,1
Anas platyrhynchos,0,1
Anser albifrons,0,1
Anser anser,0,1
Anser brachyrhynchus,0,1
Anser erythropus,0,1
Anser fabalis,0,1
Anthus campestris,0,1
Anthus cervinus,0,1
Anthus petrosus,1,0
Anthus pratensis,0,1
Anthus spinoletta,0,1
Anthus trivialis,0,1
Apus apus,0,1
Apus caffer,0,1
Apus pallidus,0,1
Aquila adalberti,0,1
Aquila chrysaetos,1,0
Aquila fasciata,0,1
Aquila heliaca,0,1
Ardea alba,0,1
Ardea cinerea,0,1
Ardea purpurea,0,1
Ardeola ralloides,1,0
Arenaria interpres,1,0
Asio flammeus,0,1
Asio otus,0,1
Athene noctua,0,1
Aythya ferina,0,1
Aythya fuligula,0,1
Aythya marila,1,0
Aythya nyroca,0,1
Bombycilla garrulus,0,1
Botaurus stellaris,0,1
Branta canadensis,0,1
Branta leucopsis,0,1
Bubo bubo,0,1
Bubo scandiacus,0,1
Bubulcus ibis,0,1
Bucanetes githagineus,1,0
Bucephala clangula,0,1
Burhinus oedicnemus,0,1
Buteo buteo,0,1
Buteo lagopus,0,1
Buteo rufinus,0,1
Calandrella brachydactyla,0,1
Calcarius lapponicus,0,1
Calidris alpina,0,1
Calidris falcinellus,0,1
