"species","natural_sp","human_dominated_sp"
"Acanthis flammea",0,1
"Accipiter brevipes",0,1
"Accipiter gentilis",0,1
"Accipiter nisus",0,1
"Acridotheres cristatellus",0,1
"Acridotheres tristis",0,1
"Acrocephalus agricola",1,0
"Acrocephalus arundinaceus",1,0
"Acrocephalus dumetorum",0,1
"Acrocephalus melanopogon",1,0
"Acrocephalus paludicola",0,1
"Acrocephalus palustris",0,1
"Acrocephalus schoenobaenus",0,1
"Acrocephalus scirpaceus",1,0
"Actitis hypoleucos",0,1
"Actitis macularius",0,1
"Aegithalos caudatus",0,1
"Aegolius funereus",1,0
"Aegypius monachus",1,0
"Agapornis fischeri",0,1
"Agapornis personatus",1,0
"Aix galericulata",1,0
"Aix sponsa",1,0
"Alauda arvensis",0,1
"Alaudala rufescens",1,0
"Alca torda",1,0
"Alcedo atthis",0,1
"Alces alces",0,1
"Alectoris barbara",0,1
"Alectoris chukar",0,1
"Alectoris graeca",1,0
"Alectoris rufa",0,1
"Alexandrinus krameri",0,1
"Alexandromys oeconomus",0,1
"Alopochen aegyptiaca",1,0
"Amandava amandava",0,1
"Amazona aestiva",1,0
"Amazona oratrix",0,1
"Anas acuta",1,0
"Anas bahamensis",1,0
"Anas crecca",0,1
"Anas platyrhynchos",0,1
"Anas rubripes",1,0
"Anser albifrons",0,1
"Anser anser",0,1
"Anser brachyrhynchus",0,1
"Anser caerulescens",1,0
"Anser canagicus",1,0
"Anser cygnoid",0,1
"Anser erythropus",0,1
"Anser fabalis",0,1
"Anser indicus",0,1
"Anthus campestris",0,1
"Anthus cervinus",0,1
"Anthus petrosus",1,0
"Anthus pratensis",0,1
"Anthus spinoletta",0,1
"Anthus trivialis",0,1
"Apodemus agrarius",0,1
"Apodemus alpicola",1,0
"Apodemus epimelas",1,0
"Apodemus flavicollis",0,1
"Apodemus mystacinus",1,0
"Apodemus sylvaticus",0,1
"Apodemus uralensis",0,1
"Apus affinis",0,1
"Apus apus",0,1
"Apus caffer",0,1
"Apus pallidus",0,1
"Aquila adalberti",0,1
"Aquila chrysaetos",1,0
"Aquila fasciata",0,1
"Aquila heliaca",0,1
"Aratinga nenday",1,0
"Ardea alba",0,1
