"cell50x50","Area_F","Area_A","Area_G","Area_U","Area_O","Spcs_F","Spcs_A","Spcs_O"
"29SMC3",141.426274007473,259.276526403258,17.3759956665293,439.395739214549,1644.47975482492,19,24,61
"29SMD3",190.765948894754,418.592380531647,0.806095355025044,47.8880351651915,1843.88838975,19,22,61
"29SMD4",186.186399366294,1183.26736175379,21.8240832652885,146.817464848519,963.832324818265,24,26,65
"29SNB1",585.655133995772,800.687938513286,45.5502913998547,12.6290845065361,1057.42956349328,20,22,55
"29SNB2",561.719386441068,466.019488846771,53.9705225305607,57.6428667706081,1362.59894749617,24,25,66
"29SNB3",242.963961064489,1989.20150034625,14.0718866611448,13.444921413866,241.919018985692,19,27,57
"29SNC2",1008.98693519042,426.748947269846,0.995193552552053,24.9793581690565,1040.23601274056,19,25,63
"29SNC3",625.087229698733,1786.20094051199,3.63249225983183,23.6360797728784,63.085940918011,19,27,65
"29SNC4",491.416396969881,1871.28147502057,15.3160216880991,22.5908831916732,101.002146921714,20,28,61
"29SND1",593.636846205084,1297.25140925335,30.0943458269631,137.763237196644,443.194972572081,21,24,65
"29SND2",740.337698395278,1409.10076105695,45.6198734987291,78.7400608904766,228.129223431799,20,27,68
"29SND3",1235.59810101949,666.265195939405,4.33906353333304,39.5193148873062,555.8877793151,22,19,55
"29SND4",1326.22308051124,1063.25150062028,1.61222358243776,9.12598163639153,101.470565719354,22,24,67
"29SNE2",962.284453630947,812.240369123182,43.7483448627799,114.515970049138,569.146461033299,19,23,63
"29SNE4",1424.18840318602,360.724467187603,10.4096281810421,22.3717439301937,683.95038849933,24,18,55
"29SPB2",153.931910924899,925.283243727388,41.7769693601452,22.381230131245,1357.68184275033,22,30,66
"29SPB3",870.441859031155,556.680710531084,170.515439867148,8.34015867674488,894.118753412988,25,24,65
"29SPB4",364.039904074388,762.364047337849,61.5225447508986,53.4416152236049,1258.7341483635,22,27,69
"29SPC1",417.656286831061,1894.40619590249,36.0959647422084,16.9283804870406,135.894788683445,19,26,61
"29SPC4",464.624248273548,1396.84848971159,127.011559525908,8.40971382223729,503.21936093939,25,27,67
"29SPD2",373.919753045983,2024.99644291903,9.03625304782032,14.6092725486787,78.4900085772675,16,26,63
"29SPD4",138.542209996094,1722.67649349213,333.422861971061,44.0775409864738,261.400020670743,28,34,70
"29SPE2",831.767062295981,962.275841474357,34.9808112560616,22.2324700842224,649.757373231369,23,24,62
"29SPE4",482.741484747376,1075.40730098707,173.132066151229,5.41410921972111,763.389399980677,30,32,74
"29SQA1",64.1918878805771,1172.45298163508,33.619580124857,85.5626280902759,2011.60805829421,20,38,84
"29SQA2",33.2024781192309,306.321243092209,40.6914593866759,56.4163282979733,3005.86993871737,17,32,70
"29SQB1",926.698810860842,987.927747496348,81.7713494309272,15.414277754393,1213.69513737061,28,23,70
"29TNH4",526.079036902902,1085.39689837603,314.534817175588,3.9408905777869,571.687879120067,15,14,49
"29SQC2",363.504323678083,1992.76200670898,407.573298604104,9.61830767703046,371.678889519534,21,23,61
"29SQD1",75.7849951897702,1079.95609343404,1123.82218497452,21.0668746481285,598.374905530159,23,31,72
"29SQD2",142.729121550414,2361.62137322038,170.058323465584,24.7705116083586,282.670564945546,22,34,71
"29SQE2",105.076776812444,1495.41295033694,314.941657973563,10.9098282859453,889.011646184105,24,32,73
"29TMH3",217.530294638833,156.507568680403,96.3804796000321,4.96580891279463,2026.57746702618,10,13,43
"29TNF2",495.551404342708,279.393302918368,21.4963857770063,218.437116397921,1487.06224627667,15,17,55
"29TNF3",591.708832955696,1022.43878868896,61.6309462560905,135.811000089919,690.041689399493,20,14,45
"29TNF4",1001.64988980621,630.128839768995,55.332075383234,46.863083269721,767.652931445417,22,16,50
"29TNG1",732.32126959233,519.801113693269,152.451241780272,126.288025209978,971.054400936866,19,18,63
"29TNG2",610.017041566434,649.047464043897,69.1142998740396,114.175430159087,1059.62322644897,22,20,62
"29TNG3",610.159847405593,704.213551702146,554.470023128425,24.6504100669307,608.129696556318,21,24,63
"29TNG4",454.020450215791,455.662495156513,317.332648635109,13.1861184633712,1261.46868240001,24,23,73
"29TNH1",745.712133773678,1161.216290945,79.2554873470109,31.7658859381792,484.011788373835,16,21,58
"29TNH2",990.550531451878,753.862125732884,133.261622981124,48.3049748301377,575.937806617097,20,20,58
