"Forest","Agriculture","Urban","Grassland","Other","Area_Total","forest_sp","agriculture_sp","generalist_sp","Sp_Total"
147070000,292150000,454400000,20770000,1575750000,2490140000,28,21,61,110
172980000,395020000,49980000,810000,1579250000,2198040000,25,26,54,105
175890000,1257450000,148490000,14550000,903620000,2.5e+09,30,29,60,119
619460000,781250000,9630000,45460000,1044200000,2.5e+09,27,22,54,103
565210000,517030000,59010000,50480000,1308270000,2.5e+09,32,29,61,122
248050000,1979790000,12970000,16870000,242320000,2.5e+09,29,21,57,107
991010000,445190000,30880000,380000,1032540000,2.5e+09,26,22,62,110
597140000,1807380000,24770000,3650000,67060000,2.5e+09,30,24,62,116
469440000,1897980000,24410000,13200000,94970000,2.5e+09,30,21,63,114
597850000,1300620000,1.32e+08,30240000,439290000,2.5e+09,26,26,60,112
719640000,1444340000,76290000,30640000,229090000,2.5e+09,29,25,65,119
1221380000,659120000,39420000,4530000,575550000,2.5e+09,27,18,54,99
1340190000,1046150000,9510000,1620000,102530000,2.5e+09,30,26,61,117
922150000,855170000,126330000,48740000,547610000,2.5e+09,27,26,56,109
1456990000,358370000,18800000,12750000,653090000,2.5e+09,28,24,48,100
148730000,854620000,22350000,46710000,1427590000,2.5e+09,29,26,71,126
845680000,604670000,7430000,169460000,872760000,2.5e+09,30,29,63,122
414280000,744400000,53980000,48390000,1238950000,2.5e+09,27,28,72,127
439840000,1858190000,16840000,41220000,143910000,2.5e+09,28,22,63,113
466820000,1356390000,6910000,118840000,551040000,2.5e+09,35,26,66,127
380550000,2010980000,15190000,14730000,78550000,2.5e+09,28,22,59,109
122230000,1766120000,43360000,322040000,246250000,2.5e+09,35,30,74,139
786170000,983310000,22820000,35130000,672570000,2.5e+09,32,23,61,116
484080000,1091590000,3430000,187140000,733760000,2.5e+09,36,33,74,143
50250000,783370000,69970000,15240000,1581170000,2.5e+09,37,32,84,153
15130000,55280000,53640000,15490000,1599790000,1739330000,32,30,66,128
688730000,741300000,12970000,62060000,994940000,2.5e+09,32,31,66,129
505860000,1099070000,5040000,303590000,586440000,2.5e+09,25,22,35,82
283010000,1637100000,8120000,293570000,278200000,2.5e+09,30,26,57,113
64010000,904160000,21160000,1030490000,480180000,2.5e+09,33,30,70,133
133870000,1985160000,18900000,139840000,222230000,2.5e+09,34,29,71,134
96380000,1353660000,11820000,269900000,768240000,2.5e+09,32,33,71,136
219170000,163890000,4230000,75200000,1807420000,2269910000,21,19,29,69
462900000,289980000,242170000,16530000,1373140000,2384720000,24,16,50,90
594330000,1031150000,140410000,67260000,666850000,2.5e+09,25,19,39,83
1017820000,635340000,36020000,50430000,760390000,2.5e+09,24,23,45,92
748630000,529020000,125440000,161250000,935660000,2.5e+09,30,25,50,105
616790000,665380000,102820000,6.4e+07,1051010000,2.5e+09,28,23,57,108
602590000,694890000,23310000,546930000,632280000,2.5e+09,30,28,55,113
445530000,474580000,14300000,334390000,1231200000,2.5e+09,30,29,66,125
771040000,1126010000,17880000,78380000,506690000,2.5e+09,30,23,45,98
993420000,751790000,49430000,123650000,581710000,2.5e+09,27,28,48,103
632550000,1133560000,15680000,142520000,575690000,2.5e+09,27,21,40,88
481470000,784390000,32950000,146930000,1054260000,2.5e+09,29,25,49,103
5.1e+08,769190000,18960000,300740000,901110000,2.5e+09,37,31,73,141
367300000,1209360000,15220000,114990000,793130000,2.5e+09,26,26,46,98
401060000,9.86e+08,20730000,1.1e+08,982210000,2.5e+09,29,23,51,103
240340000,1373610000,10080000,193720000,682250000,2.5e+09,32,26,69,127
117380000,1164760000,8360000,219730000,989770000,2.5e+09,35,30,79,144
398500000,721480000,5170000,518640000,856210000,2.5e+09,31,30,61,122
363420000,1231180000,19020000,141690000,744690000,2.5e+09,34,32,64,130
286230000,1301070000,12350000,122270000,778080000,2.5e+09,30,31,69,130
443140000,1173540000,7760000,81640000,793920000,2.5e+09,30,27,46,103
932070000,543190000,27280000,174790000,822670000,2.5e+09,32,29,61,122
858840000,549600000,10720000,330700000,750140000,2.5e+09,25,22,41,88
606810000,682430000,2430000,213720000,994610000,2.5e+09,33,33,76,142
303540000,1296320000,4920000,258270000,636950000,2.5e+09,32,31,66,129
220280000,1427780000,5510000,536900000,309530000,2.5e+09,38,35,82,155
666910000,1084110000,1400000,84710000,662870000,2.5e+09,31,31,65,127
582370000,136120000,3930000,562130000,1215450000,2.5e+09,24,27,55,106
1120680000,441330000,16380000,241070000,680540000,2.5e+09,28,29,60,117
5310000,35110000,2610000,69960000,1727050000,1840040000,33,23,47,103
58030000,57560000,3030000,235730000,1982800000,2337150000,33,18,49,100
37110000,112050000,7280000,518800000,1824760000,2.5e+09,36,20,55,111
27670000,84540000,2040000,194440000,2191310000,2.5e+09,25,18,38,81
119890000,190870000,8900000,946780000,1233560000,2.5e+09,22,15,35,72
32620000,163980000,13840000,594360000,1695200000,2.5e+09,33,18,51,102
23120000,113910000,1970000,68970000,2285240000,2493210000,31,18,44,93
112360000,353130000,9530000,548640000,1476340000,2.5e+09,31,18,49,98
36010000,117270000,4400000,164190000,2113940000,2435810000,34,23,55,112
70190000,171530000,16580000,497740000,1743960000,2.5e+09,34,19,47,100
173250000,328050000,26870000,847960000,1123870000,2.5e+09,30,20,48,98
184890000,326790000,16720000,1151030000,820570000,2.5e+09,32,21,50,103
10730000,71200000,8280000,96140000,2151720000,2338070000,33,23,58,114
185500000,543890000,23630000,1571560000,175420000,2.5e+09,29,17,47,93
35240000,442590000,82760000,862160000,1077250000,2.5e+09,23,16,38,77
86140000,3.86e+08,17830000,713850000,1275780000,2479600000,29,17,45,91
39890000,143120000,70100000,1981400000,265490000,2.5e+09,29,17,40,86
134840000,317640000,20500000,1632530000,394490000,2.5e+09,29,15,38,82
121150000,308250000,18760000,1766180000,285660000,2.5e+09,28,17,41,86
28230000,101980000,30650000,1788660000,550480000,2.5e+09,30,19,47,96
106350000,117800000,21480000,2062810000,191560000,2.5e+09,28,16,40,84
33710000,159810000,90490000,2009740000,206250000,2.5e+09,32,19,49,100
41040000,161160000,59130000,453950000,1734450000,2449730000,32,23,53,108
64280000,106160000,24680000,628460000,1676420000,2.5e+09,34,21,51,106
365890000,1479860000,10260000,96060000,547930000,2.5e+09,31,32,75,138
239430000,421440000,58090000,957900000,823140000,2.5e+09,31,21,56,108
70130000,664930000,31140000,8.93e+08,840800000,2.5e+09,31,18,51,100
