Forest,Agriculture,Urban,Grassland,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
147070000,292150000,454400000,20770000,1575750000,2490140000,21,25,67,113
172980000,395020000,49980000,810000,1579250000,2198040000,20,24,65,109
175890000,1257450000,148490000,14550000,903620000,2500000000,26,28,69,123
619460000,781250000,9630000,45460000,1044200000,2500000000,23,24,60,107
565210000,517030000,59010000,50480000,1308270000,2500000000,26,27,73,126
248050000,1979790000,12970000,16870000,242320000,2500000000,21,29,61,111
991010000,445190000,30880000,380000,1032540000,2500000000,20,26,67,113
597140000,1807380000,24770000,3650000,67060000,2500000000,21,29,70,120
469440000,1897980000,24410000,13200000,94970000,2500000000,23,30,65,118
597850000,1300620000,132000000,30240000,439290000,2500000000,22,26,68,116
719640000,1444340000,76290000,30640000,229090000,2500000000,22,28,72,122
1221380000,659120000,39420000,4530000,575550000,2500000000,24,21,58,103
1340190000,1046150000,9510000,1620000,102530000,2500000000,24,26,71,121
922150000,855170000,126330000,48740000,547610000,2500000000,21,25,67,113
1456990000,358370000,18800000,12750000,653090000,2500000000,25,20,59,104
148730000,854620000,22350000,46710000,1427590000,2500000000,25,31,73,129
845680000,604670000,7430000,169460000,872760000,2500000000,28,26,72,126
414280000,744400000,53980000,48390000,1238950000,2500000000,25,29,76,130
439840000,1858190000,16840000,41220000,143910000,2500000000,22,28,67,117
466820000,1356390000,6910000,118840000,551040000,2500000000,28,29,74,131
380550000,2010980000,15190000,14730000,78550000,2500000000,18,28,67,113
122230000,1766120000,43360000,322040000,246250000,2500000000,31,36,76,143
786170000,983310000,22820000,35130000,672570000,2500000000,26,26,68,120
484080000,1091590000,3430000,187140000,733760000,2500000000,33,34,80,147
50250000,783370000,69970000,15240000,1581170000,2500000000,23,40,92,155
15130000,55280000,53640000,15490000,1599790000,1739330000,20,33,75,128
688730000,741300000,12970000,62060000,994940000,2500000000,31,25,77,133
505860000,1099070000,5040000,303590000,586440000,2500000000,16,16,54,86
283010000,1637100000,8120000,293570000,278200000,2500000000,24,25,68,117
64010000,904160000,21160000,1030490000,480180000,2500000000,26,33,78,137
133870000,1985160000,18900000,139840000,222230000,2500000000,25,36,77,138
96380000,1353660000,11820000,269900000,768240000,2500000000,27,34,79,140
219170000,163890000,4230000,75200000,1807420000,2269910000,11,16,46,73
462900000,289980000,242170000,16530000,1373140000,2384720000,16,19,59,94
594330000,1031150000,140410000,67260000,666850000,2500000000,21,16,50,87
1017820000,635340000,36020000,50430000,760390000,2500000000,24,18,54,96
748630000,529020000,125440000,161250000,935660000,2500000000,21,20,68,109
616790000,665380000,102820000,64000000,1051010000,2500000000,24,21,65,110
602590000,694890000,23310000,546930000,632280000,2500000000,23,26,68,117
445530000,474580000,14300000,334390000,1231200000,2500000000,26,25,78,129
771040000,1126010000,17880000,78380000,506690000,2500000000,17,24,61,102
993420000,751790000,49430000,123650000,581710000,2500000000,21,23,63,107
632550000,1133560000,15680000,142520000,575690000,2500000000,18,18,56,92
481470000,784390000,32950000,146930000,1054260000,2500000000,25,21,61,107
510000000,769190000,18960000,300740000,901110000,2500000000,36,31,78,145
367300000,1209360000,15220000,114990000,793130000,2500000000,24,22,56,102
401060000,986000000,20730000,110000000,982210000,2500000000,23,25,59,107
