"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
147070000,292150000,2050920000,2490140000,26,85,111
172980000,395020000,1630040000,2198040000,29,76,105
175890000,1257450000,1066660000,2.5e+09,32,88,120
619460000,781250000,1099290000,2.5e+09,25,79,104
565210000,517030000,1417760000,2.5e+09,31,92,123
248050000,1979790000,272160000,2.5e+09,27,81,108
991010000,445190000,1063800000,2.5e+09,31,80,111
597140000,1807380000,95480000,2.5e+09,29,88,117
469440000,1897980000,132580000,2.5e+09,29,86,115
597850000,1300620000,601530000,2.5e+09,32,80,112
719640000,1444340000,336020000,2.5e+09,34,86,120
1221380000,659120000,619500000,2.5e+09,25,74,99
1340190000,1046150000,113660000,2.5e+09,32,86,118
922150000,855170000,722680000,2.5e+09,31,78,109
1456990000,358370000,684640000,2.5e+09,27,74,101
148730000,854620000,1496650000,2.5e+09,32,95,127
845680000,604670000,1049650000,2.5e+09,30,93,123
414280000,744400000,1341320000,2.5e+09,36,92,128
439840000,1858190000,201970000,2.5e+09,30,83,113
466820000,1356390000,676790000,2.5e+09,33,95,128
380550000,2010980000,108470000,2.5e+09,28,81,109
122230000,1766120000,611650000,2.5e+09,36,104,140
786170000,983310000,730520000,2.5e+09,30,86,116
484080000,1091590000,924330000,2.5e+09,33,111,144
50250000,783370000,1666380000,2.5e+09,45,109,154
15130000,55280000,1668920000,1739330000,33,95,128
688730000,741300000,1069970000,2.5e+09,32,98,130
505860000,1099070000,895070000,2.5e+09,20,62,82
283010000,1637100000,579890000,2.5e+09,30,84,114
64010000,904160000,1531830000,2.5e+09,35,99,134
133870000,1985160000,380970000,2.5e+09,33,102,135
96380000,1353660000,1049960000,2.5e+09,34,103,137
219170000,163890000,1886850000,2269910000,17,52,69
462900000,289980000,1631840000,2384720000,27,63,90
594330000,1031150000,874520000,2.5e+09,20,63,83
1017820000,635340000,846840000,2.5e+09,26,66,92
748630000,529020000,1222350000,2.5e+09,27,78,105
616790000,665380000,1217830000,2.5e+09,33,75,108
602590000,694890000,1202520000,2.5e+09,27,86,113
445530000,474580000,1579890000,2.5e+09,33,92,125
771040000,1126010000,602950000,2.5e+09,23,75,98
993420000,751790000,754790000,2.5e+09,27,76,103
632550000,1133560000,733890000,2.5e+09,25,63,88
481470000,784390000,1234140000,2.5e+09,26,77,103
5.1e+08,769190000,1220810000,2.5e+09,35,107,142
367300000,1209360000,923340000,2.5e+09,27,71,98
401060000,9.86e+08,1112940000,2.5e+09,26,77,103
240340000,1373610000,886050000,2.5e+09,33,95,128
117380000,1164760000,1217860000,2.5e+09,38,107,145
398500000,721480000,1380020000,2.5e+09,29,93,122
363420000,1231180000,905400000,2.5e+09,32,99,131
286230000,1301070000,912700000,2.5e+09,33,97,130
443140000,1173540000,883320000,2.5e+09,25,78,103
932070000,543190000,1024740000,2.5e+09,31,91,122
858840000,549600000,1091560000,2.5e+09,23,65,88
606810000,682430000,1210760000,2.5e+09,34,109,143
303540000,1296320000,900140000,2.5e+09,31,99,130
220280000,1427780000,851940000,2.5e+09,38,118,156
666910000,1084110000,748980000,2.5e+09,32,95,127
582370000,136120000,1781510000,2.5e+09,27,79,106
1120680000,441330000,937990000,2.5e+09,30,87,117
5310000,35110000,1799620000,1840040000,30,73,103
58030000,57560000,2221560000,2337150000,29,71,100
37110000,112050000,2350840000,2.5e+09,34,77,111
27670000,84540000,2387790000,2.5e+09,21,60,81
119890000,190870000,2189240000,2.5e+09,23,49,72
32620000,163980000,2303400000,2.5e+09,32,70,102
23120000,113910000,2356180000,2493210000,31,62,93
112360000,353130000,2034510000,2.5e+09,29,69,98
36010000,117270000,2282530000,2435810000,34,78,112
70190000,171530000,2258280000,2.5e+09,28,72,100
173250000,328050000,1998700000,2.5e+09,29,69,98
184890000,326790000,1988320000,2.5e+09,31,72,103
10730000,71200000,2256140000,2338070000,33,81,114
185500000,543890000,1770610000,2.5e+09,29,64,93
35240000,442590000,2022170000,2.5e+09,23,54,77
86140000,3.86e+08,2007460000,2479600000,30,61,91
39890000,143120000,2316990000,2.5e+09,28,58,86
134840000,317640000,2047520000,2.5e+09,26,56,82
121150000,308250000,2070600000,2.5e+09,28,58,86
