"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
147070000,292150000,454400000,20770000,1575750000,2490140000,26,85,111
172980000,395020000,49980000,810000,1579250000,2198040000,29,76,105
175890000,1257450000,148490000,14550000,903620000,2.5e+09,32,88,120
619460000,781250000,9630000,45460000,1044200000,2.5e+09,25,79,104
565210000,517030000,59010000,50480000,1308270000,2.5e+09,31,92,123
248050000,1979790000,12970000,16870000,242320000,2.5e+09,27,81,108
991010000,445190000,30880000,380000,1032540000,2.5e+09,31,80,111
597140000,1807380000,24770000,3650000,67060000,2.5e+09,29,88,117
469440000,1897980000,24410000,13200000,94970000,2.5e+09,29,86,115
597850000,1300620000,1.32e+08,30240000,439290000,2.5e+09,32,80,112
719640000,1444340000,76290000,30640000,229090000,2.5e+09,34,86,120
1221380000,659120000,39420000,4530000,575550000,2.5e+09,25,74,99
1340190000,1046150000,9510000,1620000,102530000,2.5e+09,32,86,118
922150000,855170000,126330000,48740000,547610000,2.5e+09,31,78,109
1456990000,358370000,18800000,12750000,653090000,2.5e+09,27,74,101
148730000,854620000,22350000,46710000,1427590000,2.5e+09,32,95,127
845680000,604670000,7430000,169460000,872760000,2.5e+09,30,93,123
414280000,744400000,53980000,48390000,1238950000,2.5e+09,36,92,128
439840000,1858190000,16840000,41220000,143910000,2.5e+09,30,83,113
466820000,1356390000,6910000,118840000,551040000,2.5e+09,33,95,128
380550000,2010980000,15190000,14730000,78550000,2.5e+09,28,81,109
122230000,1766120000,43360000,322040000,246250000,2.5e+09,36,104,140
786170000,983310000,22820000,35130000,672570000,2.5e+09,30,86,116
484080000,1091590000,3430000,187140000,733760000,2.5e+09,33,111,144
50250000,783370000,69970000,15240000,1581170000,2.5e+09,45,109,154
15130000,55280000,53640000,15490000,1599790000,1739330000,33,95,128
688730000,741300000,12970000,62060000,994940000,2.5e+09,32,98,130
505860000,1099070000,5040000,303590000,586440000,2.5e+09,20,62,82
283010000,1637100000,8120000,293570000,278200000,2.5e+09,30,84,114
64010000,904160000,21160000,1030490000,480180000,2.5e+09,35,99,134
133870000,1985160000,18900000,139840000,222230000,2.5e+09,33,102,135
96380000,1353660000,11820000,269900000,768240000,2.5e+09,34,103,137
219170000,163890000,4230000,75200000,1807420000,2269910000,17,52,69
462900000,289980000,242170000,16530000,1373140000,2384720000,27,63,90
594330000,1031150000,140410000,67260000,666850000,2.5e+09,20,63,83
1017820000,635340000,36020000,50430000,760390000,2.5e+09,26,66,92
748630000,529020000,125440000,161250000,935660000,2.5e+09,27,78,105
616790000,665380000,102820000,6.4e+07,1051010000,2.5e+09,33,75,108
602590000,694890000,23310000,546930000,632280000,2.5e+09,27,86,113
445530000,474580000,14300000,334390000,1231200000,2.5e+09,33,92,125
771040000,1126010000,17880000,78380000,506690000,2.5e+09,23,75,98
993420000,751790000,49430000,123650000,581710000,2.5e+09,27,76,103
632550000,1133560000,15680000,142520000,575690000,2.5e+09,25,63,88
481470000,784390000,32950000,146930000,1054260000,2.5e+09,26,77,103
5.1e+08,769190000,18960000,300740000,901110000,2.5e+09,35,107,142
367300000,1209360000,15220000,114990000,793130000,2.5e+09,27,71,98
401060000,9.86e+08,20730000,1.1e+08,982210000,2.5e+09,26,77,103
240340000,1373610000,10080000,193720000,682250000,2.5e+09,33,95,128
117380000,1164760000,8360000,219730000,989770000,2.5e+09,38,107,145
398500000,721480000,5170000,518640000,856210000,2.5e+09,29,93,122
363420000,1231180000,19020000,141690000,744690000,2.5e+09,32,99,131
286230000,1301070000,12350000,122270000,778080000,2.5e+09,33,97,130
443140000,1173540000,7760000,81640000,793920000,2.5e+09,25,78,103
932070000,543190000,27280000,174790000,822670000,2.5e+09,31,91,122
858840000,549600000,10720000,330700000,750140000,2.5e+09,23,65,88
606810000,682430000,2430000,213720000,994610000,2.5e+09,34,109,143
303540000,1296320000,4920000,258270000,636950000,2.5e+09,31,99,130
220280000,1427780000,5510000,536900000,309530000,2.5e+09,38,118,156
666910000,1084110000,1400000,84710000,662870000,2.5e+09,32,95,127
582370000,136120000,3930000,562130000,1215450000,2.5e+09,27,79,106
1120680000,441330000,16380000,241070000,680540000,2.5e+09,30,87,117
5310000,35110000,2610000,69960000,1727050000,1840040000,30,73,103
58030000,57560000,3030000,235730000,1982800000,2337150000,29,71,100
37110000,112050000,7280000,518800000,1824760000,2.5e+09,34,77,111
27670000,84540000,2040000,194440000,2191310000,2.5e+09,21,60,81
119890000,190870000,8900000,946780000,1233560000,2.5e+09,23,49,72
32620000,163980000,13840000,594360000,1695200000,2.5e+09,32,70,102
23120000,113910000,1970000,68970000,2285240000,2493210000,31,62,93
112360000,353130000,9530000,548640000,1476340000,2.5e+09,29,69,98
36010000,117270000,4400000,164190000,2113940000,2435810000,34,78,112
70190000,171530000,16580000,497740000,1743960000,2.5e+09,28,72,100
173250000,328050000,26870000,847960000,1123870000,2.5e+09,29,69,98
184890000,326790000,16720000,1151030000,820570000,2.5e+09,31,72,103
10730000,71200000,8280000,96140000,2151720000,2338070000,33,81,114
185500000,543890000,23630000,1571560000,175420000,2.5e+09,29,64,93
35240000,442590000,82760000,862160000,1077250000,2.5e+09,23,54,77
86140000,3.86e+08,17830000,713850000,1275780000,2479600000,30,61,91
39890000,143120000,70100000,1981400000,265490000,2.5e+09,28,58,86
134840000,317640000,20500000,1632530000,394490000,2.5e+09,26,56,82
121150000,308250000,18760000,1766180000,285660000,2.5e+09,28,58,86
28230000,101980000,30650000,1788660000,550480000,2.5e+09,27,69,96
106350000,117800000,21480000,2062810000,191560000,2.5e+09,25,59,84
33710000,159810000,90490000,2009740000,206250000,2.5e+09,28,72,100
41040000,161160000,59130000,453950000,1734450000,2449730000,31,77,108
64280000,106160000,24680000,628460000,1676420000,2.5e+09,33,73,106
365890000,1479860000,10260000,96060000,547930000,2.5e+09,37,101,138
239430000,421440000,58090000,957900000,823140000,2.5e+09,32,76,108
70130000,664930000,31140000,8.93e+08,840800000,2.5e+09,29,71,100
53260000,288930000,36700000,1678860000,442250000,2.5e+09,27,65,92
25630000,615480000,380160000,943780000,534950000,2.5e+09,31,74,105
131530000,2240000,540000,246510000,2119180000,2.5e+09,32,78,110
279420000,1510530000,24200000,316700000,369150000,2.5e+09,37,114,151
177720000,1765650000,6100000,275440000,275090000,2.5e+09,27,85,112
350550000,1022860000,5640000,4.81e+08,639950000,2.5e+09,31,101,132
48390000,1637350000,19100000,575030000,220130000,2.5e+09,35,106,141
314940000,1306160000,11060000,181790000,686050000,2.5e+09,34,115,149
305690000,1269610000,10680000,44370000,869650000,2.5e+09,27,98,125
104330000,64350000,75100000,6800000,1823710000,2074290000,23,73,96
114180000,1325100000,101850000,71710000,887160000,2.5e+09,31,106,137
20010000,2390150000,19860000,20380000,49600000,2.5e+09,31,90,121
98340000,1959360000,22360000,141770000,278170000,2.5e+09,31,100,131
484810000,1199410000,11930000,25590000,778260000,2.5e+09,29,72,101
461670000,762440000,2350000,248340000,1025200000,2.5e+09,30,90,120
316930000,922020000,6240000,479020000,775790000,2.5e+09,33,100,133
182410000,1916400000,42340000,82270000,276580000,2.5e+09,34,100,134
225940000,778480000,24650000,14640000,1456290000,2.5e+09,32,97,129
