Forest,Agriculture,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
124760000,247110000,2118270000,2490140000,23,21,75,119
145150000,388660000,1664230000,2198040000,16,22,61,99
181440000,1195730000,1122830000,2500000000,22,21,67,110
477670000,685220000,1337110000,2500000000,23,27,62,112
346850000,449720000,1703430000,2500000000,25,28,73,126
167350000,1758200000,574450000,2500000000,21,30,72,123
696300000,498280000,1305420000,2500000000,22,18,60,100
200940000,1827710000,471350000,2500000000,23,28,74,125
309660000,1837590000,352750000,2500000000,23,32,82,137
507050000,1229450000,763500000,2500000000,25,26,75,126
610450000,1457110000,432440000,2500000000,24,28,78,130
690250000,557200000,1252550000,2500000000,25,16,66,107
1195260000,1019350000,285390000,2500000000,25,22,67,114
867320000,811630000,821050000,2500000000,18,24,65,107
727390000,344930000,1427680000,2500000000,25,13,58,96
122960000,800110000,1576930000,2500000000,22,28,77,127
428910000,710430000,1360660000,2500000000,23,26,58,107
268670000,836450000,1394880000,2500000000,26,32,82,140
247410000,1806490000,446100000,2500000000,24,27,76,127
380690000,1471040000,648270000,2500000000,26,25,76,127
168510000,1698900000,632590000,2500000000,18,26,69,113
123410000,1844420000,532170000,2500000000,33,31,86,150
367440000,968540000,1164020000,2500000000,25,24,71,120
267670000,1074310000,1158020000,2500000000,29,28,78,135
39860000,768310000,1691830000,2500000000,26,41,100,167
15690000,31970000,1691670000,1739330000,20,27,75,122
572660000,767310000,1160030000,2500000000,27,28,76,131
902670000,960240000,637090000,2500000000,18,17,56,91
306960000,1560060000,632980000,2500000000,27,26,70,123
83550000,927110000,1489340000,2500000000,28,31,80,139
106360000,1936770000,456870000,2500000000,30,31,92,153
105550000,1452780000,941670000,2500000000,32,31,90,153
221930000,150110000,1897870000,2269910000,15,12,47,74
378310000,291380000,1715030000,2384720000,19,24,65,108
393800000,1022140000,1084060000,2500000000,26,17,59,102
717870000,615100000,1167030000,2500000000,23,14,57,94
790910000,449450000,1259640000,2500000000,25,21,70,116
395660000,676390000,1427950000,2500000000,17,17,65,99
939720000,490910000,1069370000,2500000000,27,20,72,119
