"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_001",147070000,292150000,454400000,20770000,1575750000,2490140000,29,22,60,111,124760000,247110000,482870000,31740000,1603660000,2490140000,24,13,61,98,-5,-9,1
"1_002",172980000,395020000,49980000,810000,1579250000,2198040000,24,23,58,105,145150000,388660000,58290000,3180000,1602760000,2198040000,17,14,51,82,-7,-9,-7
"1_003",175890000,1257450000,148490000,14550000,903620000,2.5e+09,31,28,61,120,181440000,1195730000,162710000,39290000,920830000,2.5e+09,19,13,57,89,-12,-15,-4
"1_004",619460000,781250000,9630000,45460000,1044200000,2.5e+09,29,23,52,104,477670000,685220000,10270000,72720000,1254120000,2.5e+09,20,14,57,91,-9,-9,5
"1_005",565210000,517030000,59010000,50480000,1308270000,2.5e+09,33,29,61,123,346850000,449720000,70750000,50290000,1582390000,2.5e+09,24,15,65,104,-9,-14,4
"1_006",248050000,1979790000,12970000,16870000,242320000,2.5e+09,30,21,57,108,167350000,1758200000,10530000,122360000,441560000,2.5e+09,21,17,62,100,-9,-4,5
"1_007",991010000,445190000,30880000,380000,1032540000,2.5e+09,27,22,62,111,696300000,498280000,40750000,46400000,1218270000,2.5e+09,20,13,46,79,-7,-9,-16
"1_008",597140000,1807380000,24770000,3650000,67060000,2.5e+09,30,25,62,117,200940000,1827710000,27910000,304620000,138820000,2.5e+09,20,17,62,99,-10,-8,0
"1_009",469440000,1897980000,24410000,13200000,94970000,2.5e+09,30,21,64,115,309660000,1837590000,28830000,141160000,182760000,2.5e+09,24,19,67,110,-6,-2,3
"1_010",597850000,1300620000,1.32e+08,30240000,439290000,2.5e+09,26,26,60,112,507050000,1229450000,158270000,25780000,579450000,2.5e+09,22,17,63,102,-4,-9,3
"1_011",719640000,1444340000,76290000,30640000,229090000,2.5e+09,30,24,66,120,610450000,1457110000,87300000,48260000,296880000,2.5e+09,25,16,65,106,-5,-8,-1
"1_012",1221380000,659120000,39420000,4530000,575550000,2.5e+09,26,17,56,99,690250000,557200000,47570000,8320000,1196660000,2.5e+09,18,12,49,79,-8,-5,-7
"1_013",1340190000,1046150000,9510000,1620000,102530000,2.5e+09,30,25,63,118,1195260000,1019350000,10850000,29500000,245040000,2.5e+09,19,18,52,89,-11,-7,-11
"1_014",922150000,855170000,126330000,48740000,547610000,2.5e+09,27,24,58,109,867320000,811630000,143720000,24960000,652370000,2.5e+09,18,14,52,84,-9,-10,-6
"1_015",1456990000,358370000,18800000,12750000,653090000,2.5e+09,29,22,50,101,727390000,344930000,25010000,5970000,1396700000,2.5e+09,15,12,40,67,-14,-10,-10
"1_016",148730000,854620000,22350000,46710000,1427590000,2.5e+09,29,25,73,127,122960000,800110000,38120000,52260000,1486550000,2.5e+09,22,20,63,105,-7,-5,-10
"1_017",845680000,604670000,7430000,169460000,872760000,2.5e+09,30,29,64,123,428910000,710430000,11440000,174900000,1174320000,2.5e+09,16,13,53,82,-14,-16,-11
"1_018",414280000,744400000,53980000,48390000,1238950000,2.5e+09,29,27,72,128,268670000,836450000,80530000,47660000,1266690000,2.5e+09,29,19,70,118,0,-8,-2
"1_019",439840000,1858190000,16840000,41220000,143910000,2.5e+09,31,21,61,113,247410000,1806490000,18310000,165970000,261820000,2.5e+09,23,17,62,102,-8,-4,1
"1_020",466820000,1356390000,6910000,118840000,551040000,2.5e+09,35,27,66,128,380690000,1471040000,13210000,100790000,534270000,2.5e+09,22,14,65,101,-13,-13,-1
