polygon_id,Forest_t0,Agriculture_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_001,147070000,292150000,2050920000,2490140000,21,25,67,113,124760000,247110000,2118270000,2490140000,23,21,75,119,-22310000,-45040000,67350000,0,2,-4,8,6
1_002,172980000,395020000,1630040000,2198040000,20,24,65,109,145150000,388660000,1664230000,2198040000,16,22,61,99,-27830000,-6360000,34190000,0,-4,-2,-4,-10
1_003,175890000,1257450000,1066660000,2500000000,26,28,69,123,181440000,1195730000,1122830000,2500000000,22,21,67,110,5550000,-61720000,56170000,0,-4,-7,-2,-13
1_004,619460000,781250000,1099290000,2500000000,23,24,60,107,477670000,685220000,1337110000,2500000000,23,27,62,112,-141790000,-96030000,237820000,0,0,3,2,5
1_005,565210000,517030000,1417760000,2500000000,26,27,73,126,346850000,449720000,1703430000,2500000000,25,28,73,126,-218360000,-67310000,285670000,0,-1,1,0,0
1_006,248050000,1979790000,272160000,2500000000,21,29,61,111,167350000,1758200000,574450000,2500000000,21,30,72,123,-80700000,-221590000,302290000,0,0,1,11,12
1_007,991010000,445190000,1063800000,2500000000,20,26,67,113,696300000,498280000,1305420000,2500000000,22,18,60,100,-294710000,53090000,241620000,0,2,-8,-7,-13
1_008,597140000,1807380000,95480000,2500000000,21,29,70,120,200940000,1827710000,471350000,2500000000,23,28,74,125,-396200000,20330000,375870000,0,2,-1,4,5
1_009,469440000,1897980000,132580000,2500000000,23,30,65,118,309660000,1837590000,352750000,2500000000,23,32,82,137,-159780000,-60390000,220170000,0,0,2,17,19
1_010,597850000,1300620000,601530000,2500000000,22,26,68,116,507050000,1229450000,763500000,2500000000,25,26,75,126,-90800000,-71170000,161970000,0,3,0,7,10
1_011,719640000,1444340000,336020000,2500000000,22,28,72,122,610450000,1457110000,432440000,2500000000,24,28,78,130,-109190000,12770000,96420000,0,2,0,6,8
1_012,1221380000,659120000,619500000,2500000000,24,21,58,103,690250000,557200000,1252550000,2500000000,25,16,66,107,-531130000,-101920000,633050000,0,1,-5,8,4
1_013,1340190000,1046150000,113660000,2500000000,24,26,71,121,1195260000,1019350000,285390000,2500000000,25,22,67,114,-144930000,-26800000,171730000,0,1,-4,-4,-7
1_014,922150000,855170000,722680000,2500000000,21,25,67,113,867320000,811630000,821050000,2500000000,18,24,65,107,-54830000,-43540000,98370000,0,-3,-1,-2,-6
1_015,1456990000,358370000,684640000,2500000000,25,20,59,104,727390000,344930000,1427680000,2500000000,25,13,58,96,-729600000,-13440000,743040000,0,0,-7,-1,-8
1_016,148730000,854620000,1496650000,2500000000,25,31,73,129,122960000,800110000,1576930000,2500000000,22,28,77,127,-25770000,-54510000,80280000,0,-3,-3,4,-2
