polygon_id,Natural_t0,Human_dominated_t0,Area_Total_t0,natural_sp_t0,human_dominated_sp_t0,Sp_Total_t0,Natural_t1,Human_dominated_t1,Area_Total_t1,natural_sp_t1,human_dominated_sp_t1,Sp_Total_t1,delta_Natural,delta_Human_dominated,delta_Area_Total,delta_natural_sp,delta_human_dominated_sp,delta_Sp_Total
1_001,1846330000,643810000,2490140000,7,106,113,1822740000,667400000,2490140000,11,108,119,-23590000,23590000,0,4,2,6
1_002,1836300000,361740000,2198040000,11,98,109,1830020000,368020000,2198040000,8,91,99,-6280000,6280000,0,-3,-7,-10
1_003,1326200000,1173800000,2500000000,8,115,123,1353510000,1146490000,2500000000,9,101,110,27310000,-27310000,0,1,-14,-13
1_004,1764060000,735940000,2500000000,7,100,107,1805400000,694600000,2500000000,6,106,112,41340000,-41340000,0,-1,6,5
1_005,2007800000,492200000,2500000000,11,115,126,2051990000,448010000,2500000000,12,114,126,44190000,-44190000,0,1,-1,0
1_006,665710000,1834290000,2500000000,7,104,111,737370000,1762630000,2500000000,10,113,123,71660000,-71660000,0,3,9,12
1_007,2073890000,426110000,2500000000,9,104,113,1937070000,562930000,2500000000,9,91,100,-136820000,136820000,0,0,-13,-13
1_008,673510000,1826490000,2500000000,9,111,120,343800000,2156200000,2500000000,10,115,125,-329710000,329710000,0,1,4,5
1_009,588340000,1911660000,2500000000,9,109,118,501320000,1998680000,2500000000,15,122,137,-87020000,87020000,0,6,13,19
1_010,1321750000,1178250000,2500000000,11,105,116,1344410000,1155590000,2500000000,13,113,126,22660000,-22660000,0,2,8,10
1_011,1055120000,1444880000,2500000000,11,111,122,1014590000,1485410000,2500000000,14,116,130,-40530000,40530000,0,3,5,8
1_012,1990770000,509230000,2500000000,9,94,103,2038490000,461510000,2500000000,9,98,107,47720000,-47720000,0,0,4,4
1_013,1492240000,1007760000,2500000000,9,112,121,1472190000,1027810000,2500000000,11,103,114,-20050000,20050000,0,2,-9,-7
1_014,1686460000,813540000,2500000000,9,104,113,1742930000,757070000,2500000000,7,100,107,56470000,-56470000,0,-2,-4,-6
1_015,2251430000,248570000,2500000000,8,96,104,2251490000,248510000,2500000000,8,88,96,60000,-60000,0,0,-8,-8
1_016,2050080000,449920000,2500000000,11,118,129,1976680000,523320000,2500000000,13,114,127,-73400000,73400000,0,2,-4,-2
1_017,1920130000,579870000,2500000000,17,109,126,1657940000,842060000,2500000000,8,99,107,-262190000,262190000,0,-9,-10,-19
1_018,1712810000,787190000,2500000000,13,117,130,1544700000,955300000,2500000000,19,121,140,-168110000,168110000,0,6,4,10
1_019,659240000,1840760000,2500000000,10,107,117,523780000,1976220000,2500000000,13,114,127,-135460000,135460000,0,3,7,10
1_020,1169760000,1330240000,2500000000,11,120,131,967930000,1532070000,2500000000,12,115,127,-201830000,201830000,0,1,-5,-4
1_021,480830000,2019170000,2500000000,6,107,113,322380000,2177620000,2500000000,9,104,113,-158450000,158450000,0,3,-3,0
1_022,687010000,1812990000,2500000000,14,129,143,464110000,2035890000,2500000000,18,132,150,-222900000,222900000,0,4,3,7
1_023,1687980000,812020000,2500000000,10,110,120,1635650000,864350000,2500000000,11,109,120,-52330000,52330000,0,1,-1,0
1_024,1552900000,947100000,2500000000,17,130,147,1420850000,1079150000,2500000000,14,121,135,-132050000,132050000,0,-3,-9,-12
1_025,1645260000,854740000,2500000000,22,133,155,1592970000,907030000,2500000000,22,145,167,-52290000,52290000,0,0,12,12
1_026,1634500000,104830000,1739330000,13,115,128,1619130000,120200000,1739330000,14,108,122,-15370000,15370000,0,1,-7,-6
1_027,1718880000,781120000,2500000000,19,114,133,1622260000,877740000,2500000000,15,116,131,-96620000,96620000,0,-4,2,-2
1_028,1674690000,825310000,2500000000,4,82,86,1628260000,871740000,2500000000,7,84,91,-46430000,46430000,0,3,2,5
1_029,889460000,1610540000,2500000000,11,106,117,850770000,1649230000,2500000000,9,114,123,-38690000,38690000,0,-2,8,6
1_030,1582200000,917800000,2500000000,16,121,137,1100250000,1399750000,2500000000,16,123,139,-481950000,481950000,0,0,2,2
1_031,521720000,1978280000,2500000000,14,124,138,407710000,2092290000,2500000000,21,132,153,-114010000,114010000,0,7,8,15
1_032,1168470000,1331530000,2500000000,14,126,140,985640000,1514360000,2500000000,21,132,153,-182830000,182830000,0,7,6,13
1_033,2140990000,128920000,2269910000,6,67,73,2128180000,141730000,2269910000,7,67,74,-12810000,12810000,0,1,0,1
1_034,1903500000,481220000,2384720000,5,89,94,1889280000,495440000,2384720000,8,100,108,-14220000,14220000,0,3,11,14
1_035,1535960000,964040000,2500000000,9,78,87,1550210000,949790000,2500000000,8,94,102,14250000,-14250000,0,-1,16,15
1_036,2000870000,499130000,2500000000,9,87,96,2019500000,480500000,2500000000,8,86,94,18630000,-18630000,0,-1,-1,-2
1_037,1864400000,635600000,2500000000,12,97,109,1927880000,572120000,2500000000,9,107,116,63480000,-63480000,0,-3,10,7
1_038,1812670000,687330000,2500000000,9,101,110,1845970000,654030000,2500000000,8,91,99,33300000,-33300000,0,-1,-10,-11
1_039,1916030000,583970000,2500000000,10,107,117,2150780000,349220000,2500000000,10,109,119,234750000,-234750000,0,0,2,2
1_040,2123670000,376330000,2500000000,11,118,129,2208470000,291530000,2500000000,10,102,112,84800000,-84800000,0,-1,-16,-17
1_041,1731290000,768710000,2500000000,7,95,102,1598690000,901310000,2500000000,7,97,104,-132600000,132600000,0,0,2,2
1_042,1862220000,637780000,2500000000,9,98,107,1808700000,691300000,2500000000,10,108,118,-53520000,53520000,0,1,10,11
1_043,1743070000,756930000,2500000000,6,86,92,1531200000,968800000,2500000000,7,90,97,-211870000,211870000,0,1,4,5
1_044,1857680000,642320000,2500000000,9,98,107,1843890000,656110000,2500000000,13,106,119,-13790000,13790000,0,4,8,12
1_045,1949690000,550310000,2500000000,16,129,145,1912290000,587710000,2500000000,14,108,122,-37400000,37400000,0,-2,-21,-23
1_046,1590750000,909250000,2500000000,9,93,102,1592480000,907520000,2500000000,11,108,119,1730000,-1730000,0,2,15,17
1_047,1731550000,768450000,2500000000,7,100,107,1734990000,765010000,2500000000,10,98,108,3440000,-3440000,0,3,-2,1
1_048,1537500000,962500000,2500000000,14,117,131,1644700000,855300000,2500000000,14,118,132,107200000,-107200000,0,0,1,1
1_049,1660140000,839860000,2500000000,19,129,148,1608330000,891670000,2500000000,15,119,134,-51810000,51810000,0,-4,-10,-14
1_050,2054380000,445620000,2500000000,11,115,126,2130480000,369520000,2500000000,13,124,137,76100000,-76100000,0,2,9,11
1_051,1703840000,796160000,2500000000,12,122,134,1830290000,669710000,2500000000,10,114,124,126450000,-126450000,0,-2,-8,-10
1_052,1559980000,940020000,2500000000,13,121,134,1659630000,840370000,2500000000,12,115,127,99650000,-99650000,0,-1,-6,-7
1_053,1735610000,764390000,2500000000,9,98,107,1707070000,792930000,2500000000,9,89,98,-28540000,28540000,0,0,-9,-9
1_054,2200310000,299690000,2500000000,13,113,126,2177630000,322370000,2500000000,10,112,122,-22680000,22680000,0,-3,-1,-4
1_055,2185580000,314420000,2500000000,6,86,92,2102720000,397280000,2500000000,5,81,86,-82860000,82860000,0,-1,-5,-6
1_056,1853810000,646190000,2500000000,21,125,146,1775140000,724860000,2500000000,19,133,152,-78670000,78670000,0,-2,8,6
1_057,1390050000,1109950000,2500000000,17,116,133,1437240000,1062760000,2500000000,14,132,146,47190000,-47190000,0,-3,16,13
1_058,1132470000,1367530000,2500000000,21,137,158,843320000,1656680000,2500000000,14,118,132,-289150000,289150000,0,-7,-19,-26
1_059,1877780000,622220000,2500000000,14,117,131,1858980000,641020000,2500000000,14,127,141,-18800000,18800000,0,0,10,10
1_060,2110910000,389090000,2500000000,16,90,106,2191560000,308440000,2500000000,17,109,126,80650000,-80650000,0,1,19,20
1_061,2024540000,475460000,2500000000,11,110,121,2151550000,348450000,2500000000,11,117,128,127010000,-127010000,0,0,7,7
1_062,1754620000,85420000,1840040000,22,85,107,1765880000,74160000,1840040000,19,63,82,11260000,-11260000,0,-3,-22,-25
1_063,2074380000,262770000,2337150000,21,83,104,2076890000,260260000,2337150000,14,61,75,2510000,-2510000,0,-7,-22,-29
1_064,2035640000,464360000,2500000000,23,92,115,2024390000,475610000,2500000000,20,66,86,-11250000,11250000,0,-3,-26,-29
1_065,2348590000,151410000,2500000000,14,71,85,2403210000,96790000,2500000000,17,73,90,54620000,-54620000,0,3,2,5
1_066,1514510000,985490000,2500000000,13,63,76,1651870000,848130000,2500000000,13,77,90,137360000,-137360000,0,0,14,14
1_067,1965200000,534800000,2500000000,19,87,106,2054800000,445200000,2500000000,15,69,84,89600000,-89600000,0,-4,-18,-22
