"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_001",124760000,247110000,482870000,31740000,1603660000,2490140000,29,22,60,111,124760000,247110000,482870000,31740000,1603660000,2490140000,24,13,61,98,0.5,-5,-9,1
"size_1_002",145150000,388660000,58290000,3180000,1602760000,2198040000,24,23,58,105,145150000,388660000,58290000,3180000,1602760000,2198040000,17,14,51,82,0.5,-7,-9,-7
"size_1_003",181440000,1195730000,162710000,39290000,920830000,2.5e+09,31,28,61,120,181440000,1195730000,162710000,39290000,920830000,2.5e+09,19,13,57,89,0.5,-12,-15,-4
"size_1_004",477670000,685220000,10270000,72720000,1254120000,2.5e+09,29,23,52,104,477670000,685220000,10270000,72720000,1254120000,2.5e+09,20,14,57,91,0.5,-9,-9,5
"size_1_005",346850000,449720000,70750000,50290000,1582390000,2.5e+09,33,29,61,123,346850000,449720000,70750000,50290000,1582390000,2.5e+09,24,15,65,104,0.5,-9,-14,4
"size_1_006",167350000,1758200000,10530000,122360000,441560000,2.5e+09,30,21,57,108,167350000,1758200000,10530000,122360000,441560000,2.5e+09,21,17,62,100,0.5,-9,-4,5
"size_1_007",696300000,498280000,40750000,46400000,1218270000,2.5e+09,27,22,62,111,696300000,498280000,40750000,46400000,1218270000,2.5e+09,20,13,46,79,0.5,-7,-9,-16
"size_1_008",200940000,1827710000,27910000,304620000,138820000,2.5e+09,30,25,62,117,200940000,1827710000,27910000,304620000,138820000,2.5e+09,20,17,62,99,0.5,-10,-8,0
"size_1_009",309660000,1837590000,28830000,141160000,182760000,2.5e+09,30,21,64,115,309660000,1837590000,28830000,141160000,182760000,2.5e+09,24,19,67,110,0.5,-6,-2,3
"size_1_010",507050000,1229450000,158270000,25780000,579450000,2.5e+09,26,26,60,112,507050000,1229450000,158270000,25780000,579450000,2.5e+09,22,17,63,102,0.5,-4,-9,3
"size_1_011",610450000,1457110000,87300000,48260000,296880000,2.5e+09,30,24,66,120,610450000,1457110000,87300000,48260000,296880000,2.5e+09,25,16,65,106,0.5,-5,-8,-1
"size_1_012",690250000,557200000,47570000,8320000,1196660000,2.5e+09,26,17,56,99,690250000,557200000,47570000,8320000,1196660000,2.5e+09,18,12,49,79,0.5,-8,-5,-7
"size_1_013",1195260000,1019350000,10850000,29500000,245040000,2.5e+09,30,25,63,118,1195260000,1019350000,10850000,29500000,245040000,2.5e+09,19,18,52,89,0.5,-11,-7,-11
"size_1_014",867320000,811630000,143720000,24960000,652370000,2.5e+09,27,24,58,109,867320000,811630000,143720000,24960000,652370000,2.5e+09,18,14,52,84,0.5,-9,-10,-6
