cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,delta_SR
29SMC3,113,113,119,119,6
29SMD3,109,109,99,99,-10
29SMD4,123,123,110,110,-13
29SNB1,107,107,112,112,5
29SNB2,126,126,126,126,0
29SNB3,111,111,123,123,12
29SNC2,113,113,100,100,-13
29SNC3,120,120,125,125,5
29SNC4,118,118,137,137,19
29SND1,116,116,126,126,10
29SND2,122,122,130,130,8
29SND3,103,103,107,107,4
29SND4,121,121,114,114,-7
29SNE2,113,113,107,107,-6
29SNE4,104,104,96,96,-8
29SPB2,129,129,127,127,-2
29SPB3,126,126,107,107,-19
29SPB4,130,130,140,140,10
29SPC1,117,117,127,127,10
29SPC4,131,131,127,127,-4
29SPD2,113,113,113,113,0
29SPD4,143,143,150,150,7
29SPE2,120,120,120,120,0
29SPE4,147,147,135,135,-12
29SQA1,155,155,167,167,12
29SQA2,128,128,122,122,-6
29SQB1,133,133,131,131,-2
29SQC2,117,117,123,123,6
29SQD1,137,137,139,139,2
29SQD2,138,138,153,153,15
29SQE2,140,140,153,153,13
29TMH3,73,73,74,74,1
29TNF2,94,94,108,108,14
29TNF3,87,87,102,102,15
29TNF4,96,96,94,94,-2
29TNG1,109,109,116,116,7
29TNG2,110,110,99,99,-11
29TNG3,117,117,119,119,2
29TNG4,129,129,112,112,-17
29TNH1,102,102,104,104,2
29TNH2,107,107,118,118,11
29TNH3,92,92,97,97,5
29TNH4,86,86,91,91,5
29TPE1,107,107,119,119,12
29TPE3,145,145,122,122,-23
29TPF1,102,102,119,119,17
29TPF2,107,107,108,108,1
29TPF3,131,131,132,132,1
29TPF4,148,148,134,134,-14
29TPG1,126,126,137,137,11
29TPG2,134,134,124,124,-10
29TPG4,134,134,127,127,-7
29TPH2,107,107,98,98,-9
29TPH4,126,126,122,122,-4
29TPJ2,92,92,86,86,-6
29TQE1,146,146,152,152,6
29TQF1,133,133,146,146,13
29TQF2,158,158,132,132,-26
29TQG2,131,131,141,141,10
29TQH1,106,106,126,126,20
29TQH2,121,121,128,128,7
29UMA2,107,107,82,82,-25
29UMA4,104,104,75,75,-29
29UMT1,115,115,86,86,-29
29UMT2,85,85,90,90,5
29UMT4,76,76,90,90,14
29UMU3,106,106,84,84,-22
29UMV2,97,97,97,97,0
29UMV4,102,102,98,98,-4
29UNA1,116,116,85,85,-31
29UNA2,104,104,96,96,-8
29UNA3,102,102,87,87,-15
29UNA4,107,107,96,96,-11
29UNB4,118,118,106,106,-12
29UNT1,97,97,76,76,-21
29UNT2,81,81,82,82,1
29UNT3,95,95,91,91,-4
29UNU2,90,90,85,85,-5
29UNU3,86,86,87,87,1
29UNU4,90,90,79,79,-11
29UNV4,100,100,91,91,-9
29UPA2,88,88,78,78,-10
29UPA4,104,104,91,91,-13
29UPB2,112,112,104,104,-8
29UPB4,110,110,89,89,-21
29UPU3,112,112,109,109,-3
29UPU4,104,104,87,87,-17
29UPV2,96,96,85,85,-11
29UPV4,109,109,100,100,-9
29VPC3,114,114,102,102,-12
30STF3,141,141,153,153,12
30STF4,154,154,160,160,6
30STH3,115,115,119,119,4
30STJ3,135,135,155,155,20
30STJ4,144,144,150,150,6
30STK4,152,152,177,177,25
30SUF1,127,127,141,141,14
30SUF2,99,99,106,106,7
30SUF3,140,140,158,158,18
30SUG3,124,124,107,107,-17
30SUG4,134,134,144,144,10
30SUH2,104,104,113,113,9
30SUJ1,123,123,138,138,15
30SUJ2,136,136,124,124,-12
30SUK2,154,154,155,155,1
30SUK4,137,137,154,154,17
30SVF1,131,131,143,143,12
30SVF3,125,125,138,138,13
30SVG1,105,105,113,113,8
30SVG2,124,124,138,138,14
30SVG3,128,128,129,129,1
30SVG4,122,122,123,123,1
30SVH3,124,124,118,118,-6
30SVK4,123,123,145,145,22
30SWF1,136,136,135,135,-1
30SWG1,124,124,122,122,-2
30SWG2,106,106,110,110,4
30SWG3,103,103,99,99,-4
30SWH1,116,116,126,126,10
30SXG3,131,131,142,142,11
30SXH2,106,106,123,123,17
30SXH4,150,150,155,155,5
30SXJ1,113,113,109,109,-4
30SXJ3,119,119,122,122,3
30SXJ4,112,112,129,129,17
30SXK2,110,110,127,127,17
30SXK4,129,129,128,128,-1
30SYH1,120,120,137,137,17
30SYJ1,147,147,158,158,11
30SYJ2,136,136,141,141,5
30SYK2,146,146,143,143,-3
30TTK3,149,149,148,148,-1
30TTL4,157,157,144,144,-13
30TTN3,120,120,119,119,-1
30TTN4,149,149,151,151,2
30TUK1,148,148,148,148,0
30TUK3,149,149,142,142,-7
30TUL1,135,135,138,138,3
30TUL2,139,139,143,143,4
30TUL3,122,122,140,140,18
30TUL4,146,146,152,152,6
30TUM1,123,123,129,129,6
30TUM2,132,132,131,131,-1
30TUM3,140,140,136,136,-4
30TUM4,137,137,137,137,0
30TUN1,129,129,138,138,9
30TUN2,145,145,146,146,1
30TUN3,135,135,134,134,-1
30TUN4,149,149,150,150,1
30TUP2,100,100,112,112,12
30TUP4,111,111,114,114,3
30TVK1,150,150,162,162,12
30TVL1,128,128,145,145,17
30TVL2,153,153,159,159,6
30TVL3,131,131,143,143,12
30TVL4,145,145,155,155,10
30TVM1,136,136,138,138,2
30TVM2,134,134,139,139,5
30TVM3,146,146,154,154,8
30TVM4,148,148,135,135,-13
30TVN1,132,132,150,150,18
30TVN2,141,141,145,145,4
30TVN3,132,132,147,147,15
30TVN4,148,148,146,146,-2
30TVT1,113,113,105,105,-8
30TVT3,137,137,134,134,-3
30TWK1,129,129,146,146,17
30TWK3,130,130,126,126,-4
30TWL1,123,123,135,135,12
30TWL2,129,129,138,138,9
30TWL4,113,113,116,116,3
30TWM1,150,150,149,149,-1
30TWM2,143,143,144,144,1
30TWM3,166,166,154,154,-12
30TWM4,135,135,145,145,10
30TWN1,131,131,147,147,16
30TWN2,157,157,173,173,16
30TWN3,142,142,138,138,-4
30TWN4,164,164,158,158,-6
30TWS3,140,140,142,142,2
30TWT1,150,150,141,141,-9
30TWT2,122,122,126,126,4
30TWT3,141,141,127,127,-14
30TWT4,142,142,159,159,17
30TXK3,109,109,122,122,13
30TXL3,131,131,138,138,7
30TXM1,155,155,164,164,9
30TXM2,145,145,156,156,11
30TXM3,150,150,162,162,12
30TXN1,155,155,132,132,-23
30TXN2,160,160,165,165,5
30TXN3,146,146,139,139,-7
30TXN4,143,143,154,154,11
30TXP1,103,103,118,118,15
30TXP2,131,131,147,147,16
30TXP3,103,103,117,117,14
30TXP4,128,128,132,132,4
30TXQ1,108,108,121,121,13
30TXQ2,106,106,105,105,-1
30TXQ3,138,138,138,138,0
30TXR1,137,137,141,141,4
30TXR2,105,105,104,104,-1
30TXR3,144,144,157,157,13
30TXR4,127,127,149,149,22
30TXS1,140,140,125,125,-15
30TXS2,157,157,155,155,-2
30TXS3,130,130,135,135,5
30TXS4,135,135,137,137,2
30TXT1,137,137,126,126,-11
30TXT2,148,148,156,156,8
30TXT3,140,140,146,146,6
30TXT4,129,129,141,141,12
30TYK1,125,125,125,125,0
30TYL1,124,124,139,139,15
30TYM1,178,178,159,159,-19
30TYM2,142,142,135,135,-7
30TYN1,147,147,142,142,-5
30TYN2,152,152,153,153,1
30TYQ1,109,109,122,122,13
30TYQ2,106,106,115,115,9
30TYR1,133,133,134,134,1
30TYR2,119,119,118,118,-1
30TYS1,123,123,144,144,21
30TYT1,143,143,144,144,1
30TYT2,146,146,156,156,10
30UUA2,106,106,111,111,5
30UUA3,124,124,111,111,-13
30UUB4,111,111,100,100,-11
30UUC3,100,100,104,104,4
30UUC4,128,128,119,119,-9
30UUF1,97,97,101,101,4
30UUF2,95,95,94,94,-1
30UUG1,101,101,84,84,-17
30UUG3,115,115,132,132,17
30UUG4,137,137,115,115,-22
30UUU3,124,124,114,114,-10
30UUU4,126,126,122,122,-4
30UVA1,132,132,122,122,-10
30UVB1,93,93,105,105,12
30UVB2,115,115,106,106,-9
30UVB3,117,117,127,127,10
30UVB4,124,124,126,126,2
30UVC1,130,130,115,115,-15
30UVC2,125,125,132,132,7
30UVC3,116,116,124,124,8
30UVC4,122,122,125,125,3
30UVD1,140,140,154,154,14
30UVD2,125,125,119,119,-6
30UVD3,116,116,134,134,18
30UVD4,119,119,121,121,2
30UVE4,114,114,132,132,18
30UVF1,142,142,129,129,-13
30UVF3,124,124,128,128,4
30UVF4,159,159,133,133,-26
30UVG1,108,108,122,122,14
30UVG2,99,99,109,109,10
30UVG3,135,135,120,120,-15
30UVG4,124,124,115,115,-9
30UVU1,127,127,124,124,-3
30UVU2,113,113,123,123,10
30UVU3,119,119,110,110,-9
30UVU4,100,100,102,102,2
30UVV4,107,107,110,110,3
30UWB2,139,139,126,126,-13
30UWB3,118,118,122,122,4
30UWB4,138,138,146,146,8
30UWC1,112,112,117,117,5
30UWC2,124,124,141,141,17
30UWC3,110,110,117,117,7
30UWC4,113,113,132,132,19
30UWD1,116,116,117,117,1
30UWD2,121,121,124,124,3
30UWD3,131,131,137,137,6
30UWD4,120,120,135,135,15
30UWE1,130,130,148,148,18
30UWE3,119,119,133,133,14
30UWE4,122,122,133,133,11
30UWF1,121,121,121,121,0
30UWF2,123,123,141,141,18
30UWF3,130,130,150,150,20
30UWG1,128,128,143,143,15
30UWG2,121,121,109,109,-12
30UWG4,134,134,148,148,14
30UWU1,129,129,123,123,-6
30UWU2,106,106,104,104,-2
30UWU3,135,135,136,136,1
30UWU4,112,112,127,127,15
30UWV3,142,142,122,122,-20
30UXB2,138,138,138,138,0
30UXB3,113,113,128,128,15
30UXB4,115,115,135,135,20
30UXC1,110,110,113,113,3
30UXC2,108,108,126,126,18
30UXC4,122,122,130,130,8
30UXD1,123,123,132,132,9
30UXD2,112,112,119,119,7
30UXD3,105,105,118,118,13
30UXD4,118,118,126,126,8
30UXE1,116,116,135,135,19
30UXE2,132,132,138,138,6
30UXE3,149,149,131,131,-18
30UXE4,97,97,116,116,19
30UXF2,129,129,138,138,9
30UXU1,151,151,134,134,-17
30UXU2,129,129,119,119,-10
30UXU3,128,128,130,130,2
30UXU4,132,132,129,129,-3
30UXV1,144,144,147,147,3
30UXV2,135,135,128,128,-7
30UXV3,145,145,141,141,-4
30UXV4,128,128,116,116,-12
30UYU1,132,132,122,122,-10
30UYU2,125,125,128,128,3
30VUH1,117,117,108,108,-9
30VUH2,126,126,98,98,-28
30VUH3,119,119,110,110,-9
30VUJ1,96,96,112,112,16
30VUJ3,113,113,111,111,-2
30VUJ4,119,119,106,106,-13
30VUK3,101,101,118,118,17
30VUK4,102,102,117,117,15
30VVH1,126,126,122,122,-4
30VVH2,125,125,133,133,8
30VVH3,123,123,137,137,14
30VVJ1,141,141,140,140,-1
30VVJ2,132,132,128,128,-4
30VVJ3,126,126,137,137,11
30VVJ4,114,114,135,135,21
30VVK1,123,123,114,114,-9
30VVK2,113,113,130,130,17
30VVK3,114,114,129,129,15
30VVK4,109,109,88,88,-21
30VVL4,106,106,95,95,-11
31TBE3,141,141,148,148,7
31TBF3,142,142,149,149,7
31TBF4,137,137,144,144,7
31TBG3,147,147,146,146,-1
31TBG4,152,152,161,161,9
31TBH3,132,132,146,146,14
31TBH4,141,141,133,133,-8
31TBJ3,104,104,112,112,8
31TBJ4,94,94,110,110,16
31TBK3,113,113,115,115,2
31TBK4,100,100,116,116,16
31TBL3,140,140,137,137,-3
31TBL4,114,114,121,121,7
31TCF1,137,137,138,138,1
31TCF2,156,156,154,154,-2
31TCF3,123,123,128,128,5
31TCG1,152,152,146,146,-6
31TCG2,143,143,157,157,14
31TCG3,141,141,144,144,3
31TCG4,132,132,130,130,-2
31TCH1,140,140,143,143,3
31TCH2,141,141,128,128,-13
31TCH3,140,140,145,145,5
31TCH4,135,135,133,133,-2
31TCJ1,119,119,121,121,2
31TCJ2,105,105,117,117,12
31TCJ3,132,132,133,133,1
31TCJ4,116,116,137,137,21
31TCK1,119,119,128,128,9
31TCK2,104,104,119,119,15
31TCK3,133,133,124,124,-9
31TCK4,119,119,116,116,-3
31TCL1,136,136,127,127,-9
31TCL2,113,113,115,115,2
31TCL3,129,129,129,129,0
31TCL4,125,125,129,129,4
31TCM1,138,138,146,146,8
31TCM2,128,128,152,152,24
31TCM3,159,159,156,156,-3
31TCM4,134,134,129,129,-5
31TCN1,142,142,137,137,-5
31TCN2,133,133,141,141,8
31TCN3,145,145,150,150,5
31TCN4,143,143,147,147,4
31TDF1,141,141,138,138,-3
31TDG1,152,152,152,152,0
31TDG2,133,133,133,133,0
31TDG3,157,157,148,148,-9
31TDG4,140,140,134,134,-6
31TDH1,135,135,140,140,5
31TDH2,141,141,145,145,4
31TDH3,151,151,166,166,15
31TDH4,177,177,178,178,1
31TDJ1,129,129,130,130,1
31TDJ2,130,130,138,138,8
31TDJ3,130,130,134,134,4
31TDJ4,134,134,128,128,-6
31TDK1,116,116,121,121,5
31TDK2,124,124,131,131,7
31TDK3,128,128,137,137,9
31TDK4,125,125,130,130,5
31TDL1,134,134,125,125,-9
31TDL2,126,126,127,127,1
31TDL3,128,128,136,136,8
31TDL4,124,124,140,140,16
31TDM1,139,139,142,142,3
31TDM2,147,147,145,145,-2
31TDM3,140,140,143,143,3
31TDM4,147,147,133,133,-14
31TDN1,153,153,147,147,-6
31TDN2,134,134,143,143,9
31TDN3,150,150,147,147,-3
31TDN4,130,130,148,148,18
31TEG1,156,156,147,147,-9
31TEH1,146,146,156,156,10
31TEJ1,157,157,141,141,-16
31TEJ2,160,160,158,158,-2
31TEJ3,151,151,136,136,-15
31TEJ4,162,162,162,162,0
31TEK1,139,139,139,139,0
31TEK2,149,149,155,155,6
31TEK3,142,142,150,150,8
31TEK4,144,144,139,139,-5
31TEL1,147,147,147,147,0
31TEL2,144,144,144,144,0
31TEL3,156,156,172,172,16
31TEL4,139,139,158,158,19
31TEM1,145,145,143,143,-2
31TEM2,145,145,137,137,-8
31TEM3,144,144,136,136,-8
31TEM4,126,126,150,150,24
31TEN1,146,146,133,133,-13
31TEN2,140,140,145,145,5
31TEN3,129,129,135,135,6
31TEN4,133,133,127,127,-6
31TFJ1,144,144,134,134,-10
31TFJ2,165,165,164,164,-1
31TFJ3,164,164,149,149,-15
31TFJ4,148,148,166,166,18
31TFK1,148,148,148,148,0
31TFK2,149,149,144,144,-5
31TFK3,160,160,167,167,7
31TFK4,147,147,147,147,0
31TFL1,150,150,161,161,11
31TFL2,135,135,147,147,12
31TFL3,171,171,180,180,9
31TFL4,145,145,154,154,9
31TFM1,149,149,157,157,8
31TFM2,136,136,158,158,22
31TFM3,154,154,154,154,0
31TFM4,157,157,175,175,18
31TFN1,132,132,122,122,-10
31TFN2,136,136,139,139,3
31TFN3,133,133,138,138,5
31TFN4,138,138,158,158,20
31TGH1,124,124,120,120,-4
31TGJ1,165,165,151,151,-14
31TGJ2,154,154,146,146,-8
31TGK1,152,152,152,152,0
31TGK2,152,152,154,154,2
31TGL1,160,160,161,161,1
31TGL2,156,156,153,153,-3
31TGM1,154,154,161,161,7
31TGM2,150,150,165,165,15
31TGN1,139,139,146,146,7
31TGN2,140,140,157,157,17
31UCP1,132,132,120,120,-12
31UCP2,131,131,132,132,1
31UCP3,130,130,123,123,-7
31UCP4,125,125,127,127,2
31UCQ1,159,159,149,149,-10
31UCQ2,124,124,118,118,-6
31UCQ3,137,137,143,143,6
31UCQ4,122,122,122,122,0
31UCR2,108,108,111,111,3
31UCR4,139,139,127,127,-12
31UCS1,140,140,135,135,-5
31UCS2,143,143,129,129,-14
31UCS3,142,142,133,133,-9
31UCT1,137,137,134,134,-3
31UCT2,132,132,134,134,2
31UCT3,153,153,143,143,-10
31UCT4,104,104,113,113,9
31UCU2,152,152,153,153,1
31UCU3,142,142,139,139,-3
31UCU4,155,155,132,132,-23
31UDP1,127,127,144,144,17
31UDP2,135,135,141,141,6
31UDP3,140,140,151,151,11
31UDP4,138,138,139,139,1
31UDQ1,122,122,121,121,-1
31UDQ3,142,142,145,145,3
31UDR1,169,169,163,163,-6
31UDR2,139,139,127,127,-12
31UDR3,126,126,126,126,0
31UDR4,132,132,139,139,7
31UDS2,153,153,153,153,0
31UDS4,138,138,153,153,15
31UDU2,123,123,123,123,0
31UEP1,132,132,148,148,16
31UEP2,151,151,142,142,-9
31UEP3,135,135,140,140,5
31UEP4,135,135,145,145,10
31UEQ1,150,150,149,149,-1
31UEQ2,115,115,131,131,16
31UEQ3,149,149,142,142,-7
31UEQ4,142,142,138,138,-4
31UER1,142,142,148,148,6
31UER2,130,130,137,137,7
31UER3,130,130,144,144,14
31UER4,137,137,148,148,11
31UES1,149,149,163,163,14
31UES2,124,124,141,141,17
31UES3,153,153,171,171,18
31UET3,145,145,147,147,2
31UET4,154,154,170,170,16
31UFP1,149,149,158,158,9
31UFP2,130,130,137,137,7
31UFP3,137,137,133,133,-4
31UFP4,117,117,123,123,6
31UFQ1,154,154,154,154,0
31UFQ2,149,149,159,159,10
31UFQ3,149,149,152,152,3
31UFQ4,147,147,154,154,7
31UFR1,118,118,134,134,16
31UFR2,146,146,143,143,-3
31UFR3,123,123,126,126,3
31UFR4,132,132,136,136,4
31UFS1,136,136,151,151,15
31UFS3,153,153,167,167,14
31UFS4,146,146,161,161,15
31UFT1,154,154,166,166,12
31UFT2,162,162,171,171,9
31UFT3,159,159,175,175,16
31UFT4,155,155,168,168,13
31UFU1,143,143,148,148,5
31UFU2,154,154,158,158,4
31UFU3,148,148,161,161,13
31UFU4,175,175,178,178,3
31UFV4,139,139,157,157,18
31UGP1,142,142,139,139,-3
31UGP2,130,130,136,136,6
31VFE3,157,157,131,131,-26
31VFF1,156,156,134,134,-22
31VFF2,99,99,99,99,0
31VFF3,152,152,137,137,-15
31VFF4,174,174,167,167,-7
31VFG1,138,138,136,136,-2
31VFG2,147,147,137,137,-10
31VFH1,135,135,129,129,-6
31VFH2,134,134,139,139,5
31VFJ1,156,156,119,119,-37
31VFJ2,142,142,130,130,-12
31VFK2,157,157,117,117,-40
32TKN3,125,125,133,133,8
32TKP3,161,161,159,159,-2
32TKP4,144,144,136,136,-8
32TKQ3,137,137,129,129,-8
32TKQ4,144,144,152,152,8
32TKR3,146,146,149,149,3
32TKR4,126,126,150,150,24
32TLP1,141,141,137,137,-4
32TLP2,145,145,143,143,-2
32TLP3,140,140,134,134,-6
32TLP4,104,104,119,119,15
32TLQ1,138,138,130,130,-8
32TLQ2,134,134,125,125,-9
32TLQ3,157,157,152,152,-5
32TLQ4,134,134,145,145,11
32TLR1,140,140,141,141,1
32TLR2,126,126,130,130,4
32TLR3,133,133,131,131,-2
32TLR4,151,151,131,131,-20
32TLS1,174,174,172,172,-2
32TLS2,167,167,166,166,-1
32TLS3,154,154,155,155,1
32TLS4,157,157,150,150,-7
32TLT1,154,154,146,146,-8
32TLT2,156,156,142,142,-14
32TLT3,157,157,163,163,6
32TLT4,158,158,164,164,6
32TMP1,133,133,128,128,-5
32TMQ1,120,120,116,116,-4
32TMQ2,127,127,110,110,-17
32TMQ3,136,136,129,129,-7
32TMQ4,118,118,112,112,-6
32TMR1,136,136,122,122,-14
32TMR2,158,158,153,153,-5
32TMR3,147,147,153,153,6
32TMR4,127,127,130,130,3
32TMS1,133,133,145,145,12
32TMS2,140,140,136,136,-4
32TMS3,126,126,135,135,9
32TMS4,141,141,153,153,12
32TMT1,147,147,149,149,2
32TMT2,150,150,155,155,5
32TMT3,142,142,151,151,9
32TMT4,166,166,167,167,1
32TNP3,111,111,131,131,20
32TNQ1,147,147,154,154,7
32TNQ2,126,126,115,115,-11
32TNQ3,118,118,140,140,22
32TNQ4,117,117,114,114,-3
32TNR1,161,161,156,156,-5
32TNR2,124,124,123,123,-1
32TNR3,151,151,155,155,4
32TNR4,127,127,123,123,-4
32TNS1,130,130,135,135,5
32TNS2,145,145,148,148,3
32TNS3,117,117,125,125,8
32TNS4,127,127,147,147,20
32TNT1,152,152,160,160,8
32TNT2,144,144,152,152,8
32TNT3,158,158,159,159,1
32TNT4,133,133,134,134,1
32TPN1,109,109,107,107,-2
32TPN3,104,104,103,103,-1
32TPN4,119,119,120,120,1
32TPP1,132,132,157,157,25
32TPP2,121,121,128,128,7
32TPP3,120,120,129,129,9
32TPP4,113,113,107,107,-6
32TPQ1,128,128,125,125,-3
32TPQ2,123,123,135,135,12
32TPQ3,107,107,116,116,9
32TPQ4,143,143,141,141,-2
32TPR1,139,139,138,138,-1
32TPR2,141,141,138,138,-3
32TPR3,141,141,142,142,1
32TPR4,116,116,118,118,2
32TPS1,132,132,139,139,7
32TPS3,129,129,139,139,10
32TPS4,134,134,144,144,10
32TPT1,145,145,147,147,2
32TPT2,105,105,124,124,19
32TPT3,151,151,151,151,0
32TPT4,121,121,134,134,13
32TQM1,104,104,121,121,17
32TQN1,117,117,117,117,0
32TQN2,108,108,120,120,12
32TQP1,112,112,110,110,-2
32TQP2,115,115,127,127,12
32TQQ1,90,90,104,104,14
32TQQ2,140,140,133,133,-7
32TQR1,150,150,138,138,-12
32TQR2,90,90,99,99,9
32TQS1,134,134,130,130,-4
32TQS2,148,148,140,140,-8
32TQT1,129,129,152,152,23
32TQT2,119,119,111,111,-8
32ULA1,126,126,132,132,6
32ULA2,129,129,125,125,-4
32ULA3,130,130,132,132,2
32ULA4,121,121,122,122,1
32ULB1,137,137,155,155,18
32ULB2,138,138,156,156,18
