"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","delta_SR"
"25SFD3",NA,NA,NA,19,NA
"26SLH1",NA,NA,NA,22,NA
"26SLH4",NA,NA,NA,4,NA
"26SMH2",NA,NA,NA,19,NA
"26SMH4",NA,NA,NA,26,NA
"26SMJ2",NA,NA,NA,21,NA
"26SPF3",NA,NA,NA,16,NA
"26SPG1",NA,NA,NA,26,NA
"26WPT1",NA,NA,NA,44,NA
"27RYL3",NA,NA,NA,25,NA
"27RYM3",NA,NA,NA,19,NA
"27VVL1",NA,NA,NA,48,NA
"27VVL3",NA,NA,NA,55,NA
"27VWL1",NA,NA,NA,57,NA
"27VWL2",NA,NA,NA,48,NA
"27VWL3",NA,NA,NA,43,NA
"27VWL4",NA,NA,NA,50,NA
"27VXL1",NA,NA,NA,42,NA
"27VXL2",NA,NA,NA,41,NA
"27WUM3",NA,NA,NA,52,NA
"27WUN3",NA,NA,NA,46,NA
"27WUP4",NA,NA,NA,44,NA
"27WVM1",NA,NA,NA,57,NA
"27WVM3",NA,NA,NA,50,NA
"27WVM4",NA,NA,NA,68,NA
"27WVN1",NA,NA,NA,53,NA
"27WVN2",NA,NA,NA,54,NA
"27WVN3",NA,NA,NA,54,NA
"27WVN4",NA,NA,NA,49,NA
"27WVP1",NA,NA,NA,41,NA
"27WVP2",NA,NA,NA,49,NA
"27WVP4",NA,NA,NA,33,NA
"27WWM1",NA,NA,NA,29,NA
"27WWM2",NA,NA,NA,50,NA
"27WWM3",NA,NA,NA,23,NA
"27WWM4",NA,NA,NA,35,NA
"27WWN1",NA,NA,NA,49,NA
"27WWN2",NA,NA,NA,39,NA
"27WWN3",NA,NA,NA,55,NA
"27WWN4",NA,NA,NA,30,NA
"27WWP2",NA,NA,NA,38,NA
"27WWP4",NA,NA,NA,53,NA
"27WXM1",NA,NA,NA,21,NA
"27WXM2",NA,NA,NA,27,NA
"27WXN1",NA,NA,NA,54,NA
"27WXN2",NA,NA,NA,24,NA
"27WXP1",NA,NA,NA,29,NA
"27WXP2",NA,NA,NA,53,NA
"28RBR1",NA,NA,NA,37,NA
"28RBS1",NA,NA,NA,39,NA
"28RBS4",NA,NA,NA,42,NA
"28RCR1",NA,NA,NA,21,NA
"28RCS2",NA,NA,NA,57,NA
"28RCS3",NA,NA,NA,42,NA
"28RCS4",NA,NA,NA,44,NA
"28RDR1",NA,NA,NA,54,NA
"28RDR3",NA,NA,NA,44,NA
"28RDS2",NA,NA,NA,43,NA
"28RDS4",NA,NA,NA,42,NA
"28RDU2",NA,NA,NA,6,NA
"28RES2",NA,NA,NA,7,NA
"28RES3",NA,NA,NA,36,NA
"28RES4",NA,NA,NA,43,NA
"28RFS1",NA,NA,NA,39,NA
"28RFS2",NA,NA,NA,34,NA
"28RFT1",NA,NA,NA,11,NA
"28RFT2",NA,NA,NA,44,NA
"28RFT4",NA,NA,NA,17,NA
"28SCA3",NA,NA,NA,6,NA
"28SCB2",NA,NA,NA,38,NA
"28SCB3",NA,NA,NA,21,NA
"28VCR3",NA,NA,NA,41,NA
"28VDR1",NA,NA,NA,49,NA
"28WCS3",NA,NA,NA,9,NA
"28WCS4",NA,NA,NA,4,NA
"28WCT3",NA,NA,NA,53,NA
"28WCT4",NA,NA,NA,34,NA
"28WCU4",NA,NA,NA,58,NA
"28WDS1",NA,NA,NA,15,NA
"28WDS2",NA,NA,NA,35,NA
"28WDS3",NA,NA,NA,22,NA
"28WDS4",NA,NA,NA,55,NA
"28WDT1",NA,NA,NA,48,NA
"28WDT2",NA,NA,NA,25,NA
"28WDT3",NA,NA,NA,35,NA
"28WDT4",NA,NA,NA,33,NA
"28WDU1",NA,NA,NA,52,NA
"28WDU2",NA,NA,NA,63,NA
"28WDU3",NA,NA,NA,53,NA
"28WDU4",NA,NA,NA,42,NA
"28WES1",NA,NA,NA,60,NA
"28WES2",NA,NA,NA,42,NA
"28WES3",NA,NA,NA,2,NA
"28WET1",NA,NA,NA,53,NA
"28WET2",NA,NA,NA,55,NA
"28WET3",NA,NA,NA,43,NA
"28WET4",NA,NA,NA,47,NA
"28WEU1",NA,NA,NA,33,NA
"28WEU2",NA,NA,NA,32,NA
"29SMC3",114,114,119,119,5
"29SMD3",109,109,99,99,-10
"29SMD4",123,123,110,110,-13
"29SME4",NA,30,NA,2,-28
"29SNA1",NA,39,NA,61,22
"29SNA3",NA,63,NA,94,31
"29SNB1",107,107,112,112,5
"29SNB2",126,126,126,126,0
"29SNB3",111,111,123,123,12
"29SNB4",NA,127,NA,136,9
"29SNC1",NA,121,NA,137,16
"29SNC2",114,114,100,100,-14
"29SNC3",120,120,125,125,5
"29SNC4",118,118,137,137,19
"29SND1",116,116,126,126,10
"29SND2",123,123,130,130,7
"29SND3",103,103,107,107,4
"29SND4",121,121,114,114,-7
"29SNE2",113,113,107,107,-6
"29SNE4",104,104,96,96,-8
"29SPA1",NA,39,NA,43,4
"29SPB1",NA,122,NA,123,1
"29SPB2",130,130,127,127,-3
"29SPB3",126,126,107,107,-19
"29SPB4",131,131,140,140,9
"29SPC1",117,117,127,127,10
"29SPC2",NA,108,NA,138,30
"29SPC3",NA,114,NA,147,33
"29SPC4",131,131,127,127,-4
"29SPD1",NA,126,NA,120,-6
"29SPD2",113,113,113,113,0
"29SPD3",NA,106,NA,131,25
"29SPD4",143,143,150,150,7
"29SPE2",120,120,120,120,0
"29SPE4",147,147,135,135,-12
"29SQA1",157,157,168,168,11
"29SQA2",128,128,122,122,-6
"29SQB1",133,133,131,131,-2
"29SQB2",NA,150,NA,177,27
"29SQC1",NA,103,NA,146,43
"29SQC2",117,117,123,123,6
"29SQD1",137,137,139,139,2
"29SQD2",138,138,153,153,15
"29SQE2",140,140,153,153,13
"29SQV3",NA,NA,NA,98,NA
"29TMH3",73,73,74,74,1
"29TMH4",NA,69,NA,90,21
"29TNE1",NA,93,NA,112,19
"29TNE3",NA,99,NA,89,-10
"29TNF1",NA,73,NA,95,22
"29TNF2",94,94,108,108,14
"29TNF3",87,87,102,102,15
"29TNF4",96,96,94,94,-2
"29TNG1",109,109,116,116,7
"29TNG2",112,112,99,99,-13
"29TNG3",117,117,119,119,2
"29TNG4",129,129,112,112,-17
"29TNH1",102,102,104,104,2
"29TNH2",107,107,118,118,11
"29TNH3",92,92,97,97,5
"29TNH4",86,86,91,91,5
"29TNJ2",NA,45,NA,53,8
"29TNJ4",NA,90,NA,109,19
"29TPE1",107,107,119,119,12
"29TPE3",145,145,122,122,-23
"29TPF1",102,102,119,119,17
"29TPF2",107,107,108,108,1
"29TPF3",131,131,132,132,1
"29TPF4",148,148,134,134,-14
"29TPG1",126,126,137,137,11
"29TPG2",134,134,124,124,-10
"29TPG3",NA,120,NA,130,10
"29TPG4",134,134,127,127,-7
"29TPH1",NA,70,NA,101,31
"29TPH2",107,107,98,98,-9
"29TPH3",NA,66,NA,104,38
"29TPH4",126,126,122,122,-4
"29TPJ2",92,92,86,86,-6
"29TPJ4",NA,58,NA,115,57
"29TQE1",146,146,152,152,6
"29TQF1",133,133,146,146,13
"29TQF2",159,159,132,132,-27
"29TQG1",NA,103,NA,135,32
"29TQG2",131,131,141,141,10
"29TQH1",106,106,126,126,20
"29TQH2",121,121,128,128,7
"29TQJ2",NA,62,NA,105,43
"29ULT3",NA,NA,NA,25,NA
"29ULT4",NA,NA,NA,14,NA
"29UMA2",107,107,82,82,-25
"29UMA4",104,104,75,75,-29
"29UMS3",NA,NA,NA,33,NA
"29UMT1",115,115,86,86,-29
"29UMT2",85,85,90,90,5
"29UMT3",NA,87,NA,74,-13
"29UMT4",76,76,90,90,14
"29UMU1",NA,NA,NA,24,NA
"29UMU2",NA,102,NA,44,-58
"29UMU3",106,106,84,84,-22
"29UMU4",NA,76,NA,73,-3
"29UMV1",NA,110,NA,77,-33
"29UMV2",97,97,97,97,0
"29UMV3",NA,63,NA,86,23
"29UMV4",102,102,98,98,-4
"29UNA1",116,116,85,85,-31
"29UNA2",104,104,96,96,-8
"29UNA3",102,102,87,87,-15
"29UNA4",107,107,96,96,-11
"29UNB4",118,118,106,106,-12
"29UNT1",97,97,76,76,-21
"29UNT2",81,81,82,82,1
"29UNT3",95,95,91,91,-4
"29UNU1",NA,100,NA,80,-20
"29UNU2",90,90,85,85,-5
"29UNU3",86,86,87,87,1
"29UNU4",90,90,79,79,-11
"29UNV1",NA,58,NA,73,15
"29UNV2",NA,93,NA,67,-26
"29UNV3",NA,97,NA,73,-24
"29UNV4",100,100,91,91,-9
"29UPA1",NA,99,NA,62,-37
"29UPA2",88,88,78,78,-10
"29UPA3",NA,123,NA,81,-42
"29UPA4",104,104,91,91,-13
"29UPB2",112,112,104,104,-8
"29UPB3",NA,NA,NA,117,NA
"29UPB4",110,110,89,89,-21
"29UPR4",NA,NA,NA,66,NA
"29UPT1",NA,78,NA,114,36
"29UPU1",NA,76,NA,80,4
"29UPU2",NA,104,NA,70,-34
"29UPU3",112,112,109,109,-3
"29UPU4",104,104,87,87,-17
"29UPV1",NA,80,NA,70,-10
"29UPV2",96,96,85,85,-11
"29UPV3",NA,92,NA,78,-14
"29UPV4",109,109,100,100,-9
"29VNC3",NA,NA,NA,22,NA
"29VND3",NA,NA,NA,94,NA
"29VND4",NA,NA,NA,81,NA
"29VNE2",NA,NA,NA,25,NA
"29VNE3",NA,NA,NA,7,NA
"29VPC1",NA,NA,NA,86,NA
"29VPC3",114,114,102,102,-12
"29VPC4",NA,NA,NA,100,NA
"29VPD1",NA,NA,NA,110,NA
"29VPD2",NA,NA,NA,71,NA
"29VPD4",NA,NA,NA,101,NA
"29VPE1",NA,NA,NA,74,NA
"29VPE2",NA,NA,NA,70,NA
"29VPE3",NA,NA,NA,83,NA
"29VPE4",NA,62,NA,84,22
"29VPF3",NA,NA,NA,8,NA
"29VPJ1",NA,NA,NA,56,NA
"29VPK2",NA,NA,NA,46,NA
"29WMU3",NA,NA,NA,15,NA
"29WNU1",NA,NA,NA,29,NA
