"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"29SMC3",49,29,707,10,19,658
"29SMD3",4,21,127,3,18,123
"29SMD4",23,23,350,5,18,327
"29SME4",NA,1,1,NA,NA,NA
"29SNA1",NA,11,26,NA,NA,NA
"29SNA3",NA,12,33,NA,NA,NA
"29SNB1",7,15,74,5,10,67
"29SNB2",52,24,153,10,14,101
"29SNB3",1,21,205,1,20,204
"29SNB4",42,21,144,6,15,102
"29SNC1",14,21,197,6,15,183
"29SNC2",13,14,79,7,7,66
"29SNC3",216,18,209,9,9,-7
"29SNC4",10,15,97,3,12,87
"29SND1",27,27,327,6,21,300
"29SND2",39,17,169,7,10,130
"29SND3",2,20,198,2,18,196
"29SND4",9,22,168,4,18,159
"29SNE2",9,24,131,5,19,122
"29SNE4",NA,24,271,NA,NA,NA
"29SPA1",NA,9,27,NA,NA,NA
"29SPB1",3,21,2466,1,20,2463
"29SPB2",28,24,1793,1,23,1765
"29SPB3",6,21,8081,1,20,8075
"29SPB4",1,19,4215,1,18,4214
"29SPC1",54,16,175,5,11,121
"29SPC2",8,13,69,2,11,61
"29SPC3",NA,10,2331,NA,NA,NA
"29SPC4",8,14,4864,5,9,4856
"29SPD1",2,24,1624,2,22,1622
"29SPD2",NA,23,520,NA,NA,NA
"29SPD3",1,13,5275,1,12,5274
"29SPD4",3,21,2499,2,19,2496
"29SPE2",44,23,216,5,18,172
"29SPE4",3,20,2723,3,17,2720
"29SQA1",157,25,5541,16,9,5384
"29SQA2",1,18,981,1,17,980
"29SQB1",3,28,12469,1,27,12466
"29SQB2",43,30,12749,15,15,12706
"29SQC1",NA,12,2771,NA,NA,NA
"29SQC2",NA,20,7209,NA,NA,NA
"29SQD1",1,17,4343,1,16,4342
"29SQD2",1,16,3644,1,15,3643
"29SQE2",130,25,5834,6,19,5704
"29TMH3",NA,14,1409,NA,NA,NA
"29TMH4",NA,12,755,NA,NA,NA
"29TNE1",2,29,364,1,28,362
"29TNE3",19,25,93,6,19,74
"29TNF1",14,18,258,4,14,244
"29TNF2",3,23,225,3,20,222
"29TNF3",10,30,196,5,25,186
"29TNF4",5,22,216,4,18,211
"29TNG1",NA,25,4786,NA,NA,NA
"29TNG2",24,22,744,5,17,720
"29TNG3",1,25,15391,1,24,15390
"29TNG4",17,25,2386,7,18,2369
"29TNH1",5,26,4808,3,23,4803
"29TNH2",2,21,5374,2,19,5372
"29TNH3",NA,23,4917,NA,NA,NA
"29TNH4",NA,17,6466,NA,NA,NA
"29TNJ2",NA,8,189,NA,NA,NA
"29TNJ4",1,35,3738,1,34,3737
"29TPE1",6,24,140,2,22,134
"29TPE3",454,19,3289,14,5,2835
"29TPF1",30,39,4918,7,32,4888
"29TPF2",5,15,44,2,13,39
"29TPF3",4,39,2920,2,37,2916
"29TPF4",NA,24,3464,NA,NA,NA
"29TPG1",1,22,7595,1,21,7594
"29TPG2",10,18,2485,4,14,2475
"29TPG3",5,23,8638,5,18,8633
"29TPG4",79,30,1483,8,22,1404
"29TPH1",2,32,4299,1,31,4297
"29TPH2",5,21,4093,2,19,4088
"29TPH3",3,36,7924,2,34,7921
"29TPH4",4,42,6294,2,40,6290
"29TPJ2",NA,21,3555,NA,NA,NA
"29TPJ4",NA,37,4525,NA,NA,NA
"29TQE1",420,24,8381,20,4,7961
"29TQF1",7,35,5808,2,33,5801
"29TQF2",NA,13,6989,NA,NA,NA
"29TQG1",28,35,9506,10,25,9478
"29TQG2",28,35,7978,7,28,7950
"29TQH1",NA,33,11362,NA,NA,NA
"29TQH2",6,32,7338,2,30,7332
"29TQJ2",NA,20,4226,NA,NA,NA
"29ULT3",25,3,27,6,-3,2
"29UMA2",21,7,49,6,1,28
"29UMA4",87,11,101,5,6,14
"29UMT1",324,14,379,14,0,55
"29UMT2",230,18,280,9,9,50
"29UMT3",426,21,934,14,7,508
"29UMT4",524,15,452,13,2,-72
"29UMU2",32,5,28,5,0,-4
"29UMU3",316,17,578,14,3,262
"29UMU4",223,14,517,8,6,294
"29UMV1",69,13,184,7,6,115
"29UMV2",78,11,175,7,4,97
"29UMV3",237,18,677,7,11,440
"29UMV4",355,20,989,9,11,634
"29UNA1",165,13,367,7,6,202
"29UNA2",438,14,457,14,0,19
"29UNA3",354,17,335,15,2,-19
"29UNA4",303,20,1225,20,0,922
"29UNB4",193,12,158,8,4,-35
"29UNT1",314,17,1191,10,7,877
"29UNT2",201,18,1041,11,7,840
"29UNT3",432,16,765,14,2,333
"29UNU1",567,18,882,14,4,315
"29UNU2",380,22,632,13,9,252
"29UNU3",735,15,545,11,4,-190
"29UNU4",250,17,357,11,6,107
"29UNV1",288,17,449,11,6,161
"29UNV2",223,16,694,9,7,471
"29UNV3",307,17,385,11,6,78
"29UNV4",316,16,692,10,6,376
"29UPA1",336,20,702,11,9,366
"29UPA2",578,19,1007,17,2,429
"29UPA3",388,20,913,12,8,525
"29UPA4",518,22,1386,16,6,868
"29UPB2",117,15,295,11,4,178
"29UPB4",195,22,1172,12,10,977
"29UPT1",171,16,1118,10,6,947
"29UPU1",314,18,1379,12,6,1065
"29UPU2",331,16,1064,9,7,733
"29UPU3",252,19,1315,13,6,1063
"29UPU4",188,15,964,7,8,776
"29UPV1",287,15,477,9,6,190
"29UPV2",394,18,1409,10,8,1015
"29UPV3",193,13,894,13,0,701
"29UPV4",269,22,2455,13,9,2186
"29VPC3",212,20,267,19,1,55
"29VPE4",104,16,101,13,3,-3
"30STF3",24,19,10344,5,14,10320
"30STF4",6,26,12914,3,23,12908
"30STG3",NA,31,8099,NA,NA,NA
