"cell50x50","lon","lat"
"29SMC3",2650575.34532151,1939317.9034658
"29SMD3",2672983.1976069,2036621.34068195
"29SMD4",2661747.10594328,1987965.44487036
"29SME4",2684283.4898546,2085285.17229697
"29SNA1",2655253.98473495,1732431.15248147
"29SNA3",2704007.1082584,1720108.62141954
"29SNB1",2677079.52497825,1829625.88403853
"29SNB2",2666133.68384881,1781022.57409832
"29SNB3",2725768.80897506,1817272.74490534
"29SNB4",2714854.49091511,1768685.00481814
"29SNC1",2699168.72175073,1926864.29542982
"29SNC2",2688091.36917915,1878239.87305647
"29SNC3",2747797.02185432,1914479.26249588
"29SNC4",2736749.7081342,1865871.0665515
"29SND1",2721519.8492342,2024139.94148441
"29SND2",2710311.71740206,1975498.02380231
"29SND3",2770090.57188312,2011722.55610963
"29SND4",2758911.01480017,1963096.74059016
"29SNE2",2732792.92963563,2072789.64261926
"29SNE4",2781335.78317954,2060355.94293018
"29SPA1",2752793.06558035,1707864.80149711
"29SPB1",2774489.9254934,1804993.7208398
"29SPB2",2763607.58830318,1756423.45938493
"29SPB3",2823239.4460454,1792788.95250339
"29SPB4",2812389.6055623,1744239.52095647
"29SPC1",2796456.69438439,1902163.55574296
"29SPC2",2785439.66509878,1853573.86183786
"29SPC3",2845143.54187601,1889918.32204618
"29SPC4",2834157.61409505,1841348.98999183
"29SPD1",2818691.34820794,1999370.14320957
"29SPD2",2807540.80282201,1950762.60584758
"29SPD3",2867318.42506657,1987083.50551672
"29SPD4",2856197.4333582,1938496.59781791
"29SPE2",2829908.25477484,2047984.89627521
"29SPE4",2878506.64457185,2035677.22304048
"29SQA1",2858921.98704823,1681435.11847328
"29SQA2",2848985.66412061,1632757.55933181
"29SQB1",2879089.22173169,1778808.2777414
"29TNH4",2850174.01128581,2352273.58558075
"29SQB2",2868921.26813318,1730127.07973639
"29SQC1",2899341.83733015,1876268.45616531
"29SQC2",2889184.49777141,1827532.38012749
"29SQD1",2919840.87648321,1973774.09197773
"29SQD2",2909560.69479252,1925015.87492306
"29SQE2",2930182.52466474,2022541.61128023
"29TMH3",2765163.60103241,2426090.62514996
"29TMH4",2753420.58186102,2377392.43728358
"29TNE1",2744130.5010568,2121446.50695096
"29TNE3",2792646.46409216,2108996.13107607
"29TNF1",2766999.52822742,2218777.85602185
"29TNF2",2755533.00630924,2170109.60604394
"29TNF3",2815463.64719091,2206293.89177372
"29TNF4",2804022.39787242,2157642.2241993
"29TNG1",2790124.23477744,2316128.72298172
"29TNG2",2778529.92846628,2267451.33679662
"29TNG3",2838539.4380796,2303610.78638223
"29TNG4",2826969.37638195,2254950.38536995
"29TNH1",2813503.11621394,2413491.87621955
"29TNH2",2801781.87359008,2364808.98366225
"29TNH3",2861872.55556121,2400938.89263265
"29TNJ2",2825287.30898324,2462176.2451668
"29TNJ4",2873634.92838078,2449605.70298131
"29TPE1",2841191.54865281,2096606.18261981
"29TPE3",2889762.00501822,2084277.38622086
"29TPF1",2863955.65661532,2193865.89258555
"29TPF2",2852540.78604791,2145233.51794762
"29TPF3",2912472.41106478,2181494.9928445
"29TPF4",2901083.75786174,2132883.80747691
"29TPG1",2886982.14427882,2291143.80575412
"29TPG2",2875436.23156714,2242503.10850855
"29TPG3",2935447.9599395,2278729.1571793
"29TPG4",2923927.30972028,2230110.14690965
"29TPH1",2910268.05485198,2388432.8731907
"29TPH2",2898592.7533995,2339787.19170462
"29TPH3",2958686.15774814,2375974.73770895
"29TPH4",2947034.45613555,2327351.04003361
"29TPJ2",2922008.20262466,2437079.79065019
"29TPJ4",2970403.319208,2424599.72627888
"29TQE1",2940584.70929535,2071318.03276269
"29TQF1",2961571.78051938,2168894.76778232
"29TQF2",2951047.90344782,2120102.76031359
"29TQG1",2982799.93618714,2266497.50884538
"29TQG2",2972155.84421805,2217693.24362837
"29TQH1",3004267.21706351,2364119.77262834
"29TQH2",2993503.66401905,2315306.65628083
"29TQJ2",3015090.20135626,2412936.0267987
"29ULT3",2916780.50044837,3425297.24360173
"29UMA2",3030407.60748532,3655172.23634346
"29UMA4",3078414.27869228,3642147.21178998
"29UMS1",2938933.99827409,3315134.27187886
"29UMT1",2964784.32960597,3412358.59791153
"29UMT2",2951830.47825804,3363752.61534397
"29UMT3",3012814.63023035,3399419.05360255
"29UMT4",2999867.7238314,3350829.80223074
"29UMU2",2977795.69132772,3460951.06588196
"29UMU3",3038882.42388757,3496556.3697895
"29UMU4",3025819.69182484,3447994.67673938
"29UMV1",3017169.89690969,3606640.73879112
"29UMV2",3003988.44383099,3558092.95177601
"29UMV3",3065179.82813979,3593633.07655861
"29UMV4",3052002.34722996,3545102.72066304
"29UNA1",3139728.52351868,3677588.17077527
"29UNA2",3126440.46257662,3629111.23221182
"29UNA3",3187767.01791732,3664520.12799111
"29UNA4",3174482.52456365,3616065.28928803
"29UNB4",3177090.27892276,3719501.84887676
"29UNT1",3060867.63457854,3386479.58694009
"29UNT2",3047927.90957092,3337909.15393403
"29UNT3",3102473.45815224,3349266.43253608
"29UNU1",3086922.34614919,3483578.93135181
"29UNU2",3073865.69516877,3435036.34696888
"29UNU3",3134980.02915476,3470597.96360782
"29UNU4",3121929.97954701,3422077.07756275
"29UNV1",3113209.86019067,3580616.80967917
"29UNV2",3100037.28551189,3532105.87848436
"29UNV3",3161256.46150621,3567592.89825788
"29UNV4",3148088.99770773,3519103.57936166
"29UPA1",3235816.75630669,3651440.70391485
"29UPA2",3222536.72202422,3603010.43604917
